------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=47&areatype=county&topic=pop&demo=00025&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '47', 'areatype': 'county', 'topic': 'pop', 'demo': '00025', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_025.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=47&areatype=county&topic=pop&demo=00025&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Tennessee by County
Population: White
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (White),Rank within US
"United States",00000,73.0,234370202,"N/A"
"Tennessee",47000,77.8,5131786,"26 of 52"
"Shelby County",47157,39.4,369814,"3048 of 3141"
"Haywood County",47075,45.5,8156,"2995 of 3141"
"Hardeman County",47069,56.0,14444,"2882 of 3141"
"Madison County",47113,59.4,58161,"2829 of 3141"
"Lauderdale County",47097,62.2,16472,"2773 of 3141"
"Davidson County",47037,63.6,431649,"2735 of 3141"
"Lake County",47095,68.1,5166,"2623 of 3141"
"Fayette County",47047,70.0,27554,"2554 of 3141"
"Montgomery County",47125,71.4,137159,"2524 of 3141"
"Hamilton County",47065,75.4,267357,"2399 of 3141"
"Tipton County",47167,78.0,47941,"2309 of 3141"
"Gibson County",47053,78.3,38542,"2289 of 3141"
"Rutherford County",47149,78.5,234267,"2279 of 3141"
"Crockett County",47033,79.6,11586,"2235 of 3141"
"Grundy County",47061,82.3,11000,"2107 of 3141"
"Dyer County",47045,82.4,31107,"2103 of 3141"
"Maury County",47119,84.0,73618,"2020 of 3141"
"Bedford County",47003,84.1,39425,"2015 of 3141"
"Obion County",47131,85.2,26124,"1962 of 3141"
"Knox County",47093,85.4,386348,"1952 of 3141"
"Trousdale County",47169,86.0,7543,"1918 of 3141"
"Giles County",47055,86.5,25099,"1880 of 3141"
"Chester County",47023,86.5,14794,"1872 of 3141"
"Carroll County",47017,86.7,24405,"1859 of 3141"
"Hamblen County",47063,87.9,55776,"1768 of 3141"
"Robertson County",47147,88.3,60528,"1722 of 3141"
"Weakley County",47183,88.3,29837,"1712 of 3141"
"Wilson County",47189,88.4,113930,"1703 of 3141"
"Sumner County",47165,88.4,155391,"1701 of 3141"
"Sequatchie County",47153,89.3,13082,"1619 of 3141"
"Henry County",47079,89.4,28844,"1611 of 3141"
"Henderson County",47077,89.5,24958,"1600 of 3141"
"Williamson County",47187,89.5,189989,"1596 of 3141"
"Marshall County",47117,89.7,28498,"1577 of 3141"
"Lincoln County",47103,89.8,30122,"1572 of 3141"
"Franklin County",47051,90.2,37334,"1543 of 3141"
"Bledsoe County",47007,90.8,13093,"1475 of 3141"
"Coffee County",47031,91.0,49185,"1456 of 3141"
"Bradley County",47011,91.3,94641,"1417 of 3141"
"Washington County",47179,91.5,115706,"1392 of 3141"
"Anderson County",47001,91.5,69150,"1389 of 3141"
"McNairy County",47109,91.9,23851,"1331 of 3141"
"Wayne County",47181,92.0,15375,"1321 of 3141"
"Warren County",47177,92.1,37027,"1310 of 3141"
"Hickman County",47081,92.2,22590,"1291 of 3141"
"McMinn County",47107,92.5,48627,"1261 of 3141"
"Dickson County",47043,92.6,47548,"1244 of 3141"
"Houston County",47083,93.0,7613,"1198 of 3141"
"Johnson County",47091,93.1,16622,"1164 of 3141"
"Marion County",47115,93.4,26477,"1117 of 3141"
"Moore County",47127,93.5,5892,"1103 of 3141"
"Stewart County",47161,93.6,12403,"1074 of 3141"
"Putnam County",47141,94.0,70997,"1023 of 3141"
"DeKalb County",47041,94.1,18244,"998 of 3141"
"Blount County",47009,94.2,119729,"991 of 3141"
"Morgan County",47129,94.2,20379,"990 of 3141"
"Hardin County",47071,94.2,24324,"982 of 3141"
"Sevier County",47155,94.3,90116,"963 of 3141"
"Perry County",47135,94.3,7436,"962 of 3141"
"Roane County",47145,94.3,49932,"961 of 3141"
"Humphreys County",47085,94.4,17257,"949 of 3141"
"Monroe County",47123,94.5,43205,"912 of 3141"
"Decatur County",47039,94.5,11044,"910 of 3141"
"Sullivan County",47163,94.6,148136,"894 of 3141"
"Greene County",47059,94.7,64874,"888 of 3141"
"Rhea County",47143,94.7,30751,"887 of 3141"
"Smith County",47159,94.9,18292,"852 of 3141"
"Cocke County",47029,94.9,33462,"847 of 3141"
"Cheatham County",47021,95.1,37755,"815 of 3141"
"Loudon County",47105,95.1,48513,"814 of 3141"
"Benton County",47005,95.1,15368,"803 of 3141"
"Lawrence County",47099,95.2,40539,"790 of 3141"
"Lewis County",47101,95.2,11371,"785 of 3141"
"Jefferson County",47089,95.5,50483,"746 of 3141"
"Macon County",47111,96.0,22299,"612 of 3141"
"Meigs County",47121,96.0,11353,"609 of 3141"
"Hawkins County",47073,96.1,54182,"589 of 3141"
"White County",47185,96.1,25373,"579 of 3141"
"Cannon County",47015,96.1,13306,"570 of 3141"
"Clay County",47027,96.3,7396,"540 of 3141"
"Claiborne County",47025,96.6,30489,"449 of 3141"
"Polk County",47139,96.6,16154,"443 of 3141"
"Carter County",47019,96.7,54618,"420 of 3141"
"Jackson County",47087,96.8,11201,"385 of 3141"
"Cumberland County",47035,97.0,56417,"334 of 3141"
"Van Buren County",47175,97.2,5517,"266 of 3141"
"Unicoi County",47171,97.4,17361,"226 of 3141"
"Pickett County",47137,97.6,4947,"183 of 3141"
"Overton County",47133,97.6,21470,"168 of 3141"
"Campbell County",47013,97.7,38913,"153 of 3141"
"Fentress County",47049,97.8,17544,"131 of 3141"
"Union County",47173,97.8,18753,"130 of 3141"
"Grainger County",47057,97.9,22457,"115 of 3141"
