------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=47&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '47', 'areatype': 'county', 'topic': 'ed', 'demo': '00004', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_001.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=47&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Tennessee by County
Education: Less than 9th grade
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Education: Less Than 9th Grade),Rank within US
"Tennessee",47000,5.1,228179,"37 of 52"
"United States",00000,5.4,11759554,"N/A"
"Williamson County",47187,1.8,2504,"252 of 3141"
"Montgomery County",47125,2.5,2997,"594 of 3141"
"Knox County",47093,2.9,8740,"833 of 3141"
"Wilson County",47189,3.0,2603,"861 of 3141"
"Rutherford County",47149,3.3,6061,"1043 of 3141"
"Cheatham County",47021,3.5,952,"1168 of 3141"
"Sumner County",47165,3.6,4274,"1226 of 3141"
"Fayette County",47047,3.6,1036,"1248 of 3141"
"Madison County",47113,3.6,2354,"1252 of 3141"
"Hamilton County",47065,3.8,9443,"1356 of 3141"
"Maury County",47119,3.9,2337,"1384 of 3141"
"Washington County",47179,4.0,3410,"1414 of 3141"
"Tipton County",47167,4.0,1614,"1429 of 3141"
"Stewart County",47161,4.0,378,"1440 of 3141"
"Blount County",47009,4.1,3704,"1485 of 3141"
"Shelby County",47157,4.2,25763,"1541 of 3141"
"Coffee County",47031,4.2,1560,"1544 of 3141"
"Robertson County",47147,4.5,2101,"1691 of 3141"
"Chester County",47023,4.6,500,"1717 of 3141"
"Moore County",47127,4.7,214,"1747 of 3141"
"Davidson County",47037,4.8,22165,"1792 of 3141"
"Hardeman County",47069,5.2,949,"1911 of 3141"
"Roane County",47145,5.2,2033,"1933 of 3141"
"Henry County",47079,5.2,1216,"1934 of 3141"
"Humphreys County",47085,5.3,677,"1943 of 3141"
"Lincoln County",47103,5.5,1290,"2007 of 3141"
"Sullivan County",47163,5.5,6284,"2036 of 3141"
"Dickson County",47043,5.5,1942,"2037 of 3141"
"Cannon County",47015,5.7,557,"2083 of 3141"
"Anderson County",47001,5.7,3050,"2088 of 3141"
"Giles County",47055,5.7,1168,"2104 of 3141"
"Weakley County",47183,5.7,1229,"2106 of 3141"
"Henderson County",47077,5.7,1107,"2107 of 3141"
"Haywood County",47075,5.8,721,"2141 of 3141"
"Houston County",47083,5.8,334,"2151 of 3141"
"Gibson County",47053,5.9,1949,"2165 of 3141"
"Benton County",47005,5.9,696,"2166 of 3141"
"Franklin County",47051,5.9,1673,"2189 of 3141"
"Marshall County",47117,6.0,1316,"2213 of 3141"
"Cumberland County",47035,6.1,2683,"2223 of 3141"
"McMinn County",47107,6.1,2255,"2229 of 3141"
"Morgan County",47129,6.2,961,"2249 of 3141"
"Decatur County",47039,6.2,522,"2264 of 3141"
"Bradley County",47011,6.3,4380,"2276 of 3141"
"Sevier County",47155,6.3,4225,"2285 of 3141"
"Meigs County",47121,6.6,561,"2363 of 3141"
"Lewis County",47101,6.6,562,"2371 of 3141"
"Bedford County",47003,6.6,2035,"2373 of 3141"
"DeKalb County",47041,6.7,912,"2402 of 3141"
"Carter County",47019,6.8,2820,"2430 of 3141"
"Jefferson County",47089,6.9,2563,"2445 of 3141"
"Hawkins County",47073,7.0,2825,"2460 of 3141"
"Putnam County",47141,7.0,3378,"2470 of 3141"
"Loudon County",47105,7.1,2633,"2480 of 3141"
"Sequatchie County",47153,7.1,737,"2501 of 3141"
"Hickman County",47081,7.2,1233,"2515 of 3141"
"Carroll County",47017,7.3,1411,"2535 of 3141"
"Dyer County",47045,7.6,1943,"2600 of 3141"
"Greene County",47059,7.7,3784,"2615 of 3141"
"Smith County",47159,7.7,1019,"2616 of 3141"
