------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=47&areatype=county&topic=mob&demo=00021&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '47', 'areatype': 'county', 'topic': 'mob', 'demo': '00021', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_012.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=47&areatype=county&topic=mob&demo=00021&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Tennessee by County
Mobility: Moved from outside US (in past year)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved From Outside US),Rank within US
"Tennessee",47000,0.4,25517,"11 of 51"
"United States",00000,0.7,2074097,"N/A"
"Clay County",47027,0.0,0,"1 of 3140"
"Crockett County",47033,0.0,0,"1 of 3140"
"Grundy County",47061,0.0,0,"1 of 3140"
"Houston County",47083,0.0,0,"1 of 3140"
"Lewis County",47101,0.0,0,"1 of 3140"
"Meigs County",47121,0.0,0,"1 of 3140"
"Overton County",47133,0.0,0,"1 of 3140"
"Pickett County",47137,0.0,0,"1 of 3140"
"Smith County",47159,0.0,0,"1 of 3140"
"Cocke County",47029,0.0,7,"419 of 3140"
"Marion County",47115,0.0,8,"453 of 3140"
"Obion County",47131,0.0,9,"462 of 3140"
"Hardin County",47071,0.0,8,"470 of 3140"
"Sequatchie County",47153,0.0,5,"487 of 3140"
"Henry County",47079,0.0,11,"492 of 3140"
"White County",47185,0.0,10,"513 of 3140"
"Union County",47173,0.1,10,"591 of 3140"
"Hickman County",47081,0.1,13,"597 of 3140"
"Marshall County",47117,0.1,18,"618 of 3140"
"Cheatham County",47021,0.1,24,"637 of 3140"
"Morgan County",47129,0.1,15,"713 of 3140"
"Monroe County",47123,0.1,32,"720 of 3140"
"Lawrence County",47099,0.1,30,"725 of 3140"
"Madison County",47113,0.1,79,"806 of 3140"
"Hawkins County",47073,0.1,46,"807 of 3140"
"Macon County",47111,0.1,19,"812 of 3140"
"DeKalb County",47041,0.1,17,"852 of 3140"
"Campbell County",47013,0.1,37,"886 of 3140"
"Hardeman County",47069,0.1,24,"886 of 3140"
"Cannon County",47015,0.1,13,"893 of 3140"
"Lauderdale County",47097,0.1,26,"917 of 3140"
"Lake County",47095,0.1,8,"959 of 3140"
"Loudon County",47105,0.1,54,"967 of 3140"
"Moore County",47127,0.1,7,"1000 of 3140"
"McNairy County",47109,0.1,29,"1007 of 3140"
"Dickson County",47043,0.1,58,"1026 of 3140"
"Henderson County",47077,0.1,32,"1036 of 3140"
"Wayne County",47181,0.1,20,"1083 of 3140"
"Carter County",47019,0.1,72,"1135 of 3140"
"Perry County",47135,0.1,10,"1139 of 3140"
"Chester County",47023,0.1,22,"1147 of 3140"
"Scott County",47151,0.1,29,"1167 of 3140"
"Decatur County",47039,0.1,16,"1191 of 3140"
"Gibson County",47053,0.1,69,"1215 of 3140"
"Polk County",47139,0.1,24,"1226 of 3140"
