------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=47&areatype=county&topic=ins&demo=00043&race=00&sex=0&age=006&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '47', 'areatype': 'county', 'topic': 'ins', 'demo': '00043', 'race': '00', 'sex': '0', 'age': '006', 'type': 'manyareacensus', 'file_name': 'demographics_006.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=47&areatype=county&topic=ins&demo=00043&race=00&sex=0&age=006&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Tennessee by County
"Insurance: Percent uninsured in demographic group, people at or below 138% of poverty"
"Ages <65, All Races (includes Hispanic), Both Sexes"
2017 Small Area Health Insurance Estimates Data
Sorted by Value

County, FIPS,Value (Percent),People (Uninsured),Rank within US
"Tennessee",47000,18.9,247695,"33 of 51"
"Dyer County",47045,14.1,1209,"1148 of 3139"
"Lake County",47095,14.1,230,"1148 of 3139"
"Montgomery County",47125,14.2,5834,"1155 of 3139"
"Madison County",47113,14.8,3008,"1230 of 3139"
"Scott County",47151,15.1,987,"1259 of 3139"
"Haywood County",47075,15.2,690,"1273 of 3139"
"Tipton County",47167,15.3,1655,"1286 of 3139"
"Lauderdale County",47097,15.6,1147,"1324 of 3139"
"Henry County",47079,15.9,1151,"1363 of 3139"
"Hancock County",47067,16.0,325,"1374 of 3139"
"Weakley County",47183,16.0,1201,"1374 of 3139"
"Gibson County",47053,16.1,1763,"1385 of 3139"
"Henderson County",47077,16.1,1010,"1385 of 3139"
"Sullivan County",47163,16.1,4867,"1385 of 3139"
"Carroll County",47017,16.2,989,"1399 of 3139"
"McNairy County",47109,16.4,1049,"1420 of 3139"
"Smith County",47159,16.4,630,"1420 of 3139"
"Greene County",47059,16.6,2479,"1442 of 3139"
"Cocke County",47029,16.7,1699,"1453 of 3139"
"Fentress County",47049,16.7,864,"1453 of 3139"
"Hardin County",47071,16.7,1011,"1453 of 3139"
"Obion County",47131,16.7,1207,"1453 of 3139"
"Hardeman County",47069,16.9,971,"1471 of 3139"
"White County",47185,16.9,1087,"1471 of 3139"
"Campbell County",47013,17.0,1754,"1483 of 3139"
"Coffee County",47031,17.0,1874,"1483 of 3139"
"Hawkins County",47073,17.0,2129,"1483 of 3139"
"Claiborne County",47025,17.2,1239,"1519 of 3139"
"Sequatchie County",47153,17.3,555,"1541 of 3139"
"Carter County",47019,17.4,2519,"1555 of 3139"
"Marshall County",47117,17.6,1112,"1590 of 3139"
"Marion County",47115,17.7,1027,"1606 of 3139"
"Dickson County",47043,17.8,1773,"1623 of 3139"
"Humphreys County",47085,17.8,645,"1623 of 3139"
"Lincoln County",47103,17.8,1253,"1623 of 3139"
"Anderson County",47001,17.9,2616,"1636 of 3139"
"Houston County",47083,17.9,346,"1636 of 3139"
"Monroe County",47123,17.9,1971,"1636 of 3139"
"Shelby County",47157,17.9,40001,"1636 of 3139"
"Wayne County",47181,17.9,585,"1636 of 3139"
"Hickman County",47081,18.0,1004,"1648 of 3139"
"Johnson County",47091,18.0,714,"1648 of 3139"
"Franklin County",47051,18.1,1358,"1660 of 3139"
"Jackson County",47087,18.2,546,"1677 of 3139"
"Overton County",47133,18.2,901,"1677 of 3139"
"Rhea County",47143,18.2,1394,"1677 of 3139"
"Knox County",47093,18.3,14580,"1695 of 3139"
"Lewis County",47101,18.3,508,"1695 of 3139"
"Benton County",47005,18.5,723,"1728 of 3139"
"Lawrence County",47099,18.6,1883,"1744 of 3139"
"Trousdale County",47169,18.6,330,"1744 of 3139"
"Union County",47173,18.6,917,"1744 of 3139"
"Decatur County",47039,18.7,491,"1754 of 3139"
"Grundy County",47061,18.7,699,"1754 of 3139"
"Cheatham County",47021,18.8,1188,"1765 of 3139"
"Macon County",47111,18.8,1184,"1765 of 3139"
"Pickett County",47137,18.8,182,"1765 of 3139"
"Roane County",47145,18.8,1844,"1765 of 3139"
"Robertson County",47147,18.8,2057,"1765 of 3139"
"Morgan County",47129,19.0,904,"1796 of 3139"
"Blount County",47009,19.1,3884,"1804 of 3139"
"Cumberland County",47035,19.1,2058,"1804 of 3139"
"McMinn County",47107,19.1,2177,"1804 of 3139"
"Meigs County",47121,19.1,511,"1804 of 3139"
"Grainger County",47057,19.2,979,"1823 of 3139"
"Stewart County",47161,19.2,513,"1823 of 3139"
"Hamilton County",47065,19.3,11794,"1840 of 3139"
"Chester County",47023,19.4,664,"1859 of 3139"
"Rutherford County",47149,19.4,9479,"1859 of 3139"
"Polk County",47139,19.5,690,"1882 of 3139"
"Maury County",47119,19.6,3080,"1895 of 3139"
"Washington County",47179,19.6,4768,"1895 of 3139"
"Cannon County",47015,19.7,564,"1917 of 3139"
"Giles County",47055,19.7,1164,"1917 of 3139"
"Sumner County",47165,19.7,4706,"1917 of 3139"
"Putnam County",47141,19.8,3682,"1928 of 3139"
"Jefferson County",47089,19.9,2019,"1948 of 3139"
