------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=47&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '47', 'areatype': 'county', 'topic': 'crowd', 'demo': '00027', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_000.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=47&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Tennessee by County
Crowding: Households with >1 person per room
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Households (with >1 Person Per Room),Rank within US
"Tennessee",47000,2.0,51438,"32 of 52"
"United States",00000,3.3,3975282,"N/A"
"Decatur County",47039,0.3,15,"3052 of 3141"
"Campbell County",47013,0.7,113,"2881 of 3141"
"Weakley County",47183,0.7,99,"2866 of 3141"
"Stewart County",47161,0.8,45,"2778 of 3141"
"Scott County",47151,0.9,73,"2763 of 3141"
"Trousdale County",47169,0.9,26,"2730 of 3141"
"Fayette County",47047,1.0,148,"2632 of 3141"
"Pickett County",47137,1.0,22,"2603 of 3141"
"Van Buren County",47175,1.0,22,"2593 of 3141"
"Hardeman County",47069,1.0,91,"2562 of 3141"
"Houston County",47083,1.1,32,"2543 of 3141"
"Henry County",47079,1.2,157,"2421 of 3141"
"Carter County",47019,1.2,281,"2401 of 3141"
"Moore County",47127,1.2,31,"2393 of 3141"
"Blount County",47009,1.2,606,"2364 of 3141"
"Williamson County",47187,1.2,888,"2363 of 3141"
"Madison County",47113,1.2,455,"2352 of 3141"
"Wilson County",47189,1.2,587,"2328 of 3141"
"Hamilton County",47065,1.3,1774,"2292 of 3141"
"Claiborne County",47025,1.3,169,"2258 of 3141"
"Washington County",47179,1.3,688,"2251 of 3141"
"Warren County",47177,1.3,207,"2236 of 3141"
"Rhea County",47143,1.4,172,"2183 of 3141"
"Knox County",47093,1.4,2577,"2125 of 3141"
"Sumner County",47165,1.4,930,"2094 of 3141"
"Unicoi County",47171,1.4,110,"2084 of 3141"
"Franklin County",47051,1.5,240,"2062 of 3141"
"Cumberland County",47035,1.5,373,"2039 of 3141"
"Wayne County",47181,1.5,88,"2022 of 3141"
"McMinn County",47107,1.5,308,"2010 of 3141"
"Cocke County",47029,1.5,221,"2008 of 3141"
"Roane County",47145,1.6,338,"1954 of 3141"
"Macon County",47111,1.6,145,"1934 of 3141"
"White County",47185,1.6,159,"1887 of 3141"
"Sullivan County",47163,1.7,1109,"1840 of 3141"
"Putnam County",47141,1.7,517,"1814 of 3141"
"Humphreys County",47085,1.7,122,"1778 of 3141"
"Hancock County",47067,1.7,47,"1767 of 3141"
"Jackson County",47087,1.8,80,"1757 of 3141"
"Lake County",47095,1.8,38,"1749 of 3141"
"Carroll County",47017,1.8,200,"1742 of 3141"
"Greene County",47059,1.8,483,"1740 of 3141"
"Montgomery County",47125,1.9,1280,"1643 of 3141"
"Haywood County",47075,1.9,132,"1641 of 3141"
"Tipton County",47167,1.9,400,"1630 of 3141"
"Anderson County",47001,1.9,571,"1623 of 3141"
"Obion County",47131,1.9,240,"1614 of 3141"
"McNairy County",47109,1.9,192,"1595 of 3141"
"Johnson County",47091,1.9,132,"1592 of 3141"
"Hawkins County",47073,1.9,447,"1582 of 3141"
"Cannon County",47015,2.0,108,"1521 of 3141"
"Chester County",47023,2.0,119,"1519 of 3141"
"Marion County",47115,2.0,227,"1509 of 3141"
"Overton County",47133,2.0,181,"1471 of 3141"
"Gibson County",47053,2.0,393,"1460 of 3141"
"Cheatham County",47021,2.1,314,"1359 of 3141"
"Smith County",47159,2.2,165,"1309 of 3141"
"Rutherford County",47149,2.2,2350,"1298 of 3141"
"Maury County",47119,2.2,738,"1288 of 3141"
"Fentress County",47049,2.2,166,"1246 of 3141"
"Giles County",47055,2.3,262,"1238 of 3141"
"Marshall County",47117,2.3,272,"1231 of 3141"
"Hickman County",47081,2.4,217,"1081 of 3141"
"Shelby County",47157,2.4,8518,"1072 of 3141"
"Lewis County",47101,2.5,115,"1052 of 3141"
"Lincoln County",47103,2.5,340,"1030 of 3141"
"Dickson County",47043,2.5,475,"1020 of 3141"
"Meigs County",47121,2.5,122,"1000 of 3141"
"Henderson County",47077,2.6,278,"970 of 3141"
"Grainger County",47057,2.6,234,"968 of 3141"
"Clay County",47027,2.6,82,"960 of 3141"
"Robertson County",47147,2.6,653,"954 of 3141"
"Hamblen County",47063,2.6,637,"948 of 3141"
"Polk County",47139,2.6,186,"927 of 3141"
"Bradley County",47011,2.7,1058,"908 of 3141"
"Benton County",47005,2.7,181,"882 of 3141"
"Monroe County",47123,2.7,474,"870 of 3141"
"Sevier County",47155,2.7,1006,"861 of 3141"
"Hardin County",47071,2.7,276,"860 of 3141"
"DeKalb County",47041,2.8,203,"847 of 3141"
"Loudon County",47105,2.8,555,"844 of 3141"
"Jefferson County",47089,2.8,556,"841 of 3141"
"Coffee County",47031,2.8,612,"806 of 3141"
"Dyer County",47045,2.9,439,"796 of 3141"
"Davidson County",47037,2.9,7845,"793 of 3141"
"Union County",47173,3.1,224,"696 of 3141"
"Lawrence County",47099,3.1,506,"659 of 3141"
"Grundy County",47061,3.2,155,"647 of 3141"
"Bledsoe County",47007,3.4,157,"564 of 3141"
"Sequatchie County",47153,3.4,189,"545 of 3141"
"Lauderdale County",47097,3.4,334,"544 of 3141"
"Morgan County",47129,3.5,261,"513 of 3141"
"Crockett County",47033,3.7,201,"452 of 3141"
"Perry County",47135,4.2,139,"327 of 3141"
"Bedford County",47003,4.3,735,"316 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:21 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Crowding: Households with >1 person per room, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#crowding."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
