------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=47&areatype=county&topic=pop&demo=00023&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '47', 'areatype': 'county', 'topic': 'pop', 'demo': '00023', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_019.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=47&areatype=county&topic=pop&demo=00023&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Tennessee by County
Population: American Indian/Alaska Native
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (AI/AN),Rank within US
"Tennessee",47000,0.3,17568,"40 of 52"
"United States",00000,0.8,2632102,"N/A"
"Decatur County",47039,0.0,0,"2960 of 3141"
"Haywood County",47075,0.0,0,"2960 of 3141"
"Henderson County",47077,0.0,0,"2960 of 3141"
"Jackson County",47087,0.0,0,"2960 of 3141"
"Lewis County",47101,0.0,0,"2960 of 3141"
"Pickett County",47137,0.0,0,"2960 of 3141"
"Van Buren County",47175,0.0,0,"2960 of 3141"
"Marshall County",47117,0.0,8,"2909 of 3141"
"White County",47185,0.0,8,"2891 of 3141"
"Union County",47173,0.0,6,"2887 of 3141"
"Chester County",47023,0.0,8,"2829 of 3141"
"Giles County",47055,0.0,14,"2824 of 3141"
"Unicoi County",47171,0.1,13,"2729 of 3141"
"Madison County",47113,0.1,74,"2720 of 3141"
"Hardin County",47071,0.1,21,"2702 of 3141"
"Lake County",47095,0.1,8,"2612 of 3141"
"Bedford County",47003,0.1,54,"2567 of 3141"
"Fentress County",47049,0.1,21,"2557 of 3141"
"Grundy County",47061,0.1,16,"2544 of 3141"
"Morgan County",47129,0.1,28,"2497 of 3141"
"Anderson County",47001,0.1,99,"2493 of 3141"
"Overton County",47133,0.1,29,"2489 of 3141"
"Sullivan County",47163,0.1,208,"2485 of 3141"
"Bradley County",47011,0.1,141,"2469 of 3141"
"Trousdale County",47169,0.1,12,"2466 of 3141"
"Loudon County",47105,0.1,74,"2432 of 3141"
"Warren County",47177,0.2,61,"2403 of 3141"
"Hamilton County",47065,0.2,540,"2400 of 3141"
"McNairy County",47109,0.2,42,"2361 of 3141"
"Hamblen County",47063,0.2,104,"2355 of 3141"
"Shelby County",47157,0.2,1567,"2340 of 3141"
"Williamson County",47187,0.2,369,"2306 of 3141"
"Claiborne County",47025,0.2,58,"2251 of 3141"
"Jefferson County",47089,0.2,99,"2229 of 3141"
"Hawkins County",47073,0.2,108,"2206 of 3141"
"Cheatham County",47021,0.2,80,"2155 of 3141"
"Hickman County",47081,0.2,50,"2142 of 3141"
"Henry County",47079,0.2,66,"2139 of 3141"
