------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=47&areatype=county&topic=pov&demo=00009&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '47', 'areatype': 'county', 'topic': 'pov', 'demo': '00009', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_030.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=47&areatype=county&topic=pov&demo=00009&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Tennessee by County
Poverty: Persons below 150% of poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (<150% Of Poverty),Rank within US
"United States",00000,23.7,74202606,"N/A"
"Tennessee",47000,27.1,1746688,"44 of 52"
"Williamson County",47187,8.6,18264,"19 of 3141"
"Wilson County",47189,15.4,19597,"261 of 3141"
"Sumner County",47165,18.0,31276,"489 of 3141"
"Moore County",47127,18.9,1173,"601 of 3141"
"Rutherford County",47149,19.8,58158,"720 of 3141"
"Robertson County",47147,20.5,13831,"807 of 3141"
"Fayette County",47047,21.4,8316,"941 of 3141"
"Cheatham County",47021,21.7,8504,"968 of 3141"
"Loudon County",47105,21.9,11061,"998 of 3141"
"Maury County",47119,22.8,19647,"1113 of 3141"
"Tipton County",47167,22.9,13902,"1138 of 3141"
"Blount County",47009,23.2,28893,"1164 of 3141"
"Hamilton County",47065,24.1,82862,"1296 of 3141"
"Montgomery County",47125,24.2,45580,"1320 of 3141"
"Knox County",47093,24.5,108174,"1367 of 3141"
"Marshall County",47117,24.8,7767,"1419 of 3141"
"Dickson County",47043,25.6,12990,"1533 of 3141"
"Stewart County",47161,25.7,3373,"1547 of 3141"
"Jefferson County",47089,26.1,13278,"1598 of 3141"
"Roane County",47145,26.2,13674,"1608 of 3141"
"Smith County",47159,26.4,4995,"1626 of 3141"
"Anderson County",47001,26.5,19649,"1669 of 3141"
"Davidson County",47037,26.6,175109,"1682 of 3141"
"Sequatchie County",47153,26.7,3857,"1702 of 3141"
"Washington County",47179,26.9,32702,"1722 of 3141"
"Franklin County",47051,26.9,10608,"1725 of 3141"
"Coffee County",47031,27.1,14505,"1749 of 3141"
"Marion County",47115,27.4,7645,"1787 of 3141"
"Chester County",47023,27.6,4395,"1814 of 3141"
"Humphreys County",47085,27.7,4971,"1836 of 3141"
"Cumberland County",47035,27.7,15819,"1840 of 3141"
"Trousdale County",47169,27.7,2401,"1842 of 3141"
"Bradley County",47011,28.3,28311,"1922 of 3141"
"Giles County",47055,28.3,7976,"1925 of 3141"
"Sullivan County",47163,28.5,43895,"1953 of 3141"
"Sevier County",47155,29.0,27397,"2022 of 3141"
"Cannon County",47015,29.1,3968,"2025 of 3141"
"DeKalb County",47041,29.3,5564,"2060 of 3141"
"Madison County",47113,29.4,27732,"2070 of 3141"
"Meigs County",47121,29.7,3417,"2100 of 3141"
"McMinn County",47107,29.9,15294,"2129 of 3141"
"Polk County",47139,30.4,4999,"2185 of 3141"
"Lincoln County",47103,30.4,10036,"2192 of 3141"
"Gibson County",47053,30.5,14639,"2197 of 3141"
"Hickman County",47081,30.5,6994,"2199 of 3141"
"Pickett County",47137,30.6,1526,"2214 of 3141"
"Dyer County",47045,30.8,11360,"2237 of 3141"
"Carroll County",47017,31.1,8465,"2266 of 3141"
"Shelby County",47157,31.3,288316,"2297 of 3141"
"Greene County",47059,31.5,20897,"2311 of 3141"
"Grainger County",47057,31.6,7185,"2320 of 3141"
"Bedford County",47003,31.7,14624,"2328 of 3141"
"Hardin County",47071,31.8,8060,"2339 of 3141"
"Lawrence County",47099,32.2,13509,"2375 of 3141"
"Hamblen County",47063,32.2,19921,"2376 of 3141"
"Hawkins County",47073,32.3,17915,"2388 of 3141"
"Rhea County",47143,32.3,10126,"2392 of 3141"
"Henry County",47079,32.4,10277,"2395 of 3141"
"Lewis County",47101,32.9,3870,"2447 of 3141"
"Houston County",47083,33.0,2608,"2454 of 3141"
"Macon County",47111,33.2,7545,"2474 of 3141"
"Van Buren County",47175,33.3,1850,"2485 of 3141"
"Weakley County",47183,33.4,10366,"2494 of 3141"
"Claiborne County",47025,33.5,10148,"2506 of 3141"
"Henderson County",47077,33.6,9236,"2511 of 3141"
"Haywood County",47075,34.0,6013,"2542 of 3141"
"Unicoi County",47171,34.1,5939,"2554 of 3141"
"Overton County",47133,34.1,7394,"2557 of 3141"
"Putnam County",47141,34.6,25053,"2602 of 3141"
"Bledsoe County",47007,34.7,4580,"2612 of 3141"
"Crockett County",47033,34.7,4947,"2614 of 3141"
"Wayne County",47181,35.2,5165,"2646 of 3141"
"Union County",47173,35.3,6665,"2655 of 3141"
"Campbell County",47013,35.3,13847,"2659 of 3141"
"Decatur County",47039,35.5,4066,"2669 of 3141"
"Monroe County",47123,35.9,16077,"2700 of 3141"
"White County",47185,36.4,9431,"2740 of 3141"
"Obion County",47131,36.4,10978,"2741 of 3141"
"Morgan County",47129,36.4,6792,"2748 of 3141"
"Warren County",47177,36.8,14529,"2774 of 3141"
"Hardeman County",47069,36.8,8106,"2776 of 3141"
"McNairy County",47109,37.3,9532,"2805 of 3141"
"Johnson County",47091,37.4,5960,"2811 of 3141"
"Carter County",47019,37.5,20537,"2815 of 3141"
"Jackson County",47087,38.2,4342,"2851 of 3141"
"Benton County",47005,38.4,6128,"2859 of 3141"
"Cocke County",47029,38.8,13479,"2872 of 3141"
"Hancock County",47067,39.2,2519,"2891 of 3141"
"Lauderdale County",47097,39.4,9293,"2895 of 3141"
"Scott County",47151,39.8,8558,"2911 of 3141"
"Perry County",47135,40.5,3134,"2943 of 3141"
"Lake County",47095,42.1,2015,"2987 of 3141"
"Fentress County",47049,42.8,7532,"3004 of 3141"
"Grundy County",47061,43.5,5712,"3021 of 3141"
"Clay County",47027,44.4,3363,"3034 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:21 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Poverty: Persons below 150% of poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#poverty."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
