------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=47&areatype=county&topic=pop&demo=00101&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '47', 'areatype': 'county', 'topic': 'pop', 'demo': '00101', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_024.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=47&areatype=county&topic=pop&demo=00101&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Tennessee by County
Population: Non-Hispanic (Origin Recode)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Non-Hispanic [Origin Recode]),Rank within US
"United States",00000,82.4,264493836,"N/A"
"Tennessee",47000,94.8,6257318,"38 of 52"
"Bedford County",47003,88.2,41326,"634 of 3141"
"Hamblen County",47063,88.5,56196,"650 of 3141"
"Crockett County",47033,89.9,13081,"718 of 3141"
"Davidson County",47037,89.9,609996,"720 of 3141"
"Montgomery County",47125,90.3,173455,"755 of 3141"
"Warren County",47177,91.3,36702,"830 of 3141"
"Loudon County",47105,91.8,46854,"882 of 3141"
"DeKalb County",47041,92.4,17910,"927 of 3141"
"Rutherford County",47149,92.6,276243,"946 of 3141"
"Robertson County",47147,93.6,64174,"1071 of 3141"
"Shelby County",47157,93.9,880649,"1110 of 3141"
"Putnam County",47141,94.0,71023,"1125 of 3141"
"Bradley County",47011,94.2,97637,"1156 of 3141"
"Sevier County",47155,94.3,90124,"1193 of 3141"
"Maury County",47119,94.6,82857,"1234 of 3141"
"Hamilton County",47065,94.7,335886,"1261 of 3141"
"Macon County",47111,94.9,22052,"1293 of 3141"
"Marshall County",47117,95.1,30185,"1332 of 3141"
"Williamson County",47187,95.3,202224,"1381 of 3141"
"Rhea County",47143,95.4,30977,"1397 of 3141"
"Sumner County",47165,95.5,167773,"1423 of 3141"
"Unicoi County",47171,95.6,17043,"1452 of 3141"
"Haywood County",47075,95.7,17176,"1475 of 3141"
"Monroe County",47123,95.8,43773,"1501 of 3141"
"Coffee County",47031,95.9,51865,"1540 of 3141"
"Knox County",47093,96.0,434272,"1570 of 3141"
"Obion County",47131,96.0,29445,"1574 of 3141"
"Wilson County",47189,96.2,123921,"1601 of 3141"
"McMinn County",47107,96.3,50634,"1643 of 3141"
"Madison County",47113,96.3,94311,"1657 of 3141"
"Sequatchie County",47153,96.5,14139,"1693 of 3141"
"Jefferson County",47089,96.5,51051,"1708 of 3141"
