------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=29&areatype=county&cancer=001&race=05&sex=0&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '29', 'areatype': 'county', 'cancer': '001', 'race': '05', 'sex': '0', 'age': '001', 'type': 'death', 'file_name': 'deathrates_027.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=29&areatype=county&cancer=001&race=05&sex=0&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Death Rate Report for Missouri by County

"All Cancer Sites, 2012-2016"

"Hispanic (any race), Both Sexes, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of 161.4?,"Age-Adjusted Death Rate(†) - deaths per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Death Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Missouri",29000,Yes,92.1 ,83.6, 101.2,99,stable,3.2 ,-4.9, 12.0
"United States (6)",00000,Yes,113.5 ,113, 114,36561,falling,-1.3 ,-1.3, -1.2
"Buchanan County",29021,Yes,132.3 ,67.7, 224.6,3,*,*,*,*
"Clay County",29047,Yes,122.4 ,86.9, 166.1,9,stable,0.4 ,-2.0, 2.9
"St. Louis City",29510,Yes,112.2 ,73, 162.6,6,stable,7.7 ,-41.3, 97.4
"Jackson County",29095,Yes,109.9 ,92.2, 129.7,30,falling,-1.8 ,-3.0, -0.6
"St. Louis County",29189,Yes,79.2 ,58.6, 104,11,stable,3.4 ,-13.3, 23.3
"St. Charles County",29183,Yes,78.5 ,46.1, 122.5,4,*,*,*,*
"Adair County",29001,***,* ,*, *,3 or fewer,*,*,*,*
"Andrew County",29003,***,* ,*, *,3 or fewer,*,*,*,*
"Atchison County",29005,***,* ,*, *,3 or fewer,*,*,*,*
"Audrain County",29007,***,* ,*, *,3 or fewer,*,*,*,*
"Barry County",29009,***,* ,*, *,3 or fewer,*,*,*,*
"Barton County",29011,***,* ,*, *,3 or fewer,*,*,*,*
"Bates County",29013,***,* ,*, *,3 or fewer,*,*,*,*
"Benton County",29015,***,* ,*, *,3 or fewer,*,*,*,*
"Bollinger County",29017,***,* ,*, *,3 or fewer,*,*,*,*
"Boone County",29019,***,* ,*, *,3 or fewer,*,*,*,*
"Butler County",29023,***,* ,*, *,3 or fewer,*,*,*,*
"Caldwell County",29025,***,* ,*, *,3 or fewer,*,*,*,*
"Callaway County",29027,***,* ,*, *,3 or fewer,*,*,*,*
"Camden County",29029,***,* ,*, *,3 or fewer,*,*,*,*
"Cape Girardeau County",29031,***,* ,*, *,3 or fewer,*,*,*,*
"Carroll County",29033,***,* ,*, *,3 or fewer,*,*,*,*
"Carter County",29035,***,* ,*, *,3 or fewer,*,*,*,*
"Cass County",29037,***,* ,*, *,3 or fewer,*,*,*,*
"Cedar County",29039,***,* ,*, *,3 or fewer,*,*,*,*
"Chariton County",29041,***,* ,*, *,3 or fewer,*,*,*,*
"Christian County",29043,***,* ,*, *,3 or fewer,*,*,*,*
"Clark County",29045,***,* ,*, *,3 or fewer,*,*,*,*
"Clinton County",29049,***,* ,*, *,3 or fewer,*,*,*,*
"Cole County",29051,***,* ,*, *,3 or fewer,*,*,*,*
"Cooper County",29053,***,* ,*, *,3 or fewer,*,*,*,*
