------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=55&areatype=county&cancer=057&race=00&sex=2&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '55', 'areatype': 'county', 'cancer': '057', 'race': '00', 'sex': '2', 'age': '001', 'type': 'incd', 'file_name': 'incidencerates_005.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=55&areatype=county&cancer=057&race=00&sex=2&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for Wisconsin by County

"Cervix (All Stages^), 2012-2016"

"All Races (includes Hispanic), Female, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of 7.2?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Wisconsin(6,10)",55000,Yes,6.6 ,6.1, 7,196,stable,4.2 ,-4.4, 13.6
"US (SEER+NPCR)(1,10)",00000,No,7.6 ,7.5, 7.6,12695,stable,0.8 ,-0.6, 2.3
"Columbia County(6,10)",55021,No,12.9 ,7.4, 20.7,4,*,*,*,*
"Rock County(6,10)",55105,No,10 ,7.1, 13.6,8,stable,29.2 ,-11.3, 88.2
"Milwaukee County(6,10)",55079,No,8.2 ,7.1, 9.4,41,stable,5.3 ,-11.6, 25.4
"Racine County(6,10)",55101,No,8 ,5.6, 11.1,8,stable,0.1 ,-18.7, 23.1
"Brown County(6,10)",55009,No,7.9 ,5.9, 10.4,11,stable,13.1 ,-8.7, 40.1
"Dane County(6,10)",55025,No,7.3 ,5.8, 8.9,19,stable,12.7 ,-12.0, 44.3
"Kenosha County(6,10)",55059,Yes,7 ,4.7, 10,6,stable,-6.6 ,-40.4, 46.4
"Winnebago County(6,10)",55139,Yes,6.6 ,4.3, 9.7,5,stable,-2.8 ,-42.1, 63.2
"Eau Claire County(6,10)",55035,Yes,6.5 ,3.6, 10.7,3,*,*,*,*
"Sheboygan County(6,10)",55117,Yes,6.4 ,3.7, 10.1,4,stable,-9.5 ,-44.7, 48.2
"Fond du Lac County(6,10)",55039,Yes,5.8 ,3.2, 9.5,3,*,*,*,*
"Marathon County(6,10)",55073,Yes,5 ,2.8, 8.2,3,*,*,*,*
"Waukesha County(6,10)",55133,Yes,5 ,3.6, 6.7,10,stable,1.0 ,-15.0, 20.0
"Outagamie County(6,10)",55087,Yes,3.5 ,2, 5.7,3,*,*,*,*
"Adams County(6,10)",55001,***,* ,*, *,3 or fewer,*,*,*,*
"Ashland County(6,10)",55003,***,* ,*, *,3 or fewer,*,*,*,*
"Barron County(6,10)",55005,***,* ,*, *,3 or fewer,*,*,*,*
"Bayfield County(6,10)",55007,***,* ,*, *,3 or fewer,*,*,*,*
"Buffalo County(6,10)",55011,***,* ,*, *,3 or fewer,*,*,*,*
"Burnett County(6,10)",55013,***,* ,*, *,3 or fewer,*,*,*,*
"Calumet County(6,10)",55015,***,* ,*, *,3 or fewer,*,*,*,*
"Chippewa County(6,10)",55017,***,* ,*, *,3 or fewer,*,*,*,*
"Clark County(6,10)",55019,***,* ,*, *,3 or fewer,*,*,*,*
"Crawford County(6,10)",55023,***,* ,*, *,3 or fewer,*,*,*,*
"Dodge County(6,10)",55027,***,* ,*, *,3 or fewer,*,*,*,*
"Door County(6,10)",55029,***,* ,*, *,3 or fewer,*,*,*,*
"Douglas County(6,10)",55031,***,* ,*, *,3 or fewer,*,*,*,*
"Dunn County(6,10)",55033,***,* ,*, *,3 or fewer,*,*,*,*
"Florence County(6,10)",55037,***,* ,*, *,3 or fewer,*,*,*,*
"Forest County(6,10)",55041,***,* ,*, *,3 or fewer,*,*,*,*
"Grant County(6,10)",55043,***,* ,*, *,3 or fewer,*,*,*,*
"Green County(6,10)",55045,***,* ,*, *,3 or fewer,*,*,*,*
"Green Lake County(6,10)",55047,***,* ,*, *,3 or fewer,*,*,*,*
"Iowa County(6,10)",55049,***,* ,*, *,3 or fewer,*,*,*,*
"Iron County(6,10)",55051,***,* ,*, *,3 or fewer,*,*,*,*
"Jackson County(6,10)",55053,***,* ,*, *,3 or fewer,*,*,*,*
"Jefferson County(6,10)",55055,***,* ,*, *,3 or fewer,*,*,*,*
"Juneau County(6,10)",55057,***,* ,*, *,3 or fewer,*,*,*,*
"Kewaunee County(6,10)",55061,***,* ,*, *,3 or fewer,*,*,*,*
