------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=18&areatype=county&cancer=055&stage=211&race=00&sex=2&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '18', 'areatype': 'county', 'cancer': '055', 'stage': '211', 'race': '00', 'sex': '2', 'age': '001', 'type': 'incd', 'file_name': 'incidencerates_042.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=18&areatype=county&cancer=055&stage=211&race=00&sex=2&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for Indiana by County

"Breast (Late Stage^), 2012-2016"

"All Races (includes Hispanic), Female, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of 42.1?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Percent of Cases with Late Stage
"Indiana(6)",18000,Yes,40.8 ,39.9, 41.8,1569,32.7
"US (SEER+NPCR)(1)",00000,No,42.3 ,42.1, 42.4,78906,33.0
"Morgan County(6)",18109,No,57.3 ,47.4, 68.8,25,38.4
"Shelby County(6)",18145,No,55.5 ,43.5, 70,16,40.0
"Montgomery County(6)",18107,No,53.6 ,40.4, 69.9,12,36.8
"Fountain County(6)",18045,No,51.7 ,33.6, 76.7,6,31.1
"Tipton County(6)",18159,No,51.6 ,34.9, 75.1,6,37.6
"Knox County(6)",18083,No,50.4 ,38.1, 65.7,12,34.6
"Howard County(6)",18067,No,48.2 ,39.9, 57.8,26,35.1
"Spencer County(6)",18147,No,48 ,31.9, 69.7,6,33.7
"Vigo County(6)",18167,No,46.3 ,38.8, 54.9,29,35.4
"Warrick County(6)",18173,No,45.8 ,36.3, 57.3,17,30.6
"Orange County(6)",18117,No,45.6 ,29.3, 67.8,5,31.8
"Randolph County(6)",18135,No,45.5 ,31.4, 64.1,7,40.0
"Rush County(6)",18139,No,45.4 ,28.3, 69.5,5,28.9
"Lake County(6)",18089,No,45.1 ,41.7, 48.7,136,35.0
"LaGrange County(6)",18087,No,44.6 ,31.2, 61.5,8,37.3
"Starke County(6)",18149,No,43.9 ,29.8, 62.8,7,44.0
"Greene County(6)",18055,No,43.8 ,31.7, 59.4,10,32.4
"Dearborn County(6)",18029,No,43.8 ,33.6, 56.1,14,34.2
"St. Joseph County(6)",18141,No,43.5 ,38.8, 48.5,68,36.1
"Jasper County(6)",18073,No,43.4 ,31, 59.2,9,36.4
"LaPorte County(6)",18091,No,43.3 ,36.3, 51.3,29,35.6
"Cass County(6)",18017,No,42.9 ,31.4, 57.3,10,37.0
"Hamilton County(6)",18057,No,42.9 ,38.4, 47.7,70,29.9
"Porter County(6)",18127,No,42.8 ,37.2, 49.2,44,33.5
"Henry County(6)",18065,No,42.7 ,32.5, 55.4,13,38.5
"Marion County(6)",18097,No,42.7 ,40.2, 45.4,216,33.0
"Wayne County(6)",18177,No,42.7 ,33.9, 53.1,18,34.7
"Huntington County(6)",18069,No,42.7 ,31.4, 57,10,34.2
"Hendricks County(6)",18063,No,42.6 ,36.6, 49.4,37,29.5
"Floyd County(6)",18043,No,42.5 ,34.2, 52.3,20,31.0
"Franklin County(6)",18047,No,42.1 ,27.3, 62.3,5,28.7
"Bartholomew County(6)",18005,Yes,42.1 ,34.1, 51.4,20,33.1
"Allen County(6)",18003,Yes,41.9 ,37.9, 46.2,85,33.7
"Marshall County(6)",18099,Yes,41.8 ,31.6, 54.3,12,39.6
"Adams County(6)",18001,Yes,41.7 ,29.1, 57.8,8,37.9
"Madison County(6)",18095,Yes,41.6 ,35.1, 48.9,32,31.3
"Kosciusko County(6)",18085,Yes,41.4 ,33.1, 51.1,18,33.2
"Grant County(6)",18053,Yes,41.2 ,32.7, 51.4,18,32.7
"Dubois County(6)",18037,Yes,41.2 ,30.6, 54.6,11,33.3
"Pulaski County(6)",18131,Yes,41.1 ,24.9, 65.7,4,40.0
"Jay County(6)",18075,Yes,40.7 ,26.7, 59.9,6,37.3
"Lawrence County(6)",18093,Yes,40.4 ,30.4, 52.9,12,34.9
"Fulton County(6)",18049,Yes,40.2 ,25.2, 61,5,30.9
"Pike County(6)",18125,Yes,40 ,23.1, 65.9,4,40.9
"DeKalb County(6)",18033,Yes,39.4 ,29.1, 52.4,10,37.2
"Clark County(6)",18019,Yes,39.3 ,32.9, 46.7,28,31.3
"Monroe County(6)",18105,Yes,39.3 ,32.5, 47.1,25,30.1
"Jackson County(6)",18071,Yes,39.2 ,28.7, 52.4,10,38.3
"Sullivan County(6)",18153,Yes,39.2 ,25.5, 58.4,6,36.4
"Wells County(6)",18179,Yes,38.2 ,26.1, 54.2,7,32.1
"Daviess County(6)",18027,Yes,38.1 ,26.2, 53.7,7,35.7
"Whitley County(6)",18183,Yes,38.1 ,26.6, 53,8,30.7
"Elkhart County(6)",18039,Yes,37.6 ,32.6, 43.2,42,33.3
"Hancock County(6)",18059,Yes,37.1 ,29.3, 46.3,17,29.0
"Putnam County(6)",18133,Yes,36.9 ,26, 51.2,8,29.6
"Decatur County(6)",18031,Yes,36.9 ,25, 52.8,6,41.0
"Wabash County(6)",18169,Yes,36.7 ,25.3, 51.7,8,33.1
"Johnson County(6)",18081,Yes,36.6 ,30.9, 43.1,30,29.9
"Tippecanoe County(6)",18157,Yes,36.3 ,30.6, 42.7,30,31.1
"Gibson County(6)",18051,Yes,36.2 ,24.8, 51.1,7,26.3
"Noble County(6)",18113,Yes,35.2 ,25.4, 47.6,9,27.7
"Vanderburgh County(6)",18163,Yes,35.2 ,30.1, 40.9,38,28.3
"Clinton County(6)",18023,Yes,35.2 ,24.1, 49.8,7,35.0
"Clay County(6)",18021,Yes,34.5 ,22.9, 50.2,6,30.6
"Harrison County(6)",18061,Yes,34.2 ,24.1, 47.3,8,25.9
"Scott County(6)",18143,Yes,34.1 ,21.4, 51.6,5,32.9
"White County(6)",18181,Yes,33.6 ,21.1, 51.2,5,28.0
"Boone County(6)",18011,Yes,33.5 ,25.3, 43.6,12,25.8
"Jefferson County(6)",18077,Yes,32.6 ,22.6, 45.8,7,29.8
"Parke County(6)",18121,Yes,32.4 ,19.6, 51.2,4,31.7
"Delaware County(6)",18035,Yes,32.2 ,26, 39.4,21,30.1
"Steuben County(6)",18151,Yes,31 ,21.3, 44,7,41.9
"Owen County(6)",18119,Yes,30.9 ,18.2, 49.4,4,25.6
"Perry County(6)",18123,Yes,29.7 ,17.1, 48.7,4,28.1
"Posey County(6)",18129,Yes,29.6 ,18.4, 45.4,5,22.1
"Jennings County(6)",18079,Yes,29.1 ,18.8, 43.5,5,26.5
"Washington County(6)",18175,Yes,28.2 ,17.8, 42.7,5,30.0
"Carroll County(6)",18015,Yes,26.2 ,15.4, 42.4,4,29.7
"Miami County(6)",18103,Yes,25.9 ,17.1, 38,6,29.9
"Fayette County(6)",18041,Yes,25.5 ,15.2, 40.7,4,27.8
"Ripley County(6)",18137,Yes,19 ,11, 31,4,20.0
