------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=17&areatype=county&topic=pop&demo=00024&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '17', 'areatype': 'county', 'topic': 'pop', 'demo': '00024', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_020.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=17&areatype=county&topic=pop&demo=00024&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Illinois by County
Population: Asian / Pacific Islander
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (API),Rank within US
"Illinois",17000,5.3,676086,"11 of 52"
"United States",00000,5.5,17756436,"N/A"
"Schuyler County",17169,0.0,0,"2927 of 3141"
"Jasper County",17079,0.0,1,"2921 of 3141"
"Hardin County",17069,0.1,3,"2833 of 3141"
"Hamilton County",17065,0.1,10,"2736 of 3141"
"Alexander County",17003,0.2,11,"2661 of 3141"
"Mason County",17125,0.2,23,"2656 of 3141"
"Massac County",17127,0.2,26,"2627 of 3141"
"Montgomery County",17135,0.2,52,"2627 of 3141"
"Johnson County",17087,0.2,23,"2626 of 3141"
"Greene County",17061,0.2,24,"2620 of 3141"
"Moultrie County",17139,0.2,30,"2570 of 3141"
"Scott County",17171,0.2,11,"2553 of 3141"
"Union County",17181,0.2,43,"2491 of 3141"
"Effingham County",17049,0.3,88,"2477 of 3141"
"Mercer County",17131,0.3,43,"2451 of 3141"
"Pulaski County",17153,0.3,16,"2426 of 3141"
"De Witt County",17039,0.3,46,"2422 of 3141"
"Gallatin County",17059,0.3,15,"2416 of 3141"
"Pike County",17149,0.3,49,"2371 of 3141"
"Fulton County",17057,0.3,115,"2342 of 3141"
"Edgar County",17045,0.4,63,"2263 of 3141"
"Randolph County",17157,0.4,119,"2249 of 3141"
"Putnam County",17155,0.4,21,"2246 of 3141"
"Shelby County",17173,0.4,81,"2229 of 3141"
"Lawrence County",17101,0.4,62,"2213 of 3141"
"Piatt County",17147,0.4,64,"2175 of 3141"
"Crawford County",17033,0.4,75,"2173 of 3141"
"Iroquois County",17075,0.4,119,"2100 of 3141"
"Marshall County",17123,0.4,51,"2075 of 3141"
"Hancock County",17067,0.4,80,"2048 of 3141"
"Macoupin County",17117,0.4,202,"2044 of 3141"
"Wayne County",17191,0.4,74,"2023 of 3141"
