------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=17&areatype=county&topic=pop&demo=00028&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '17', 'areatype': 'county', 'topic': 'pop', 'demo': '00028', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_016.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=17&areatype=county&topic=pop&demo=00028&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Illinois by County
Population: Age 40 and over
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 40 And Over),Rank within US
"Illinois",17000,47.0,6044983,"31 of 52"
"United States",00000,47.3,151838062,"N/A"
"Champaign County",17019,36.9,76705,"3075 of 3141"
"DeKalb County",17037,39.5,41267,"3007 of 3141"
"Jackson County",17077,39.7,23487,"2995 of 3141"
"Kendall County",17093,40.4,49607,"2965 of 3141"
"McLean County",17113,40.5,70154,"2957 of 3141"
"McDonough County",17109,42.1,13292,"2888 of 3141"
"Coles County",17029,43.9,23088,"2757 of 3141"
"Cook County",17031,45.0,2359655,"2657 of 3141"
"Kane County",17089,45.5,240796,"2613 of 3141"
"Peoria County",17143,46.3,86165,"2520 of 3141"
"Will County",17197,46.4,318944,"2511 of 3141"
"Grundy County",17063,46.7,23514,"2472 of 3141"
"Brown County",17009,47.3,3214,"2401 of 3141"
"Kankakee County",17091,47.5,52662,"2353 of 3141"
"St. Clair County",17163,47.6,125784,"2347 of 3141"
"Douglas County",17041,47.6,9438,"2342 of 3141"
"Lake County",17097,47.6,335327,"2341 of 3141"
"Boone County",17007,47.6,25552,"2337 of 3141"
"DuPage County",17043,48.8,454462,"2145 of 3141"
"Effingham County",17049,48.8,16674,"2137 of 3141"
"Warren County",17187,48.9,8516,"2124 of 3141"
"Winnebago County",17201,49.6,142579,"1993 of 3141"
"McHenry County",17111,49.9,153674,"1931 of 3141"
"Moultrie County",17139,49.9,7341,"1928 of 3141"
"Woodford County",17203,49.9,19446,"1916 of 3141"
"Madison County",17119,49.9,132939,"1914 of 3141"
"Rock Island County",17161,50.0,73133,"1906 of 3141"
"Sangamon County",17167,50.1,99236,"1892 of 3141"
"Vermilion County",17183,50.2,39777,"1861 of 3141"
"Cass County",17017,50.3,6479,"1846 of 3141"
"Clinton County",17027,50.4,18958,"1824 of 3141"
"Bond County",17005,50.4,8591,"1808 of 3141"
"Tazewell County",17179,50.9,68626,"1681 of 3141"
"Logan County",17107,51.1,15059,"1651 of 3141"
"Jefferson County",17081,51.1,19604,"1642 of 3141"
