------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=17&areatype=county&topic=ed&demo=00005&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '17', 'areatype': 'county', 'topic': 'ed', 'demo': '00005', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_002.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=17&areatype=county&topic=ed&demo=00005&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Illinois by County
Education: Less than High School
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People(Education: Less Than High School),Rank within US
"Illinois",17000,11.4,991424,"31 of 52"
"United States",00000,12.7,27437114,"N/A"
"McLean County",17113,4.2,4359,"47 of 3141"
"Monroe County",17133,4.8,1131,"80 of 3141"
"Champaign County",17019,4.9,5918,"98 of 3141"
"Piatt County",17147,5.4,621,"136 of 3141"
"Woodford County",17203,5.4,1408,"140 of 3141"
"Grundy County",17063,6.7,2229,"305 of 3141"
"McDonough County",17109,7.1,1300,"354 of 3141"
"Marshall County",17123,7.1,613,"363 of 3141"
"Tazewell County",17179,7.2,6702,"369 of 3141"
"McHenry County",17111,7.2,14917,"387 of 3141"
"Scott County",17171,7.3,263,"400 of 3141"
"DeKalb County",17037,7.3,4505,"408 of 3141"
"Menard County",17129,7.4,644,"414 of 3141"
"Hancock County",17067,7.4,975,"433 of 3141"
"Putnam County",17155,7.5,319,"458 of 3141"
"Sangamon County",17167,7.6,10339,"474 of 3141"
"DuPage County",17043,7.6,48155,"483 of 3141"
"Madison County",17119,7.7,14164,"498 of 3141"
"Mercer County",17131,7.8,880,"527 of 3141"
"Jackson County",17077,7.9,2772,"533 of 3141"
"Shelby County",17173,7.9,1224,"534 of 3141"
"Washington County",17189,7.9,804,"545 of 3141"
"Effingham County",17049,7.9,1835,"556 of 3141"
"Kendall County",17093,8.0,6131,"564 of 3141"
"Jo Daviess County",17085,8.0,1303,"573 of 3141"
"Adams County",17001,8.3,3833,"641 of 3141"
"De Witt County",17039,8.4,961,"656 of 3141"
"Clark County",17023,8.5,936,"671 of 3141"
"Carroll County",17015,8.5,911,"673 of 3141"
"Morgan County",17137,8.5,2036,"682 of 3141"
"Stephenson County",17177,8.6,2762,"689 of 3141"
"Jersey County",17083,8.6,1316,"704 of 3141"
"Calhoun County",17013,8.7,305,"712 of 3141"
"Bureau County",17011,8.9,2112,"776 of 3141"
"Williamson County",17199,9.1,4338,"810 of 3141"
"Coles County",17029,9.2,3016,"822 of 3141"
"Will County",17197,9.2,40819,"827 of 3141"
"St. Clair County",17163,9.3,16535,"868 of 3141"
"Macoupin County",17117,9.4,3045,"886 of 3141"
"Stark County",17175,9.6,377,"938 of 3141"
"Lake County",17097,9.7,44378,"965 of 3141"
"Hamilton County",17065,9.8,572,"986 of 3141"
"Peoria County",17143,10.0,12381,"1018 of 3141"
"Macon County",17115,10.0,7349,"1022 of 3141"
"White County",17193,10.3,1037,"1100 of 3141"
"Edwards County",17047,10.4,473,"1124 of 3141"
"Wabash County",17185,10.4,833,"1126 of 3141"
"Whiteside County",17195,10.4,4126,"1143 of 3141"
"Henderson County",17071,10.4,533,"1146 of 3141"
"Ford County",17053,10.4,981,"1153 of 3141"
"Iroquois County",17075,10.5,2116,"1170 of 3141"
"Livingston County",17105,10.7,2749,"1211 of 3141"
"Henry County",17073,10.8,3718,"1223 of 3141"
"Logan County",17107,10.8,2256,"1232 of 3141"
"Bond County",17005,10.9,1292,"1236 of 3141"
"Clinton County",17027,10.9,2906,"1251 of 3141"
"Ogle County",17141,11.0,3935,"1274 of 3141"
"Clay County",17025,11.0,1043,"1280 of 3141"
"Lee County",17103,11.1,2770,"1287 of 3141"
"Marion County",17121,11.1,2948,"1292 of 3141"
"Christian County",17021,11.1,2663,"1294 of 3141"
"Rock Island County",17161,11.2,11259,"1318 of 3141"
"Mason County",17125,11.2,1127,"1326 of 3141"
"La Salle County",17099,11.3,8739,"1331 of 3141"
"Jasper County",17079,11.3,757,"1340 of 3141"
"Cumberland County",17035,11.4,869,"1361 of 3141"
"Edgar County",17045,11.4,1447,"1373 of 3141"
"Schuyler County",17169,11.6,626,"1400 of 3141"
"Pike County",17149,11.8,1308,"1439 of 3141"
"Knox County",17095,12.0,4304,"1489 of 3141"
"Kankakee County",17091,12.1,8781,"1492 of 3141"
"Warren County",17187,12.1,1383,"1508 of 3141"
"Richland County",17159,12.3,1375,"1549 of 3141"
"Fulton County",17057,12.4,3200,"1575 of 3141"
"Union County",17181,12.5,1543,"1588 of 3141"
"Gallatin County",17059,12.6,471,"1601 of 3141"
"Winnebago County",17201,12.6,24503,"1605 of 3141"
"Franklin County",17055,12.8,3523,"1634 of 3141"
"Vermilion County",17183,12.8,6867,"1636 of 3141"
"Wayne County",17191,13.0,1511,"1673 of 3141"
"Saline County",17165,13.2,2257,"1704 of 3141"
"Crawford County",17033,13.2,1846,"1718 of 3141"
"Boone County",17007,13.2,4605,"1720 of 3141"
"Greene County",17061,13.3,1243,"1723 of 3141"
"Montgomery County",17135,13.3,2787,"1731 of 3141"
"Pope County",17151,13.4,457,"1748 of 3141"
"Cook County",17031,13.8,494411,"1798 of 3141"
"Pulaski County",17153,14.2,575,"1856 of 3141"
"Massac County",17127,14.6,1511,"1919 of 3141"
"Moultrie County",17139,14.7,1458,"1933 of 3141"
"Jefferson County",17081,14.7,3930,"1936 of 3141"
"Perry County",17145,15.0,2281,"1977 of 3141"
"Cass County",17017,15.5,1353,"2065 of 3141"
"Randolph County",17157,16.0,3826,"2137 of 3141"
"Brown County",17009,16.2,819,"2160 of 3141"
"Kane County",17089,16.6,56404,"2205 of 3141"
"Johnson County",17087,16.9,1589,"2254 of 3141"
"Lawrence County",17101,17.2,2040,"2288 of 3141"
"Douglas County",17041,17.4,2298,"2323 of 3141"
"Fayette County",17051,17.4,2696,"2330 of 3141"
"Hardin County",17069,18.4,577,"2420 of 3141"
"Alexander County",17003,21.5,996,"2749 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:58 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Education: Less than High School, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#education."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
