------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=17&areatype=county&topic=pop&demo=00022&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '17', 'areatype': 'county', 'topic': 'pop', 'demo': '00022', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_021.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=17&areatype=county&topic=pop&demo=00022&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Illinois by County
Population: Black
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Black),Rank within US
"United States",00000,12.7,40610815,"N/A"
"Illinois",17000,14.3,1833501,"15 of 52"
"Cumberland County",17035,0.1,10,"2971 of 3141"
"Scott County",17171,0.1,6,"2951 of 3141"
"Henderson County",17071,0.1,10,"2908 of 3141"
"Gallatin County",17059,0.3,14,"2795 of 3141"
"Calhoun County",17013,0.3,15,"2753 of 3141"
"Douglas County",17041,0.3,64,"2728 of 3141"
"Clark County",17023,0.3,52,"2720 of 3141"
"Jo Daviess County",17085,0.4,86,"2664 of 3141"
"Jasper County",17079,0.4,38,"2657 of 3141"
"Putnam County",17155,0.4,24,"2632 of 3141"
"Monroe County",17133,0.4,141,"2630 of 3141"
"White County",17193,0.4,61,"2618 of 3141"
"Marshall County",17123,0.4,53,"2596 of 3141"
"Richland County",17159,0.4,71,"2595 of 3141"
"Jersey County",17083,0.5,103,"2574 of 3141"
"De Witt County",17039,0.5,76,"2565 of 3141"
"Edwards County",17047,0.5,32,"2539 of 3141"
"Menard County",17129,0.5,63,"2516 of 3141"
"Washington County",17189,0.5,75,"2498 of 3141"
"Effingham County",17049,0.6,190,"2462 of 3141"
"Mercer County",17131,0.6,88,"2458 of 3141"
"Edgar County",17045,0.6,100,"2453 of 3141"
"Moultrie County",17139,0.6,85,"2438 of 3141"
"Hamilton County",17065,0.6,49,"2418 of 3141"
"Wayne County",17191,0.6,99,"2408 of 3141"
"Mason County",17125,0.6,85,"2393 of 3141"
"Woodford County",17203,0.6,244,"2376 of 3141"
"Hancock County",17067,0.7,121,"2335 of 3141"
"Stark County",17175,0.7,37,"2326 of 3141"
"Clay County",17025,0.7,90,"2317 of 3141"
"Shelby County",17173,0.7,151,"2296 of 3141"
"Franklin County",17055,0.7,282,"2262 of 3141"
"Bureau County",17011,0.8,261,"2220 of 3141"
"Macoupin County",17117,0.8,358,"2218 of 3141"
"Wabash County",17185,0.8,98,"2156 of 3141"
"Ford County",17053,0.9,122,"2111 of 3141"
"Union County",17181,1.0,168,"2051 of 3141"
"Piatt County",17147,1.1,175,"2002 of 3141"
"Ogle County",17141,1.1,565,"1986 of 3141"
"Iroquois County",17075,1.2,330,"1958 of 3141"
"Tazewell County",17179,1.2,1663,"1923 of 3141"
"Greene County",17061,1.3,170,"1909 of 3141"
"McHenry County",17111,1.3,4108,"1881 of 3141"
"Carroll County",17015,1.3,198,"1872 of 3141"
"Grundy County",17063,1.5,760,"1797 of 3141"
"Christian County",17021,1.7,559,"1730 of 3141"
"Pike County",17149,1.7,270,"1719 of 3141"
"Whiteside County",17195,1.7,980,"1710 of 3141"
"Henry County",17073,1.8,878,"1700 of 3141"
"Boone County",17007,2.3,1220,"1561 of 3141"
"La Salle County",17099,2.5,2777,"1515 of 3141"
"Warren County",17187,2.8,485,"1452 of 3141"
"Marion County",17121,3.4,1299,"1345 of 3141"
"Saline County",17165,3.4,841,"1330 of 3141"
"Clinton County",17027,3.6,1349,"1316 of 3141"
"Hardin County",17069,3.8,157,"1291 of 3141"
"Fulton County",17057,3.8,1352,"1286 of 3141"
"Coles County",17029,3.8,2001,"1281 of 3141"
"Adams County",17001,4.0,2689,"1251 of 3141"
"Livingston County",17105,4.1,1499,"1242 of 3141"
"Williamson County",17199,4.1,2778,"1233 of 3141"
"Crawford County",17033,4.2,815,"1224 of 3141"
"Cass County",17017,4.6,596,"1181 of 3141"
"DuPage County",17043,4.7,43525,"1177 of 3141"
"McDonough County",17109,4.9,1547,"1154 of 3141"
"Pope County",17151,5.1,221,"1132 of 3141"
"Fayette County",17051,5.2,1132,"1121 of 3141"
"Lee County",17103,5.2,1814,"1113 of 3141"
"Schuyler County",17169,5.5,398,"1084 of 3141"
"Kane County",17089,5.6,29774,"1077 of 3141"
"Montgomery County",17135,6.0,1756,"1036 of 3141"
"Bond County",17005,6.1,1032,"1031 of 3141"
"Massac County",17127,6.1,889,"1028 of 3141"
"Morgan County",17137,6.3,2155,"1012 of 3141"
"Kendall County",17093,6.8,8322,"980 of 3141"
"Logan County",17107,6.8,1998,"979 of 3141"
"Lake County",17097,6.8,47970,"972 of 3141"
"DeKalb County",17037,7.4,7766,"932 of 3141"
"McLean County",17113,8.2,14214,"889 of 3141"
"Jefferson County",17081,8.5,3277,"870 of 3141"
"Madison County",17119,8.6,22844,"868 of 3141"
"Perry County",17145,8.7,1868,"859 of 3141"
"Lawrence County",17101,8.7,1434,"858 of 3141"
"Knox County",17095,8.9,4569,"845 of 3141"
"Stephenson County",17177,9.5,4371,"818 of 3141"
"Rock Island County",17161,10.0,14573,"798 of 3141"
"Randolph County",17157,10.6,3485,"769 of 3141"
"Will County",17197,11.2,77198,"739 of 3141"
"Johnson County",17087,11.3,1459,"736 of 3141"
"Winnebago County",17201,12.6,36256,"693 of 3141"
"Sangamon County",17167,12.8,25273,"689 of 3141"
"Champaign County",17019,13.1,27210,"677 of 3141"
"Macon County",17115,14.0,15021,"644 of 3141"
"Vermilion County",17183,14.0,11075,"643 of 3141"
"Jackson County",17077,14.7,8713,"618 of 3141"
"Kankakee County",17091,15.2,16836,"609 of 3141"
"Peoria County",17143,17.5,32658,"557 of 3141"
"Brown County",17009,21.5,1463,"463 of 3141"
"Cook County",17031,23.7,1242179,"431 of 3141"
"St. Clair County",17163,29.9,79010,"319 of 3141"
"Pulaski County",17153,30.5,1737,"308 of 3141"
"Alexander County",17003,34.6,2343,"252 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:58 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Black, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
