------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=17&areatype=county&topic=pop&demo=00105&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '17', 'areatype': 'county', 'topic': 'pop', 'demo': '00105', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_026.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=17&areatype=county&topic=pop&demo=00105&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Illinois by County
Population: Sex - Female
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Female),Rank within US
"United States",00000,50.8,162985654,"N/A"
"Illinois",17000,50.9,6541926,"30 of 52"
"Brown County",17009,35.8,2431,"13 of 3141"
"Johnson County",17087,43.1,5557,"73 of 3141"
"Randolph County",17157,44.5,14594,"99 of 3141"
"Perry County",17145,44.9,9635,"113 of 3141"
"Lawrence County",17101,45.1,7423,"121 of 3141"
"Schuyler County",17169,45.8,3287,"148 of 3141"
"Fayette County",17051,46.5,10229,"199 of 3141"
"Pope County",17151,46.7,2038,"220 of 3141"
"Lee County",17103,47.0,16295,"245 of 3141"
"Crawford County",17033,47.6,9147,"300 of 3141"
"Fulton County",17057,47.7,17060,"317 of 3141"
"Hardin County",17069,47.8,1990,"332 of 3141"
"Montgomery County",17135,47.9,13974,"344 of 3141"
"Clinton County",17027,48.1,18091,"378 of 3141"
"Bond County",17005,48.5,8267,"470 of 3141"
"Jefferson County",17081,48.7,18667,"500 of 3141"
"Livingston County",17105,48.7,17922,"506 of 3141"
"Putnam County",17155,48.8,2814,"526 of 3141"
"Christian County",17021,49.2,16522,"674 of 3141"
"Knox County",17095,49.2,25295,"678 of 3141"
"Cass County",17017,49.3,6351,"715 of 3141"
"Union County",17181,49.5,8555,"842 of 3141"
"Washington County",17189,49.6,7078,"896 of 3141"
"Morgan County",17137,49.7,17123,"957 of 3141"
"Jo Daviess County",17085,49.7,10965,"972 of 3141"
"La Salle County",17099,49.8,55332,"1015 of 3141"
"Greene County",17061,49.8,6629,"1029 of 3141"
"Calhoun County",17013,49.9,2444,"1126 of 3141"
"Cumberland County",17035,50.0,5446,"1169 of 3141"
"De Witt County",17039,50.0,8091,"1214 of 3141"
"Grundy County",17063,50.0,25179,"1218 of 3141"
"Mason County",17125,50.0,6956,"1222 of 3141"
"Lake County",17097,50.1,352629,"1244 of 3141"
"Champaign County",17019,50.1,104103,"1253 of 3141"
"Boone County",17007,50.1,26883,"1309 of 3141"
"Williamson County",17199,50.1,33831,"1328 of 3141"
"Jackson County",17077,50.2,29655,"1349 of 3141"
"McHenry County",17111,50.2,154540,"1352 of 3141"
"Effingham County",17049,50.2,17143,"1359 of 3141"
"Marshall County",17123,50.2,5987,"1376 of 3141"
"Ogle County",17141,50.2,25917,"1381 of 3141"
"Kane County",17089,50.2,266010,"1415 of 3141"
"Woodford County",17203,50.2,19568,"1420 of 3141"
"Hancock County",17067,50.3,9181,"1441 of 3141"
"Jasper County",17079,50.3,4832,"1460 of 3141"
"Shelby County",17173,50.3,11021,"1481 of 3141"
"Will County",17197,50.3,346008,"1483 of 3141"
"Vermilion County",17183,50.4,39882,"1521 of 3141"
"Richland County",17159,50.4,8034,"1529 of 3141"
"Pike County",17149,50.4,8023,"1536 of 3141"
"Mercer County",17131,50.4,7964,"1595 of 3141"
"Henry County",17073,50.4,25039,"1603 of 3141"
"Carroll County",17015,50.4,7416,"1610 of 3141"
"Wayne County",17191,50.5,8360,"1630 of 3141"
"DeKalb County",17037,50.5,52734,"1656 of 3141"
"Kendall County",17093,50.5,62132,"1729 of 3141"
"Piatt County",17147,50.6,8311,"1772 of 3141"
"Macoupin County",17117,50.6,23269,"1847 of 3141"
"Ford County",17053,50.7,6823,"1885 of 3141"
"Stark County",17175,50.7,2812,"1898 of 3141"
"Tazewell County",17179,50.7,68239,"1903 of 3141"
"Douglas County",17041,50.7,10050,"1923 of 3141"
"Clay County",17025,50.7,6791,"1946 of 3141"
"Rock Island County",17161,50.7,74152,"1958 of 3141"
"Whiteside County",17195,50.7,28833,"1991 of 3141"
"McDonough County",17109,50.7,16034,"1994 of 3141"
"Saline County",17165,50.8,12402,"2019 of 3141"
"Monroe County",17133,50.8,17154,"2100 of 3141"
"Clark County",17023,50.8,8097,"2106 of 3141"
"Henderson County",17071,50.9,3523,"2116 of 3141"
"Wabash County",17185,50.9,5884,"2124 of 3141"
"Kankakee County",17091,50.9,56376,"2138 of 3141"
"Franklin County",17055,50.9,20000,"2143 of 3141"
"Edgar County",17045,50.9,8960,"2153 of 3141"
"Bureau County",17011,50.9,17113,"2157 of 3141"
"DuPage County",17043,50.9,474499,"2175 of 3141"
"White County",17193,51.0,7229,"2215 of 3141"
"Marion County",17121,51.0,19524,"2223 of 3141"
"Scott County",17171,51.0,2606,"2248 of 3141"
"Edwards County",17047,51.0,3352,"2264 of 3141"
"Hamilton County",17065,51.0,4214,"2266 of 3141"
"Menard County",17129,51.0,6336,"2276 of 3141"
"Adams County",17001,51.0,34089,"2286 of 3141"
"Logan County",17107,51.1,15068,"2346 of 3141"
"Jersey County",17083,51.1,11360,"2388 of 3141"
"Winnebago County",17201,51.1,147058,"2402 of 3141"
"Madison County",17119,51.2,136166,"2410 of 3141"
"Iroquois County",17075,51.2,14579,"2474 of 3141"
"Moultrie County",17139,51.2,7538,"2480 of 3141"
