------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=17&areatype=county&topic=pop&demo=00025&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '17', 'areatype': 'county', 'topic': 'pop', 'demo': '00025', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_025.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=17&areatype=county&topic=pop&demo=00025&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Illinois by County
Population: White
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (White),Rank within US
"Illinois",17000,71.9,9236701,"35 of 52"
"United States",00000,73.0,234370202,"N/A"
"Cook County",17031,56.6,2966732,"2871 of 3141"
"Alexander County",17003,62.2,4215,"2772 of 3141"
"St. Clair County",17163,64.5,170540,"2713 of 3141"
"Pulaski County",17153,65.5,3725,"2691 of 3141"
"Kane County",17089,72.1,381774,"2505 of 3141"
"Champaign County",17019,72.7,151258,"2490 of 3141"
"Peoria County",17143,73.1,136008,"2483 of 3141"
"Will County",17197,73.6,506111,"2461 of 3141"
"Brown County",17009,76.5,5195,"2368 of 3141"
"Jackson County",17077,76.9,45439,"2355 of 3141"
"Macon County",17115,78.2,84088,"2296 of 3141"
"DuPage County",17043,78.3,729495,"2291 of 3141"
"Lake County",17097,78.4,552121,"2287 of 3141"
"Winnebago County",17201,78.9,226817,"2260 of 3141"
"Kankakee County",17091,79.8,88468,"2225 of 3141"
"Rock Island County",17161,81.6,119259,"2140 of 3141"
"Sangamon County",17167,82.2,162809,"2117 of 3141"
"Kendall County",17093,82.6,101482,"2098 of 3141"
"Vermilion County",17183,82.6,65453,"2095 of 3141"
"McLean County",17113,83.4,144451,"2044 of 3141"
"DeKalb County",17037,84.3,88042,"2003 of 3141"
"Stephenson County",17177,85.9,39361,"1926 of 3141"
"Knox County",17095,86.2,44276,"1900 of 3141"
"Randolph County",17157,87.1,28579,"1835 of 3141"
"Lawrence County",17101,87.5,14396,"1805 of 3141"
"Jefferson County",17081,87.6,33597,"1794 of 3141"
"Johnson County",17087,87.6,11302,"1793 of 3141"
"Boone County",17007,87.8,47071,"1784 of 3141"
"Madison County",17119,87.8,233810,"1771 of 3141"
"Logan County",17107,88.3,26048,"1714 of 3141"
"Perry County",17145,88.7,19034,"1673 of 3141"
"Warren County",17187,89.7,15626,"1587 of 3141"
"McDonough County",17109,90.3,28522,"1536 of 3141"
"De Witt County",17039,90.3,14604,"1534 of 3141"
"Cass County",17017,90.8,11692,"1485 of 3141"
"Bond County",17005,90.8,15463,"1484 of 3141"
"Massac County",17127,90.8,13253,"1481 of 3141"
"Lee County",17103,90.8,31494,"1477 of 3141"
"Morgan County",17137,90.8,31287,"1476 of 3141"
"Pope County",17151,91.4,3983,"1408 of 3141"
"Williamson County",17199,91.9,61999,"1341 of 3141"
"Montgomery County",17135,92.0,26832,"1326 of 3141"
"McHenry County",17111,92.4,284614,"1272 of 3141"
"Coles County",17029,92.7,48685,"1236 of 3141"
"Saline County",17165,92.7,22658,"1221 of 3141"
"Marion County",17121,92.8,35552,"1213 of 3141"
"Livingston County",17105,92.8,34170,"1211 of 3141"
"Adams County",17001,93.1,62209,"1163 of 3141"
"Fayette County",17051,93.2,20496,"1146 of 3141"
"Iroquois County",17075,93.3,26547,"1135 of 3141"
"Whiteside County",17195,93.3,53013,"1132 of 3141"
"Crawford County",17033,93.4,17938,"1120 of 3141"
"Piatt County",17147,93.5,15368,"1099 of 3141"
"La Salle County",17099,93.6,103991,"1090 of 3141"
"Henry County",17073,93.7,46509,"1065 of 3141"
"Schuyler County",17169,93.7,6727,"1064 of 3141"
"Clinton County",17027,93.8,35288,"1052 of 3141"
"Bureau County",17011,93.8,31527,"1048 of 3141"
"Hardin County",17069,93.9,3909,"1027 of 3141"
"Grundy County",17063,94.1,47342,"1006 of 3141"
"Fulton County",17057,94.3,33695,"966 of 3141"
"Ogle County",17141,94.4,48723,"951 of 3141"
"Union County",17181,94.4,16302,"944 of 3141"
"Carroll County",17015,95.8,14093,"647 of 3141"
"Tazewell County",17179,95.9,129144,"637 of 3141"
"Douglas County",17041,96.3,19101,"517 of 3141"
"Wabash County",17185,96.4,11152,"499 of 3141"
"Richland County",17159,96.5,15397,"478 of 3141"
"Pike County",17149,96.6,15384,"456 of 3141"
"Christian County",17021,96.6,32412,"455 of 3141"
"Ford County",17053,96.7,13029,"406 of 3141"
"Washington County",17189,96.8,13798,"393 of 3141"
"Jersey County",17083,96.8,21512,"370 of 3141"
"Woodford County",17203,96.9,37730,"354 of 3141"
"Gallatin County",17059,97.0,5067,"338 of 3141"
"Clark County",17023,97.0,15443,"331 of 3141"
"Macoupin County",17117,97.0,44586,"319 of 3141"
"Putnam County",17155,97.0,5600,"316 of 3141"
"Franklin County",17055,97.1,38162,"298 of 3141"
"Greene County",17061,97.1,12925,"297 of 3141"
"Menard County",17129,97.1,12057,"294 of 3141"
"Marshall County",17123,97.1,11584,"284 of 3141"
"Mercer County",17131,97.2,15344,"281 of 3141"
"Henderson County",17071,97.3,6737,"255 of 3141"
"Effingham County",17049,97.3,33234,"248 of 3141"
"Edwards County",17047,97.3,6392,"244 of 3141"
"Calhoun County",17013,97.4,4770,"217 of 3141"
"Stark County",17175,97.5,5413,"191 of 3141"
"Hancock County",17067,97.5,17815,"186 of 3141"
"Jo Daviess County",17085,97.6,21508,"178 of 3141"
"Wayne County",17191,97.6,16179,"162 of 3141"
"Mason County",17125,97.7,13587,"151 of 3141"
"Clay County",17025,97.8,13097,"133 of 3141"
"Monroe County",17133,97.8,32999,"128 of 3141"
"Cumberland County",17035,97.8,10663,"124 of 3141"
"White County",17193,98.0,13897,"101 of 3141"
"Edgar County",17045,98.1,17264,"81 of 3141"
"Moultrie County",17139,98.1,14430,"79 of 3141"
"Scott County",17171,98.2,5019,"59 of 3141"
"Shelby County",17173,98.3,21540,"53 of 3141"
"Jasper County",17079,98.6,9470,"44 of 3141"
"Hamilton County",17065,99.2,8193,"23 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:58 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: White, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
