------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=17&areatype=county&topic=lang&demo=00015&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '17', 'areatype': 'county', 'topic': 'lang', 'demo': '00015', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_007.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=17&areatype=county&topic=lang&demo=00015&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Illinois by County
Non-English Language: Language isolation
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Households (language Isolation),Rank within US
"United States",00000,4.5,5305440,"N/A"
"Illinois",17000,4.6,221014,"40 of 51"
"Alexander County",17003,0.0,0,"1 of 3140"
"Bond County",17005,0.0,0,"1 of 3140"
"Calhoun County",17013,0.0,0,"1 of 3140"
"Christian County",17021,0.0,0,"1 of 3140"
"Ford County",17053,0.0,0,"1 of 3140"
"Hardin County",17069,0.0,0,"1 of 3140"
"Henderson County",17071,0.0,0,"1 of 3140"
"Johnson County",17087,0.0,0,"1 of 3140"
"Menard County",17129,0.0,0,"1 of 3140"
"Pope County",17151,0.0,0,"1 of 3140"
"Stark County",17175,0.0,0,"1 of 3140"
"Clay County",17025,0.0,1,"297 of 3140"
"Jasper County",17079,0.0,1,"304 of 3140"
"Hamilton County",17065,0.0,1,"308 of 3140"
"Mason County",17125,0.0,2,"312 of 3140"
"Shelby County",17173,0.1,5,"337 of 3140"
"Clark County",17023,0.1,4,"345 of 3140"
"Pike County",17149,0.1,4,"348 of 3140"
"Cumberland County",17035,0.1,3,"365 of 3140"
"Brown County",17009,0.1,2,"398 of 3140"
"Greene County",17061,0.1,5,"403 of 3140"
"Union County",17181,0.1,10,"491 of 3140"
"Tazewell County",17179,0.2,85,"505 of 3140"
"Putnam County",17155,0.2,4,"529 of 3140"
"Montgomery County",17135,0.2,19,"537 of 3140"
"Perry County",17145,0.2,14,"540 of 3140"
"Macoupin County",17117,0.2,32,"543 of 3140"
"Edwards County",17047,0.2,5,"551 of 3140"
"Washington County",17189,0.2,11,"563 of 3140"
"Piatt County",17147,0.2,13,"578 of 3140"
"Mercer County",17131,0.2,14,"607 of 3140"
"Woodford County",17203,0.2,31,"610 of 3140"
"Randolph County",17157,0.2,26,"616 of 3140"
"Marshall County",17123,0.2,11,"640 of 3140"
