------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=17&areatype=county&topic=pop&demo=00002&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '17', 'areatype': 'county', 'topic': 'pop', 'demo': '00002', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_013.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=17&areatype=county&topic=pop&demo=00002&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Illinois by County
Population: Age under 18
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age Under 18),Rank within US
"United States",00000,22.9,73601279,"N/A"
"Illinois",17000,23.0,2958997,"21 of 52"
"Brown County",17009,15.4,1044,"3083 of 3141"
"Pope County",17151,16.0,699,"3056 of 3141"
"McDonough County",17109,16.6,5245,"3021 of 3141"
"Hardin County",17069,17.4,726,"2954 of 3141"
"Coles County",17029,18.0,9431,"2902 of 3141"
"Johnson County",17087,18.1,2336,"2880 of 3141"
"Jackson County",17077,18.1,10718,"2876 of 3141"
"Schuyler County",17169,18.3,1315,"2844 of 3141"
"Henderson County",17071,18.9,1310,"2751 of 3141"
"Champaign County",17019,19.0,39497,"2734 of 3141"
"Logan County",17107,19.0,5604,"2733 of 3141"
"Lawrence County",17101,19.1,3136,"2729 of 3141"
"Perry County",17145,19.2,4114,"2710 of 3141"
"Randolph County",17157,19.3,6323,"2684 of 3141"
"Crawford County",17033,19.4,3718,"2661 of 3141"
"Jo Daviess County",17085,19.4,4279,"2645 of 3141"
"Bond County",17005,19.5,3315,"2632 of 3141"
"Carroll County",17015,19.5,2873,"2604 of 3141"
"Morgan County",17137,19.7,6773,"2574 of 3141"
"Knox County",17095,19.8,10147,"2551 of 3141"
