------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=17&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '17', 'areatype': 'county', 'topic': 'ed', 'demo': '00004', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_001.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=17&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Illinois by County
Education: Less than 9th grade
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Education: Less Than 9th Grade),Rank within US
"Illinois",17000,5.2,446625,"40 of 52"
"United States",00000,5.4,11759554,"N/A"
"Putnam County",17155,0.8,33,"27 of 3141"
"Monroe County",17133,1.3,310,"91 of 3141"
"Woodford County",17203,1.5,378,"117 of 3141"
"Piatt County",17147,1.5,170,"122 of 3141"
"McDonough County",17109,1.6,290,"168 of 3141"
"Marshall County",17123,1.6,136,"169 of 3141"
"Champaign County",17019,1.6,1909,"172 of 3141"
"McLean County",17113,1.6,1715,"183 of 3141"
"Mercer County",17131,1.8,205,"251 of 3141"
"Menard County",17129,1.9,169,"289 of 3141"
"Sangamon County",17167,2.0,2662,"299 of 3141"
"Tazewell County",17179,2.0,1885,"327 of 3141"
"Carroll County",17015,2.2,232,"408 of 3141"
"Hancock County",17067,2.2,294,"452 of 3141"
"Grundy County",17063,2.3,753,"461 of 3141"
"Madison County",17119,2.3,4229,"472 of 3141"
"Adams County",17001,2.3,1072,"489 of 3141"
"Shelby County",17173,2.3,364,"493 of 3141"
"Scott County",17171,2.4,87,"525 of 3141"
"Logan County",17107,2.5,513,"550 of 3141"
"Stephenson County",17177,2.5,803,"562 of 3141"
"Bureau County",17011,2.5,601,"597 of 3141"
"Jersey County",17083,2.5,389,"599 of 3141"
