------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=17&areatype=county&topic=mob&demo=00018&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '17', 'areatype': 'county', 'topic': 'mob', 'demo': '00018', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_009.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=17&areatype=county&topic=mob&demo=00018&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Illinois by County
"Mobility: Moved, same county (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved Within County),Rank within US
"Illinois",17000,8.4,1064029,"22 of 51"
"United States",00000,8.4,26717038,"N/A"
"Johnson County",17087,2.0,257,"103 of 3140"
"Alexander County",17003,2.5,170,"163 of 3140"
"Schuyler County",17169,2.9,206,"231 of 3140"
"Hamilton County",17065,2.9,241,"245 of 3140"
"Henry County",17073,3.0,1451,"250 of 3140"
"Union County",17181,3.0,511,"264 of 3140"
"Pope County",17151,3.7,159,"419 of 3140"
"Clay County",17025,3.8,505,"470 of 3140"
"Hardin County",17069,4.0,166,"546 of 3140"
"Montgomery County",17135,4.1,1172,"552 of 3140"
"Hancock County",17067,4.3,772,"605 of 3140"
"Brown County",17009,4.3,286,"612 of 3140"
"Shelby County",17173,4.4,952,"659 of 3140"
"Perry County",17145,4.4,938,"666 of 3140"
"Will County",17197,4.6,31478,"755 of 3140"
"Scott County",17171,4.6,235,"765 of 3140"
"Putnam County",17155,4.7,266,"772 of 3140"
"Calhoun County",17013,4.7,228,"774 of 3140"
"Clinton County",17027,4.7,1770,"804 of 3140"
"Mercer County",17131,4.9,765,"863 of 3140"
"Wayne County",17191,4.9,804,"884 of 3140"
"Kendall County",17093,5.0,6009,"898 of 3140"
"Pulaski County",17153,5.0,283,"922 of 3140"
"Marshall County",17123,5.1,596,"945 of 3140"
"Boone County",17007,5.1,2691,"953 of 3140"
"Massac County",17127,5.2,747,"991 of 3140"
"Cass County",17017,5.2,662,"1020 of 3140"
"Cumberland County",17035,5.2,561,"1020 of 3140"
"Bureau County",17011,5.4,1780,"1097 of 3140"
"Knox County",17095,5.5,2799,"1160 of 3140"
"Crawford County",17033,5.5,1055,"1184 of 3140"
"Jasper County",17079,5.5,525,"1190 of 3140"
"Woodford County",17203,5.7,2186,"1250 of 3140"
"Christian County",17021,5.8,1944,"1323 of 3140"
"Lee County",17103,5.9,2020,"1367 of 3140"
"Washington County",17189,5.9,833,"1376 of 3140"
"Stark County",17175,6.0,327,"1411 of 3140"
"Moultrie County",17139,6.0,878,"1450 of 3140"
"Kane County",17089,6.0,31617,"1457 of 3140"
"Randolph County",17157,6.2,2013,"1530 of 3140"
"McHenry County",17111,6.3,19094,"1556 of 3140"
"DuPage County",17043,6.3,58345,"1602 of 3140"
"Jo Daviess County",17085,6.3,1389,"1607 of 3140"
"Fayette County",17051,6.4,1401,"1652 of 3140"
"Monroe County",17133,6.5,2154,"1656 of 3140"
"Grundy County",17063,6.5,3219,"1662 of 3140"
"Jersey County",17083,6.5,1435,"1679 of 3140"
"Tazewell County",17179,6.6,8728,"1701 of 3140"
"Williamson County",17199,6.6,4386,"1706 of 3140"
"Greene County",17061,6.6,866,"1719 of 3140"
"Piatt County",17147,6.6,1080,"1740 of 3140"
"Warren County",17187,6.7,1152,"1747 of 3140"
"Bond County",17005,6.7,1132,"1761 of 3140"
"Carroll County",17015,6.7,979,"1762 of 3140"
"Gallatin County",17059,6.8,350,"1779 of 3140"
"Edwards County",17047,6.8,441,"1798 of 3140"
"Iroquois County",17075,6.8,1916,"1802 of 3140"
"Kankakee County",17091,6.8,7481,"1806 of 3140"
"St. Clair County",17163,6.9,17954,"1822 of 3140"
"Lake County",17097,7.2,50231,"1967 of 3140"
"Macoupin County",17117,7.2,3283,"1969 of 3140"
"Pike County",17149,7.3,1153,"2010 of 3140"
"La Salle County",17099,7.4,8131,"2045 of 3140"
"Fulton County",17057,7.4,2626,"2050 of 3140"
"Whiteside County",17195,7.4,4166,"2054 of 3140"
"Effingham County",17049,7.5,2547,"2100 of 3140"
"Douglas County",17041,7.5,1469,"2102 of 3140"
"Menard County",17129,7.6,936,"2142 of 3140"
"Ford County",17053,7.7,1023,"2152 of 3140"
"Mason County",17125,7.7,1060,"2158 of 3140"
"Henderson County",17071,7.8,537,"2209 of 3140"
"Livingston County",17105,8.1,2938,"2297 of 3140"
"Madison County",17119,8.1,21397,"2310 of 3140"
"Adams County",17001,8.1,5357,"2314 of 3140"
"Ogle County",17141,8.2,4176,"2330 of 3140"
"Franklin County",17055,8.5,3320,"2418 of 3140"
"Saline County",17165,8.6,2078,"2441 of 3140"
"Richland County",17159,8.7,1375,"2468 of 3140"
"White County",17193,8.8,1237,"2495 of 3140"
"Wabash County",17185,8.8,1013,"2510 of 3140"
"De Witt County",17039,8.9,1416,"2520 of 3140"
"Edgar County",17045,8.9,1541,"2523 of 3140"
"Vermilion County",17183,9.1,7139,"2591 of 3140"
"Jefferson County",17081,9.3,3534,"2640 of 3140"
"Rock Island County",17161,9.4,13547,"2652 of 3140"
"Marion County",17121,9.4,3568,"2665 of 3140"
"Clark County",17023,9.5,1487,"2674 of 3140"
"Stephenson County",17177,9.6,4351,"2696 of 3140"
"McLean County",17113,9.6,16516,"2710 of 3140"
"Lawrence County",17101,9.7,1576,"2723 of 3140"
"Logan County",17107,9.7,2840,"2729 of 3140"
"Cook County",17031,9.9,511224,"2759 of 3140"
"Winnebago County",17201,9.9,28125,"2762 of 3140"
"Peoria County",17143,10.0,18280,"2775 of 3140"
"McDonough County",17109,10.1,3162,"2803 of 3140"
"Morgan County",17137,11.0,3748,"2936 of 3140"
"Champaign County",17019,11.1,22728,"2944 of 3140"
"Sangamon County",17167,11.2,21933,"2959 of 3140"
"Jackson County",17077,11.6,6788,"3008 of 3140"
"Macon County",17115,12.2,13016,"3046 of 3140"
"DeKalb County",17037,13.5,13959,"3101 of 3140"
"Coles County",17029,13.7,7138,"3106 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:58 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Moved, same county (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
