------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=17&areatype=county&topic=pop&demo=00014&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '17', 'areatype': 'county', 'topic': 'pop', 'demo': '00014', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_022.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=17&areatype=county&topic=pop&demo=00014&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Illinois by County
Population: Foreign born
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Foreign Born),Rank within US
"United States",00000,13.4,43028127,"N/A"
"Illinois",17000,14.0,1800858,"12 of 51"
"Hardin County",17069,0.2,10,"3093 of 3140"
"Greene County",17061,0.3,45,"3058 of 3140"
"Shelby County",17173,0.4,79,"3050 of 3140"
"Menard County",17129,0.4,51,"3035 of 3140"
"Scott County",17171,0.5,24,"3007 of 3140"
"Hamilton County",17065,0.5,40,"3001 of 3140"
"Pike County",17149,0.5,80,"2994 of 3140"
"Gallatin County",17059,0.6,32,"2930 of 3140"
"Mason County",17125,0.7,92,"2890 of 3140"
"Cumberland County",17035,0.7,73,"2883 of 3140"
"Schuyler County",17169,0.7,49,"2874 of 3140"
"Edwards County",17047,0.7,47,"2847 of 3140"
"Macoupin County",17117,0.7,332,"2844 of 3140"
"Montgomery County",17135,0.8,231,"2800 of 3140"
"Washington County",17189,0.8,113,"2797 of 3140"
"Massac County",17127,0.8,122,"2765 of 3140"
"Calhoun County",17013,0.8,41,"2764 of 3140"
"Alexander County",17003,0.9,58,"2751 of 3140"
"Wayne County",17191,0.9,147,"2729 of 3140"
"Fayette County",17051,0.9,200,"2714 of 3140"
"Franklin County",17055,0.9,362,"2706 of 3140"
"Stark County",17175,1.0,56,"2642 of 3140"
"Moultrie County",17139,1.0,149,"2636 of 3140"
"Saline County",17165,1.0,254,"2615 of 3140"
"Hancock County",17067,1.0,191,"2609 of 3140"
"Pulaski County",17153,1.1,60,"2603 of 3140"
"Perry County",17145,1.1,229,"2596 of 3140"
"Edgar County",17045,1.1,194,"2564 of 3140"
"Henderson County",17071,1.1,78,"2550 of 3140"
"Piatt County",17147,1.2,192,"2516 of 3140"
"Johnson County",17087,1.2,151,"2514 of 3140"
"Ford County",17053,1.2,161,"2486 of 3140"
"Randolph County",17157,1.2,395,"2477 of 3140"
"Clark County",17023,1.2,193,"2469 of 3140"
"Woodford County",17203,1.2,479,"2454 of 3140"
"Christian County",17021,1.3,435,"2392 of 3140"
"Marion County",17121,1.4,522,"2348 of 3140"
"Effingham County",17049,1.4,471,"2333 of 3140"
"Mercer County",17131,1.4,219,"2328 of 3140"
"Pope County",17151,1.4,61,"2319 of 3140"
"Logan County",17107,1.4,423,"2299 of 3140"
"Monroe County",17133,1.4,487,"2291 of 3140"
"Clay County",17025,1.5,199,"2261 of 3140"
"Crawford County",17033,1.5,295,"2223 of 3140"
"White County",17193,1.6,220,"2210 of 3140"
"Jersey County",17083,1.6,346,"2203 of 3140"
"De Witt County",17039,1.6,258,"2182 of 3140"
"Marshall County",17123,1.7,197,"2142 of 3140"
"Williamson County",17199,1.7,1145,"2112 of 3140"
"Adams County",17001,1.7,1139,"2108 of 3140"
"Jasper County",17079,1.7,166,"2088 of 3140"
"Jefferson County",17081,1.8,691,"2035 of 3140"
"Richland County",17159,1.8,292,"2029 of 3140"
"Clinton County",17027,1.9,712,"1986 of 3140"
"Stephenson County",17177,1.9,869,"1982 of 3140"
"Tazewell County",17179,2.0,2683,"1934 of 3140"
"Fulton County",17057,2.1,734,"1898 of 3140"
"Lawrence County",17101,2.1,340,"1890 of 3140"
"Livingston County",17105,2.1,763,"1886 of 3140"
"Morgan County",17137,2.1,719,"1874 of 3140"
"Macon County",17115,2.1,2309,"1842 of 3140"
"Vermilion County",17183,2.2,1735,"1813 of 3140"
"Henry County",17073,2.2,1095,"1805 of 3140"
"Brown County",17009,2.2,150,"1802 of 3140"
"Madison County",17119,2.3,6198,"1734 of 3140"
"Bond County",17005,2.4,403,"1725 of 3140"
"Carroll County",17015,2.4,356,"1709 of 3140"
"Coles County",17029,2.5,1304,"1678 of 3140"
"Putnam County",17155,2.5,144,"1673 of 3140"
"Jo Daviess County",17085,2.6,563,"1645 of 3140"
"Wabash County",17185,2.8,319,"1532 of 3140"
"St. Clair County",17163,2.8,7299,"1529 of 3140"
"Iroquois County",17075,2.8,797,"1515 of 3140"
"Lee County",17103,2.9,993,"1486 of 3140"
"Knox County",17095,2.9,1507,"1458 of 3140"
"Union County",17181,2.9,509,"1447 of 3140"
"Sangamon County",17167,3.1,6086,"1393 of 3140"
"Whiteside County",17195,3.2,1805,"1355 of 3140"
"La Salle County",17099,3.5,3880,"1257 of 3140"
"Bureau County",17011,3.6,1202,"1237 of 3140"
"Grundy County",17063,3.7,1878,"1196 of 3140"
"McDonough County",17109,3.8,1188,"1190 of 3140"
"Douglas County",17041,3.8,758,"1171 of 3140"
"Ogle County",17141,5.0,2567,"922 of 3140"
"Kankakee County",17091,5.1,5661,"898 of 3140"
"Jackson County",17077,5.5,3227,"841 of 3140"
"Warren County",17187,5.6,980,"803 of 3140"
"Peoria County",17143,5.8,10776,"776 of 3140"
"DeKalb County",17037,6.9,7159,"627 of 3140"
"McLean County",17113,6.9,11969,"619 of 3140"
"Rock Island County",17161,7.9,11497,"522 of 3140"
"Winnebago County",17201,8.2,23675,"487 of 3140"
"Kendall County",17093,9.2,11303,"403 of 3140"
"McHenry County",17111,9.2,28425,"400 of 3140"
"Boone County",17007,10.5,5643,"320 of 3140"
"Cass County",17017,11.4,1463,"272 of 3140"
"Champaign County",17019,11.9,24705,"261 of 3140"
"Will County",17197,12.0,82429,"256 of 3140"
"Kane County",17089,18.2,96552,"134 of 3140"
"Lake County",17097,18.4,129867,"132 of 3140"
"DuPage County",17043,18.9,175707,"122 of 3140"
"Cook County",17031,21.1,1105379,"95 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:58 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Foreign born, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
