------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=34&areatype=county&cancer=020&race=00&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '34', 'areatype': 'county', 'cancer': '020', 'race': '00', 'sex': '0', 'age': '001', 'type': 'incd', 'file_name': 'incidencerates_008.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=34&areatype=county&cancer=020&race=00&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for New Jersey by County

"Colon & Rectum (All Stages^), 2012-2016"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of 39.9?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"New Jersey(7,8)",34000,No,41.1 ,40.6, 41.7,4353,falling,-7.2 ,-11.0, -3.1
"US (SEER+NPCR)(1,10)",00000,Yes,38.7 ,38.6, 38.8,140982,falling,-1.3 ,-2.1, -0.6
"Salem County(7,8)",34033,No,49 ,42.4, 56.5,41,falling,-2.3 ,-3.1, -1.5
"Cape May County(7,8)",34009,No,47.1 ,42.1, 52.5,75,falling,-2.9 ,-3.4, -2.3
"Cumberland County(7,8)",34011,No,47.1 ,42.5, 51.9,82,falling,-1.6 ,-2.3, -0.9
"Burlington County(7,8)",34005,No,45.8 ,43.3, 48.5,253,falling,-2.4 ,-2.8, -1.9
"Gloucester County(7,8)",34015,No,45.1 ,41.8, 48.5,149,falling,-6.2 ,-9.3, -3.0
"Ocean County(7,8)",34029,No,44.7 ,42.6, 46.8,401,falling,-3.2 ,-3.8, -2.6
"Warren County(7,8)",34041,No,43.8 ,38.9, 49.2,61,falling,-3.0 ,-3.8, -2.3
"Camden County(7,8)",34007,No,43.5 ,41.1, 46,254,falling,-3.4 ,-4.5, -2.3
"Essex County(7,8)",34013,No,42.8 ,40.8, 44.8,359,stable,-6.5 ,-15.2, 3.1
