------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=12&areatype=county&topic=pop&demo=00025&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '12', 'areatype': 'county', 'topic': 'pop', 'demo': '00025', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_025.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=12&areatype=county&topic=pop&demo=00025&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Florida by County
Population: White
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (White),Rank within US
"United States",00000,73.0,234370202,"N/A"
"Florida",12000,75.7,15343997,"31 of 52"
"Gadsden County",12039,41.4,19103,"3030 of 3141"
"Madison County",12079,57.7,10686,"2853 of 3141"
"Hamilton County",12047,60.4,8603,"2811 of 3141"
"Duval County",12031,60.7,553571,"2807 of 3141"
"Jefferson County",12065,61.5,8658,"2793 of 3141"
"Broward County",12011,61.6,1165004,"2789 of 3141"
"Leon County",12073,62.1,177406,"2776 of 3141"
"Orange County",12095,63.7,822454,"2731 of 3141"
"Escambia County",12033,68.3,211815,"2608 of 3141"
"Jackson County",12063,69.3,33644,"2581 of 3141"
"Alachua County",12001,69.5,180699,"2575 of 3141"
"Hillsborough County",12057,70.9,958208,"2535 of 3141"
"St. Lucie County",12111,73.5,219683,"2462 of 3141"
"Union County",12125,73.8,11287,"2457 of 3141"
"Palm Beach County",12099,74.2,1058016,"2443 of 3141"
"Osceola County",12097,74.4,241940,"2436 of 3141"
"Taylor County",12123,74.9,16735,"2418 of 3141"
"Miami-Dade County",12086,75.6,2043272,"2396 of 3141"
"Columbia County",12023,77.3,52945,"2337 of 3141"
"Hendry County",12051,77.7,30341,"2328 of 3141"
"Bradford County",12007,77.9,20861,"2316 of 3141"
"Gulf County",12045,78.1,12517,"2298 of 3141"
"Polk County",12105,78.3,510554,"2292 of 3141"
"Seminole County",12117,78.3,351713,"2290 of 3141"
"Liberty County",12077,78.7,6570,"2272 of 3141"
"Okaloosa County",12091,78.8,155791,"2264 of 3141"
"Putnam County",12107,79.5,57620,"2239 of 3141"
"Glades County",12043,79.7,10524,"2229 of 3141"
"Lafayette County",12067,79.8,6934,"2224 of 3141"
"Calhoun County",12013,80.3,11609,"2207 of 3141"
"Washington County",12133,80.5,19690,"2192 of 3141"
"Clay County",12019,80.8,164223,"2179 of 3141"
"Hardee County",12049,81.1,22175,"2165 of 3141"
"Highlands County",12055,81.3,81422,"2156 of 3141"
"Bay County",12005,81.9,147474,"2134 of 3141"
"Pinellas County",12103,81.9,777713,"2133 of 3141"
"Marion County",12083,82.0,281763,"2131 of 3141"
"Franklin County",12037,82.0,9578,"2127 of 3141"
"Wakulla County",12129,82.2,25966,"2116 of 3141"
"Flagler County",12035,82.6,86695,"2097 of 3141"
"Brevard County",12009,82.9,470794,"2082 of 3141"
"Lake County",12069,82.9,270409,"2078 of 3141"
"Volusia County",12127,82.9,430152,"2075 of 3141"
"Suwannee County",12121,83.2,36442,"2055 of 3141"
"Baker County",12003,83.4,22963,"2043 of 3141"
"DeSoto County",12027,83.5,29791,"2041 of 3141"
"Lee County",12071,84.7,593227,"1985 of 3141"
"Manatee County",12081,85.5,310738,"1949 of 3141"
"Santa Rosa County",12113,85.8,143112,"1931 of 3141"
"Indian River County",12061,86.0,127295,"1915 of 3141"
"Walton County",12131,86.2,54729,"1894 of 3141"
"Okeechobee County",12093,87.0,34988,"1840 of 3141"
"Dixie County",12029,87.1,14224,"1831 of 3141"
"Levy County",12075,87.5,34748,"1802 of 3141"
"Martin County",12085,87.7,136544,"1790 of 3141"
"Collier County",12021,88.1,314272,"1752 of 3141"
"Pasco County",12101,88.1,439087,"1739 of 3141"
"Holmes County",12059,88.6,17262,"1679 of 3141"
"Monroe County",12087,88.6,68025,"1678 of 3141"
"Sumter County",12119,88.7,103550,"1669 of 3141"
"St. Johns County",12109,89.0,201712,"1646 of 3141"
"Hernando County",12053,89.7,160624,"1586 of 3141"
"Charlotte County",12015,90.1,156037,"1552 of 3141"
"Nassau County",12089,90.4,70888,"1523 of 3141"
"Sarasota County",12115,91.3,369537,"1418 of 3141"
"Gilchrist County",12041,91.8,15786,"1346 of 3141"
"Citrus County",12017,93.1,131599,"1176 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:58 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: White, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
