------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=12&areatype=county&topic=ins&demo=00043&race=00&sex=0&age=006&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '12', 'areatype': 'county', 'topic': 'ins', 'demo': '00043', 'race': '00', 'sex': '0', 'age': '006', 'type': 'manyareacensus', 'file_name': 'demographics_006.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=12&areatype=county&topic=ins&demo=00043&race=00&sex=0&age=006&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Florida by County
"Insurance: Percent uninsured in demographic group, people at or below 138% of poverty"
"Ages <65, All Races (includes Hispanic), Both Sexes"
2017 Small Area Health Insurance Estimates Data
Sorted by Value

County, FIPS,Value (Percent),People (Uninsured),Rank within US
"Florida",12000,24.8,936700,"47 of 51"
"Escambia County",12033,16.1,9332,"1385 of 3139"
"Leon County",12073,17.0,10856,"1483 of 3139"
"Bradford County",12007,17.1,908,"1501 of 3139"
"Columbia County",12023,17.1,2541,"1501 of 3139"
"Baker County",12003,17.6,928,"1590 of 3139"
"Union County",12125,17.7,454,"1606 of 3139"
"Madison County",12079,18.1,807,"1660 of 3139"
"Alachua County",12001,18.2,11619,"1677 of 3139"
"Taylor County",12123,18.5,795,"1728 of 3139"
"Hamilton County",12047,18.8,615,"1765 of 3139"
"Jefferson County",12065,18.9,506,"1786 of 3139"
"Duval County",12031,19.1,34675,"1804 of 3139"
"Seminole County",12117,19.2,12461,"1823 of 3139"
"Gulf County",12045,19.3,460,"1840 of 3139"
"Holmes County",12059,19.4,944,"1859 of 3139"
"Jackson County",12063,19.6,1976,"1895 of 3139"
"Wakulla County",12129,19.6,936,"1895 of 3139"
"Calhoun County",12013,19.8,609,"1928 of 3139"
"Dixie County",12029,19.9,795,"1948 of 3139"
"Marion County",12083,20.2,14481,"1997 of 3139"
"Liberty County",12077,20.3,291,"2007 of 3139"
"Clay County",12019,20.4,6118,"2024 of 3139"
"Washington County",12133,20.5,1103,"2037 of 3139"
"Putnam County",12107,20.9,4450,"2105 of 3139"
"Gadsden County",12039,21.1,2592,"2120 of 3139"
"Volusia County",12127,21.1,21092,"2120 of 3139"
"Bay County",12005,21.2,7355,"2133 of 3139"
"Brevard County",12009,21.4,19554,"2158 of 3139"
"Franklin County",12037,21.7,470,"2192 of 3139"
"Polk County",12105,21.7,31531,"2192 of 3139"
"Sumter County",12119,21.9,1897,"2217 of 3139"
"Citrus County",12017,22.0,5831,"2232 of 3139"
"Okaloosa County",12091,22.1,6805,"2245 of 3139"
"Osceola County",12097,22.1,20202,"2245 of 3139"
"Suwannee County",12121,22.2,2395,"2259 of 3139"
"Gilchrist County",12041,22.3,840,"2268 of 3139"
"Santa Rosa County",12113,22.3,5395,"2268 of 3139"
"Hillsborough County",12057,22.4,60106,"2285 of 3139"
"Levy County",12075,22.5,2262,"2296 of 3139"
"Nassau County",12089,22.5,2440,"2296 of 3139"
"Hernando County",12053,22.9,7817,"2348 of 3139"
"Lake County",12069,23.5,13248,"2418 of 3139"
"Pinellas County",12103,23.6,34463,"2427 of 3139"
"Flagler County",12035,24.0,4126,"2465 of 3139"
"Hardee County",12049,24.1,1948,"2476 of 3139"
"Highlands County",12055,24.1,5317,"2476 of 3139"
"Orange County",12095,24.3,69738,"2495 of 3139"
"Pasco County",12101,24.7,21168,"2534 of 3139"
"St. Lucie County",12111,25.2,15225,"2579 of 3139"
"Walton County",12131,25.5,3058,"2601 of 3139"
"St. Johns County",12109,25.8,6041,"2616 of 3139"
"Lafayette County",12067,26.0,486,"2632 of 3139"
"Manatee County",12081,26.5,15454,"2675 of 3139"
"Indian River County",12061,26.7,6169,"2691 of 3139"
"Okeechobee County",12093,27.2,2856,"2741 of 3139"
"Lee County",12071,28.4,34104,"2815 of 3139"
"Charlotte County",12015,28.5,6761,"2820 of 3139"
"Broward County",12011,28.8,92585,"2830 of 3139"
"Miami-Dade County",12086,28.8,170406,"2830 of 3139"
"DeSoto County",12027,29.3,3012,"2861 of 3139"
"Sarasota County",12115,29.4,13470,"2868 of 3139"
"Palm Beach County",12099,29.6,65764,"2876 of 3139"
"Martin County",12085,31.1,6031,"2949 of 3139"
"Hendry County",12051,32.6,4161,"2991 of 3139"
"Monroe County",12087,35.1,3835,"3066 of 3139"
"Glades County",12043,35.2,861,"3070 of 3139"
"Collier County",12021,37.1,19169,"3093 of 3139"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:58 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & Small Area Health Insurance Estimates (https://www.census.gov/programs-surveys/sahie.html).
"For more information about Insurance: Percent uninsured in demographic group, people at or below 138% of poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#insurance."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
