------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=12&areatype=county&topic=pop&demo=00024&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '12', 'areatype': 'county', 'topic': 'pop', 'demo': '00024', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_020.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=12&areatype=county&topic=pop&demo=00024&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Florida by County
Population: Asian / Pacific Islander
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (API),Rank within US
"Florida",12000,2.7,555736,"27 of 52"
"United States",00000,5.5,17756436,"N/A"
"Gilchrist County",12041,0.1,9,"2867 of 3141"
"Hamilton County",12047,0.1,17,"2741 of 3141"
"Jefferson County",12065,0.1,21,"2684 of 3141"
"DeSoto County",12027,0.3,101,"2423 of 3141"
"Suwannee County",12121,0.3,131,"2394 of 3141"
"Liberty County",12077,0.4,31,"2222 of 3141"
"Wakulla County",12129,0.4,119,"2213 of 3141"
"Glades County",12043,0.4,51,"2190 of 3141"
"Holmes County",12059,0.4,80,"2123 of 3141"
"Union County",12125,0.5,79,"1844 of 3141"
"Taylor County",12123,0.5,116,"1834 of 3141"
"Gadsden County",12039,0.6,260,"1738 of 3141"
"Levy County",12075,0.6,224,"1735 of 3141"
"Bradford County",12007,0.6,165,"1626 of 3141"
"Washington County",12133,0.6,151,"1624 of 3141"
"Putnam County",12107,0.6,450,"1615 of 3141"
"Dixie County",12029,0.6,102,"1609 of 3141"
"Hardee County",12049,0.6,173,"1592 of 3141"
"Jackson County",12063,0.7,346,"1438 of 3141"
"Baker County",12003,0.8,211,"1345 of 3141"
"Gulf County",12045,0.8,123,"1343 of 3141"
"Calhoun County",12013,0.8,115,"1305 of 3141"
"Sumter County",12119,0.8,932,"1295 of 3141"
"Nassau County",12089,0.9,721,"1157 of 3141"
"Madison County",12079,1.0,182,"1097 of 3141"
"Hendry County",12051,1.0,389,"1083 of 3141"
"Franklin County",12037,1.0,117,"1074 of 3141"
"Columbia County",12023,1.0,687,"1071 of 3141"
"Lafayette County",12067,1.0,90,"1038 of 3141"
"Okeechobee County",12093,1.1,424,"1017 of 3141"
"Charlotte County",12015,1.2,2105,"884 of 3141"
"Monroe County",12087,1.2,937,"880 of 3141"
"Indian River County",12061,1.2,1822,"869 of 3141"
"Hernando County",12053,1.2,2220,"861 of 3141"
"Collier County",12021,1.3,4552,"834 of 3141"
"Martin County",12085,1.4,2128,"790 of 3141"
"Walton County",12131,1.4,908,"752 of 3141"
"Marion County",12083,1.6,5351,"686 of 3141"
"Highlands County",12055,1.6,1565,"683 of 3141"
"Lee County",12071,1.6,11238,"660 of 3141"
"Miami-Dade County",12086,1.6,43494,"658 of 3141"
"Sarasota County",12115,1.7,6756,"640 of 3141"
"Citrus County",12017,1.7,2361,"638 of 3141"
"Polk County",12105,1.7,11223,"621 of 3141"
"Volusia County",12127,1.8,9533,"587 of 3141"
"Lake County",12069,2.0,6453,"544 of 3141"
"St. Lucie County",12111,2.0,6029,"529 of 3141"
"Manatee County",12081,2.1,7471,"520 of 3141"
"Santa Rosa County",12113,2.2,3588,"496 of 3141"
"Bay County",12005,2.4,4250,"453 of 3141"
"Brevard County",12009,2.5,14264,"426 of 3141"
"Pasco County",12101,2.5,12602,"420 of 3141"
"Flagler County",12035,2.5,2663,"418 of 3141"
"Palm Beach County",12099,2.6,37742,"393 of 3141"
"Osceola County",12097,2.7,8670,"385 of 3141"
"St. Johns County",12109,2.7,6199,"373 of 3141"
"Escambia County",12033,3.0,9418,"324 of 3141"
"Okaloosa County",12091,3.1,6102,"318 of 3141"
"Clay County",12019,3.1,6317,"313 of 3141"
"Pinellas County",12103,3.4,32111,"283 of 3141"
"Leon County",12073,3.4,9677,"281 of 3141"
"Broward County",12011,3.6,68924,"259 of 3141"
"Hillsborough County",12057,4.0,54364,"224 of 3141"
"Seminole County",12117,4.3,19518,"199 of 3141"
"Duval County",12031,4.7,43056,"178 of 3141"
"Orange County",12095,5.3,68066,"150 of 3141"
"Alachua County",12001,5.9,15442,"121 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:58 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Asian / Pacific Islander, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
