------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=12&areatype=county&topic=mob&demo=00017&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '12', 'areatype': 'county', 'topic': 'mob', 'demo': '00017', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_008.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=12&areatype=county&topic=mob&demo=00017&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Florida by County
Mobility: Haven't moved (in past year)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Haven't Moved),Rank within US
"Florida",12000,84.1,16876920,"34 of 51"
"United States",00000,85.4,270854872,"N/A"
"Leon County",12073,73.9,208986,"3101 of 3140"
"Alachua County",12001,76.7,197384,"3054 of 3140"
"Bay County",12005,79.8,141543,"2952 of 3140"
"Hamilton County",12047,79.8,11283,"2948 of 3140"
"Duval County",12031,80.3,721477,"2917 of 3140"
"Union County",12125,80.3,12196,"2912 of 3140"
"Okaloosa County",12091,80.7,157199,"2880 of 3140"
"Santa Rosa County",12113,80.9,133509,"2861 of 3140"
"Monroe County",12087,81.1,61774,"2845 of 3140"
"Orange County",12095,81.1,1034433,"2842 of 3140"
"Columbia County",12023,81.6,55202,"2800 of 3140"
"Hillsborough County",12057,81.8,1092354,"2778 of 3140"
"Escambia County",12033,82.0,250839,"2761 of 3140"
"St. Johns County",12109,82.1,184419,"2745 of 3140"
"Walton County",12131,82.2,51548,"2725 of 3140"
"Clay County",12019,82.7,166602,"2660 of 3140"
"Holmes County",12059,82.9,16038,"2640 of 3140"
"Collier County",12021,83.2,293818,"2600 of 3140"
"Charlotte County",12015,83.3,143369,"2568 of 3140"
"Jackson County",12063,83.5,40145,"2536 of 3140"
"Highlands County",12055,83.5,82978,"2532 of 3140"
"Lake County",12069,83.6,269660,"2523 of 3140"
"Manatee County",12081,83.6,301391,"2516 of 3140"
"Franklin County",12037,83.6,9706,"2510 of 3140"
"Broward County",12011,83.8,1567853,"2466 of 3140"
"Hendry County",12051,83.9,32383,"2455 of 3140"
"Gulf County",12045,84.0,13348,"2438 of 3140"
"Baker County",12003,84.2,22857,"2403 of 3140"
"Pinellas County",12103,84.2,792972,"2396 of 3140"
"Lee County",12071,84.2,584529,"2394 of 3140"
"Palm Beach County",12099,84.5,1193610,"2336 of 3140"
"Sarasota County",12115,84.8,340867,"2278 of 3140"
"Martin County",12085,84.8,131130,"2263 of 3140"
"DeSoto County",12027,85.0,30054,"2220 of 3140"
"Polk County",12105,85.0,548247,"2219 of 3140"
"Marion County",12083,85.0,289671,"2218 of 3140"
"Taylor County",12123,85.1,18736,"2186 of 3140"
"Madison County",12079,85.1,15651,"2181 of 3140"
"Citrus County",12017,85.2,119773,"2169 of 3140"
"Washington County",12133,85.2,20669,"2158 of 3140"
"Dixie County",12029,85.3,13810,"2134 of 3140"
"Osceola County",12097,85.4,273984,"2129 of 3140"
"Brevard County",12009,85.4,480913,"2125 of 3140"
"Nassau County",12089,85.5,66364,"2086 of 3140"
"St. Lucie County",12111,85.5,253098,"2077 of 3140"
"Wakulla County",12129,85.5,26799,"2074 of 3140"
"Levy County",12075,85.6,33681,"2051 of 3140"
"Volusia County",12127,85.7,439868,"2035 of 3140"
"Hernando County",12053,85.7,152177,"2033 of 3140"
"Indian River County",12061,85.8,125929,"2004 of 3140"
"Seminole County",12117,85.9,382385,"1981 of 3140"
"Liberty County",12077,86.0,7100,"1958 of 3140"
"Jefferson County",12065,86.0,11985,"1933 of 3140"
"Sumter County",12119,86.4,100367,"1819 of 3140"
"Suwannee County",12121,86.6,37515,"1767 of 3140"
"Gilchrist County",12041,86.7,14828,"1732 of 3140"
"Calhoun County",12013,86.7,12426,"1724 of 3140"
"Pasco County",12101,87.3,430564,"1518 of 3140"
"Lafayette County",12067,88.0,7530,"1276 of 3140"
"Miami-Dade County",12086,88.0,2352487,"1257 of 3140"
"Gadsden County",12039,88.0,40257,"1256 of 3140"
"Putnam County",12107,88.5,63591,"1086 of 3140"
"Glades County",12043,88.6,11660,"1068 of 3140"
"Bradford County",12007,88.6,23601,"1060 of 3140"
"Flagler County",12035,88.8,92497,"1010 of 3140"
"Okeechobee County",12093,91.8,36432,"263 of 3140"
"Hardee County",12049,92.0,24869,"237 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:58 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Haven't moved (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
