------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=12&areatype=county&topic=pop&demo=00102&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '12', 'areatype': 'county', 'topic': 'pop', 'demo': '00102', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_014.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=12&areatype=county&topic=pop&demo=00102&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Florida by County
Population: Age 18-39
"Age N/A, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 18-39),Rank within US
"Florida",12000,27.6,5587102,"4 of 52"
"United States",00000,29.8,95565066,"N/A"
"Sumter County",12119,11.9,13899,"6 of 3141"
"Charlotte County",12015,16.8,29030,"35 of 3141"
"Citrus County",12017,17.5,24689,"53 of 3141"
"Sarasota County",12115,18.6,75138,"100 of 3141"
"Flagler County",12035,19.9,20926,"181 of 3141"
"Indian River County",12061,20.1,29814,"197 of 3141"
"Martin County",12085,20.2,31455,"200 of 3141"
"Highlands County",12055,20.2,20251,"201 of 3141"
"Hernando County",12053,21.3,38219,"332 of 3141"
"Collier County",12021,21.6,77220,"375 of 3141"
"Lake County",12069,22.2,72435,"481 of 3141"
"Marion County",12083,22.2,76389,"485 of 3141"
"Manatee County",12081,22.3,81094,"504 of 3141"
"Levy County",12075,22.6,8980,"584 of 3141"
"Lee County",12071,23.1,161422,"711 of 3141"
"Dixie County",12029,23.1,3768,"718 of 3141"
"Putnam County",12107,23.2,16797,"745 of 3141"
"Nassau County",12089,23.5,18429,"822 of 3141"
"St. Johns County",12109,23.6,53421,"846 of 3141"
"Brevard County",12009,23.6,134181,"859 of 3141"
"Pasco County",12101,23.8,118470,"906 of 3141"
"St. Lucie County",12111,24.1,72030,"1013 of 3141"
"Pinellas County",12103,24.2,229794,"1035 of 3141"
"Volusia County",12127,24.5,127305,"1130 of 3141"
"Jefferson County",12065,24.8,3498,"1249 of 3141"
"Monroe County",12087,25.1,19269,"1354 of 3141"
"Palm Beach County",12099,25.3,360743,"1409 of 3141"
"Walton County",12131,25.8,16367,"1588 of 3141"
"Suwannee County",12121,25.9,11342,"1616 of 3141"
"Clay County",12019,26.5,53861,"1810 of 3141"
"Gilchrist County",12041,26.5,4559,"1819 of 3141"
"Okeechobee County",12093,26.6,10703,"1854 of 3141"
"Polk County",12105,26.8,174990,"1916 of 3141"
"Glades County",12043,26.9,3552,"1942 of 3141"
"Gadsden County",12039,27.2,12525,"2008 of 3141"
"Holmes County",12059,27.3,5325,"2069 of 3141"
"Columbia County",12023,27.3,18724,"2073 of 3141"
"Gulf County",12045,27.4,4386,"2082 of 3141"
"Wakulla County",12129,27.5,8683,"2107 of 3141"
"Washington County",12133,27.7,6788,"2164 of 3141"
"Calhoun County",12013,27.9,4039,"2206 of 3141"
"Madison County",12079,28.0,5179,"2215 of 3141"
"Santa Rosa County",12113,28.3,47160,"2289 of 3141"
"Broward County",12011,28.4,536806,"2318 of 3141"
"Franklin County",12037,28.5,3329,"2342 of 3141"
"Bradford County",12007,28.5,7638,"2350 of 3141"
"Taylor County",12123,28.7,6410,"2388 of 3141"
"Bay County",12005,29.0,52151,"2440 of 3141"
"Hamilton County",12047,29.2,4159,"2480 of 3141"
"DeSoto County",12027,29.2,10429,"2483 of 3141"
"Jackson County",12063,29.3,14217,"2492 of 3141"
"Hardee County",12049,29.4,8028,"2511 of 3141"
"Baker County",12003,29.5,8121,"2528 of 3141"
"Seminole County",12117,29.8,133995,"2580 of 3141"
"Hendry County",12051,29.9,11690,"2601 of 3141"
"Miami-Dade County",12086,30.2,814907,"2634 of 3141"
"Osceola County",12097,30.6,99542,"2689 of 3141"
"Lafayette County",12067,30.8,2672,"2709 of 3141"
"Hillsborough County",12057,31.1,420238,"2746 of 3141"
"Union County",12125,31.4,4799,"2768 of 3141"
"Okaloosa County",12091,31.8,62874,"2807 of 3141"
"Duval County",12031,32.1,293151,"2827 of 3141"
"Escambia County",12033,32.2,99660,"2829 of 3141"
"Orange County",12095,35.0,451190,"2971 of 3141"
"Liberty County",12077,36.4,3040,"3012 of 3141"
"Leon County",12073,42.3,120901,"3095 of 3141"
"Alachua County",12001,42.4,110306,"3096 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:58 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Age 18-39, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
