------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=12&areatype=county&topic=pop&demo=00014&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '12', 'areatype': 'county', 'topic': 'pop', 'demo': '00014', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_022.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=12&areatype=county&topic=pop&demo=00014&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Florida by County
Population: Foreign born
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Foreign Born),Rank within US
"United States",00000,13.4,43028127,"N/A"
"Florida",12000,20.2,4106367,"4 of 51"
"Baker County",12003,1.4,377,"2343 of 3140"
"Wakulla County",12129,1.8,559,"2054 of 3140"
"Holmes County",12059,1.9,373,"1970 of 3140"
"Gulf County",12045,2.5,393,"1695 of 3140"
"Taylor County",12123,2.6,576,"1634 of 3140"
"Dixie County",12029,2.7,446,"1546 of 3140"
"Washington County",12133,2.8,679,"1523 of 3140"
"Union County",12125,2.8,433,"1500 of 3140"
"Gilchrist County",12041,2.9,501,"1467 of 3140"
"Bradford County",12007,3.0,808,"1414 of 3140"
"Jefferson County",12065,3.1,436,"1388 of 3140"
"Franklin County",12037,3.2,368,"1371 of 3140"
"Jackson County",12063,3.2,1540,"1357 of 3140"
"Hamilton County",12047,3.3,474,"1311 of 3140"
"Nassau County",12089,3.5,2744,"1254 of 3140"
"Columbia County",12023,3.6,2468,"1230 of 3140"
"Levy County",12075,3.7,1454,"1216 of 3140"
"Putnam County",12107,3.9,2828,"1148 of 3140"
"Madison County",12079,4.0,733,"1133 of 3140"
"Calhoun County",12013,4.0,575,"1125 of 3140"
"Liberty County",12077,4.2,350,"1062 of 3140"
"Lafayette County",12067,4.7,404,"981 of 3140"
"Santa Rosa County",12113,4.7,7805,"969 of 3140"
"Escambia County",12033,4.8,14980,"944 of 3140"
"Gadsden County",12039,5.3,2422,"875 of 3140"
"Suwannee County",12121,5.3,2314,"869 of 3140"
"Citrus County",12017,5.3,7557,"859 of 3140"
"Sumter County",12119,5.6,6526,"812 of 3140"
"Bay County",12005,5.7,10310,"784 of 3140"
"Walton County",12131,5.9,3736,"757 of 3140"
"Leon County",12073,6.7,19178,"648 of 3140"
"Okaloosa County",12091,6.8,13393,"638 of 3140"
"Hernando County",12053,6.9,12292,"625 of 3140"
"Clay County",12019,6.9,14008,"623 of 3140"
"St. Johns County",12109,6.9,15641,"622 of 3140"
"Marion County",12083,7.2,24636,"592 of 3140"
"Volusia County",12127,7.5,38732,"557 of 3140"
"Lake County",12069,8.3,26968,"482 of 3140"
"Brevard County",12009,8.6,48940,"451 of 3140"
"Pasco County",12101,9.3,46432,"393 of 3140"
"Polk County",12105,10.0,65002,"361 of 3140"
"Alachua County",12001,10.0,25917,"360 of 3140"
"Martin County",12085,10.2,15882,"342 of 3140"
"Charlotte County",12015,10.2,17671,"341 of 3140"
"Indian River County",12061,10.3,15237,"334 of 3140"
"Duval County",12031,10.3,94235,"331 of 3140"
"Flagler County",12035,11.1,11613,"285 of 3140"
"Highlands County",12055,11.1,11138,"283 of 3140"
"Glades County",12043,11.4,1508,"270 of 3140"
"Pinellas County",12103,11.8,111915,"264 of 3140"
"Sarasota County",12115,12.4,50144,"243 of 3140"
"Seminole County",12117,12.4,55787,"241 of 3140"
"Okeechobee County",12093,12.5,5010,"240 of 3140"
"Manatee County",12081,12.6,45793,"235 of 3140"
"Hardee County",12049,13.1,3580,"221 of 3140"
"Lee County",12071,16.1,113019,"165 of 3140"
"St. Lucie County",12111,16.3,48678,"160 of 3140"
"Hillsborough County",12057,16.5,222469,"156 of 3140"
"DeSoto County",12027,17.5,6256,"144 of 3140"
"Monroe County",12087,18.5,14174,"130 of 3140"
"Osceola County",12097,19.9,64809,"111 of 3140"
"Orange County",12095,20.7,266879,"102 of 3140"
"Collier County",12021,24.3,86578,"62 of 3140"
"Palm Beach County",12099,24.6,350577,"60 of 3140"
"Hendry County",12051,27.6,10771,"41 of 3140"
"Broward County",12011,33.1,625456,"16 of 3140"
"Miami-Dade County",12086,52.9,1430880,"1 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:58 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Foreign born, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
