------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=12&areatype=county&topic=pop&demo=00002&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '12', 'areatype': 'county', 'topic': 'pop', 'demo': '00002', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_013.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=12&areatype=county&topic=pop&demo=00002&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Florida by County
Population: Age under 18
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age Under 18),Rank within US
"Florida",12000,20.3,4111582,"47 of 52"
"United States",00000,22.9,73601279,"N/A"
"Sumter County",12119,7.4,8594,"3140 of 3141"
"Charlotte County",12015,12.8,22250,"3128 of 3141"
"Sarasota County",12115,14.8,59737,"3105 of 3141"
"Citrus County",12017,15.0,21235,"3098 of 3141"
"Monroe County",12087,15.1,11606,"3095 of 3141"
"Gulf County",12045,15.7,2521,"3067 of 3141"
"Glades County",12043,16.4,2158,"3041 of 3141"
"Franklin County",12037,16.4,1911,"3040 of 3141"
"Jefferson County",12065,16.4,2306,"3038 of 3141"
"Martin County",12085,16.8,26155,"3002 of 3141"
"Pinellas County",12103,16.9,160130,"2998 of 3141"
"Indian River County",12061,17.2,25481,"2972 of 3141"
"Highlands County",12055,17.6,17641,"2941 of 3141"
"Flagler County",12035,17.8,18709,"2919 of 3141"
"Collier County",12021,17.9,63990,"2905 of 3141"
"Volusia County",12127,18.0,93272,"2898 of 3141"
"Alachua County",12001,18.0,46756,"2897 of 3141"
"Liberty County",12077,18.1,1510,"2885 of 3141"
"Lee County",12071,18.4,128523,"2835 of 3141"
"Brevard County",12009,18.7,105983,"2800 of 3141"
"Hernando County",12053,18.7,33512,"2792 of 3141"
"Dixie County",12029,18.7,3059,"2786 of 3141"
"Marion County",12083,18.8,64615,"2773 of 3141"
"Leon County",12073,18.8,53850,"2765 of 3141"
"Jackson County",12063,18.9,9156,"2762 of 3141"
"Union County",12125,18.9,2894,"2750 of 3141"
"Hamilton County",12047,19.1,2721,"2721 of 3141"
"Manatee County",12081,19.1,69590,"2714 of 3141"
"Madison County",12079,19.2,3551,"2705 of 3141"
"Taylor County",12123,19.3,4317,"2671 of 3141"
"Palm Beach County",12099,19.5,278119,"2621 of 3141"
"Holmes County",12059,19.7,3839,"2567 of 3141"
"Lake County",12069,19.7,64366,"2559 of 3141"
"Washington County",12133,19.8,4852,"2537 of 3141"
"DeSoto County",12027,20.1,7159,"2470 of 3141"
"Levy County",12075,20.1,7978,"2464 of 3141"
"Nassau County",12089,20.3,15932,"2396 of 3141"
"Walton County",12131,20.4,12943,"2366 of 3141"
"Bradford County",12007,20.4,5465,"2361 of 3141"
"Pasco County",12101,20.5,101938,"2338 of 3141"
"Miami-Dade County",12086,20.5,553299,"2335 of 3141"
"St. Lucie County",12111,20.6,61546,"2304 of 3141"
"Gilchrist County",12041,20.6,3545,"2298 of 3141"
"Wakulla County",12129,20.8,6585,"2218 of 3141"
"Escambia County",12033,21.0,65137,"2153 of 3141"
"Lafayette County",12067,21.1,1829,"2135 of 3141"
"Seminole County",12117,21.5,96371,"1999 of 3141"
"Broward County",12011,21.5,406640,"1974 of 3141"
"Suwannee County",12121,21.6,9453,"1954 of 3141"
"Bay County",12005,21.6,38904,"1950 of 3141"
"Calhoun County",12013,21.7,3133,"1924 of 3141"
"Putnam County",12107,21.7,15739,"1901 of 3141"
"Columbia County",12023,21.9,14993,"1822 of 3141"
"St. Johns County",12109,22.0,49896,"1759 of 3141"
"Okeechobee County",12093,22.1,8872,"1750 of 3141"
"Gadsden County",12039,22.1,10190,"1728 of 3141"
"Okaloosa County",12091,22.3,43982,"1650 of 3141"
"Santa Rosa County",12113,22.4,37391,"1568 of 3141"
"Polk County",12105,22.6,147320,"1510 of 3141"
"Orange County",12095,22.6,291909,"1494 of 3141"
"Duval County",12031,22.8,207634,"1431 of 3141"
"Hillsborough County",12057,23.1,311707,"1285 of 3141"
"Clay County",12019,24.1,49044,"824 of 3141"
"Baker County",12003,24.4,6723,"711 of 3141"
"Osceola County",12097,25.0,81408,"533 of 3141"
"Hardee County",12049,26.7,7284,"293 of 3141"
"Hendry County",12051,27.5,10724,"210 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:58 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Age under 18, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
