------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=12&areatype=county&topic=pov&demo=00007&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '12', 'areatype': 'county', 'topic': 'pov', 'demo': '00007', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_028.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=12&areatype=county&topic=pov&demo=00007&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Florida by County
Poverty: Families below poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Families (Below Poverty),Rank within US
"United States",00000,10.5,8253388,"N/A"
"Florida",12000,11.1,539921,"35 of 52"
"Sumter County",12119,5.5,1980,"322 of 3141"
"St. Johns County",12109,5.9,3569,"406 of 3141"
"Sarasota County",12115,6.2,6698,"457 of 3141"
"Martin County",12085,6.7,2605,"564 of 3141"
"Calhoun County",12013,7.2,218,"690 of 3141"
"Indian River County",12061,7.2,2652,"696 of 3141"
"Monroe County",12087,8.0,1389,"883 of 3141"
"Seminole County",12117,8.2,8714,"935 of 3141"
"Charlotte County",12015,8.3,3957,"962 of 3141"
"Okaloosa County",12091,8.3,4146,"963 of 3141"
"Collier County",12021,8.4,7811,"992 of 3141"
"Santa Rosa County",12113,8.4,3753,"1000 of 3141"
"Clay County",12019,8.4,4585,"1001 of 3141"
"Nassau County",12089,8.4,1872,"1010 of 3141"
"Flagler County",12035,8.5,2340,"1031 of 3141"
"Manatee County",12081,8.7,8035,"1080 of 3141"
"Wakulla County",12129,8.8,697,"1088 of 3141"
"Pinellas County",12103,9.0,20407,"1155 of 3141"
"Lake County",12069,9.2,7941,"1178 of 3141"
"Escambia County",12033,9.3,6459,"1200 of 3141"
"Brevard County",12009,9.4,13670,"1250 of 3141"
"Palm Beach County",12099,9.5,32140,"1273 of 3141"
"Leon County",12073,9.5,5899,"1291 of 3141"
"Pasco County",12101,9.7,12532,"1329 of 3141"
"Hernando County",12053,10.1,4934,"1444 of 3141"
"Lee County",12071,10.2,17732,"1458 of 3141"
"Volusia County",12127,10.6,13593,"1549 of 3141"
"Bay County",12005,10.7,4784,"1595 of 3141"
"Broward County",12011,10.8,46688,"1600 of 3141"
"Jefferson County",12065,10.8,409,"1626 of 3141"
"Gulf County",12045,11.0,404,"1661 of 3141"
"Hillsborough County",12057,11.5,36901,"1788 of 3141"
"Citrus County",12017,11.7,4624,"1824 of 3141"
"Columbia County",12023,11.7,1821,"1827 of 3141"
"Baker County",12003,11.8,743,"1850 of 3141"
"Duval County",12031,12.0,25929,"1887 of 3141"
"Walton County",12131,12.1,2036,"1924 of 3141"
"St. Lucie County",12111,12.2,9044,"1928 of 3141"
"Alachua County",12001,12.6,6418,"2013 of 3141"
"Orange County",12095,12.8,37575,"2052 of 3141"
"Highlands County",12055,12.8,3395,"2063 of 3141"
"Marion County",12083,12.9,11263,"2083 of 3141"
"Polk County",12105,12.9,20112,"2084 of 3141"
"Liberty County",12077,12.9,209,"2087 of 3141"
"Taylor County",12123,13.5,707,"2206 of 3141"
"Glades County",12043,13.9,391,"2288 of 3141"
"Bradford County",12007,14.2,818,"2325 of 3141"
"Osceola County",12097,14.7,10676,"2407 of 3141"
"Gilchrist County",12041,15.5,677,"2514 of 3141"
"Okeechobee County",12093,15.5,1404,"2522 of 3141"
"Miami-Dade County",12086,15.6,91258,"2534 of 3141"
"Suwannee County",12121,16.5,1801,"2624 of 3141"
"Franklin County",12037,16.9,468,"2671 of 3141"
"Levy County",12075,17.0,1750,"2684 of 3141"
"Gadsden County",12039,17.0,2000,"2688 of 3141"
"Dixie County",12029,17.1,721,"2693 of 3141"
"Jackson County",12063,17.2,1922,"2701 of 3141"
"Washington County",12133,17.6,1041,"2737 of 3141"
"Union County",12125,19.1,527,"2844 of 3141"
"Hardee County",12049,19.2,1101,"2857 of 3141"
"Holmes County",12059,19.3,894,"2862 of 3141"
"Putnam County",12107,20.5,3511,"2920 of 3141"
"Lafayette County",12067,20.6,326,"2930 of 3141"
"DeSoto County",12027,20.9,1683,"2946 of 3141"
"Hamilton County",12047,21.0,673,"2949 of 3141"
"Hendry County",12051,21.5,1800,"2965 of 3141"
"Madison County",12079,24.7,1089,"3040 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:58 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Poverty: Families below poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#poverty."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
