------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=12&areatype=county&topic=inc&demo=00011&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '12', 'areatype': 'county', 'topic': 'inc', 'demo': '00011', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_005.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=12&areatype=county&topic=inc&demo=00011&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Florida by County
Income: Median household income
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Dollars),Rank within US
"Florida",12000,50883.000000000,"39 of 52"
"United States",00000,57652.000000000,"N/A"
"Madison County",12079,31816.000000000,"3011 of 3141"
"Putnam County",12107,33619.000000000,"2931 of 3141"
"DeSoto County",12027,35435.000000000,"2843 of 3141"
"Dixie County",12029,35910.000000000,"2811 of 3141"
"Hamilton County",12047,36209.000000000,"2787 of 3141"
"Calhoun County",12013,36237.000000000,"2784 of 3141"
"Highlands County",12055,36374.000000000,"2775 of 3141"
"Levy County",12075,36554.000000000,"2758 of 3141"
"Liberty County",12077,36741.000000000,"2742 of 3141"
"Jackson County",12063,36944.000000000,"2728 of 3141"
"Washington County",12133,36989.000000000,"2724 of 3141"
"Taylor County",12123,37188.000000000,"2705 of 3141"
"Glades County",12043,37385.000000000,"2687 of 3141"
"Union County",12125,37460.000000000,"2679 of 3141"
"Holmes County",12059,37474.000000000,"2678 of 3141"
"Hendry County",12051,37966.000000000,"2640 of 3141"
"Okeechobee County",12093,39059.000000000,"2554 of 3141"
"Hardee County",12049,39063.000000000,"2553 of 3141"
"Gadsden County",12039,39830.000000000,"2483 of 3141"
"Citrus County",12017,40574.000000000,"2422 of 3141"
"Suwannee County",12121,40600.000000000,"2416 of 3141"
"Franklin County",12037,41267.000000000,"2331 of 3141"
"Lafayette County",12067,41512.000000000,"2302 of 3141"
"Marion County",12083,41964.000000000,"2253 of 3141"
"Gilchrist County",12041,42934.000000000,"2149 of 3141"
"Columbia County",12023,43504.000000000,"2085 of 3141"
"Volusia County",12127,43838.000000000,"2056 of 3141"
"Hernando County",12053,44324.000000000,"2008 of 3141"
"Gulf County",12045,44647.000000000,"1970 of 3141"
"Alachua County",12001,45478.000000000,"1875 of 3141"
"Polk County",12105,45988.000000000,"1815 of 3141"
"Bradford County",12007,46106.000000000,"1801 of 3141"
"Miami-Dade County",12086,46338.000000000,"1767 of 3141"
"Charlotte County",12015,46511.000000000,"1743 of 3141"
"St. Lucie County",12111,47132.000000000,"1669 of 3141"
"Osceola County",12097,47343.000000000,"1644 of 3141"
"Escambia County",12033,47361.000000000,"1642 of 3141"
"Jefferson County",12065,47599.000000000,"1611 of 3141"
"Pasco County",12101,48289.000000000,"1547 of 3141"
"Pinellas County",12103,48968.000000000,"1471 of 3141"
"Indian River County",12061,49009.000000000,"1468 of 3141"
"Lake County",12069,49734.000000000,"1388 of 3141"
"Leon County",12073,49941.000000000,"1369 of 3141"
"Bay County",12005,50283.000000000,"1321 of 3141"
"Walton County",12131,50619.000000000,"1286 of 3141"
"Flagler County",12035,51049.000000000,"1227 of 3141"
"Duval County",12031,51296.000000000,"1201 of 3141"
"Brevard County",12009,51536.000000000,"1170 of 3141"
"Orange County",12095,51586.000000000,"1162 of 3141"
"Lee County",12071,52052.000000000,"1112 of 3141"
"Manatee County",12081,53408.000000000,"990 of 3141"
"Hillsborough County",12057,53742.000000000,"950 of 3141"
"Sumter County",12119,54771.000000000,"853 of 3141"
"Broward County",12011,54895.000000000,"847 of 3141"
"Sarasota County",12115,55236.000000000,"822 of 3141"
"Martin County",12085,55588.000000000,"798 of 3141"
"Palm Beach County",12099,57256.000000000,"684 of 3141"
"Wakulla County",12129,57866.000000000,"639 of 3141"
"Baker County",12003,59506.000000000,"543 of 3141"
"Okaloosa County",12091,59955.000000000,"525 of 3141"
"Seminole County",12117,60739.000000000,"482 of 3141"
"Clay County",12019,61971.000000000,"426 of 3141"
"Collier County",12021,62407.000000000,"408 of 3141"
"Santa Rosa County",12113,62731.000000000,"386 of 3141"
"Monroe County",12087,63030.000000000,"374 of 3141"
"Nassau County",12089,64294.000000000,"339 of 3141"
"St. Johns County",12109,73640.000000000,"175 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:58 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Income: Median household income, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#income."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
"Median Incomes over 250,000 have been coded to 250,001 by the Census Bureau. [ http://www2.census.gov/acs2012_5yr/summaryfile/ACS_2008-2012_SF_Tech_Doc.pdf ]"
Data for United States does not include Puerto Rico.
