------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=12&areatype=county&topic=pov&demo=00008&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '12', 'areatype': 'county', 'topic': 'pov', 'demo': '00008', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_029.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=12&areatype=county&topic=pov&demo=00008&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Florida by County
Poverty: Persons below poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Below Poverty),Rank within US
"United States",00000,14.6,45650345,"N/A"
"Florida",12000,15.5,3070972,"35 of 52"
"St. Johns County",12109,9.1,20330,"373 of 3141"
"Sumter County",12119,9.2,9895,"391 of 3141"
"Clay County",12019,10.4,20998,"606 of 3141"
"Sarasota County",12115,10.5,41926,"623 of 3141"
"Martin County",12085,10.9,16624,"690 of 3141"
"Santa Rosa County",12113,11.3,18073,"772 of 3141"
"Nassau County",12089,11.4,8866,"796 of 3141"
"Okaloosa County",12091,11.5,21997,"809 of 3141"
"Seminole County",12117,11.8,52509,"881 of 3141"
"Charlotte County",12015,12.0,20274,"915 of 3141"
"Wakulla County",12129,12.6,3540,"1030 of 3141"
"Monroe County",12087,12.7,9562,"1045 of 3141"
"Indian River County",12061,12.7,18617,"1046 of 3141"
"Lake County",12069,12.8,41353,"1076 of 3141"
"Collier County",12021,12.8,45385,"1079 of 3141"
"Calhoun County",12013,12.9,1591,"1081 of 3141"
"Flagler County",12035,13.3,13839,"1192 of 3141"
"Brevard County",12009,13.4,75104,"1211 of 3141"
"Manatee County",12081,13.4,48234,"1218 of 3141"
"Palm Beach County",12099,13.4,189156,"1222 of 3141"
"Pasco County",12101,13.6,66457,"1246 of 3141"
"Pinellas County",12103,13.7,127948,"1275 of 3141"
"Jefferson County",12065,13.9,1601,"1324 of 3141"
"Broward County",12011,14.0,262306,"1339 of 3141"
"Hernando County",12053,14.3,25322,"1409 of 3141"
"Escambia County",12033,14.6,42457,"1450 of 3141"
"Lee County",12071,14.9,102539,"1506 of 3141"
"Gulf County",12045,14.9,2029,"1512 of 3141"
"Bay County",12005,15.4,27248,"1603 of 3141"
"Hillsborough County",12057,15.7,208195,"1665 of 3141"
"Duval County",12031,16.0,143014,"1752 of 3141"
"Volusia County",12127,16.1,81729,"1757 of 3141"
"Taylor County",12123,16.4,2992,"1812 of 3141"
"St. Lucie County",12111,16.6,49214,"1863 of 3141"
"Orange County",12095,16.7,209366,"1873 of 3141"
"Columbia County",12023,16.8,10649,"1902 of 3141"
"Walton County",12131,17.0,10410,"1936 of 3141"
"Baker County",12003,17.2,4277,"1977 of 3141"
"Polk County",12105,17.3,110557,"2003 of 3141"
"Citrus County",12017,17.4,24123,"2019 of 3141"
"Marion County",12083,17.6,58762,"2064 of 3141"
"Lafayette County",12067,17.8,1264,"2102 of 3141"
"Osceola County",12097,17.8,57416,"2103 of 3141"
"Liberty County",12077,17.8,1230,"2109 of 3141"
"Glades County",12043,18.0,2140,"2141 of 3141"
"Highlands County",12055,18.7,18495,"2266 of 3141"
"Bradford County",12007,18.8,4394,"2275 of 3141"
"Miami-Dade County",12086,19.0,505182,"2297 of 3141"
"Gilchrist County",12041,19.8,3124,"2403 of 3141"
"Franklin County",12037,20.1,2012,"2444 of 3141"
"Suwannee County",12121,20.4,8576,"2471 of 3141"
"Leon County",12073,20.5,56180,"2484 of 3141"
"Washington County",12133,21.0,4636,"2539 of 3141"
"Union County",12125,21.4,2134,"2594 of 3141"
"Jackson County",12063,21.6,8792,"2624 of 3141"
"Levy County",12075,21.9,8595,"2647 of 3141"
"Okeechobee County",12093,22.3,8273,"2681 of 3141"
"Alachua County",12001,23.3,57060,"2768 of 3141"
"Dixie County",12029,23.7,3471,"2786 of 3141"
"Gadsden County",12039,24.4,10495,"2828 of 3141"
"Hardee County",12049,24.5,6248,"2838 of 3141"
"Hendry County",12051,25.5,9739,"2897 of 3141"
"Hamilton County",12047,26.6,2896,"2945 of 3141"
"Holmes County",12059,26.6,4679,"2950 of 3141"
"Putnam County",12107,27.6,19546,"2981 of 3141"
"DeSoto County",12027,29.9,10086,"3028 of 3141"
"Madison County",12079,31.9,5241,"3064 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:58 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Poverty: Persons below poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#poverty."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
