------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=37&areatype=county&topic=pop&demo=00104&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '37', 'areatype': 'county', 'topic': 'pop', 'demo': '00104', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_027.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=37&areatype=county&topic=pop&demo=00104&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for North Carolina by County
Population: Sex - Male
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Male),Rank within US
"North Carolina",37000,48.7,4895368,"11 of 52"
"United States",00000,49.2,158018753,"N/A"
"Edgecombe County",37065,46.4,25088,"45 of 3141"
"Martin County",37117,47.0,10910,"75 of 3141"
"Vance County",37181,47.1,20915,"85 of 3141"
"Pitt County",37147,47.2,83309,"97 of 3141"
"Wilson County",37195,47.3,38532,"118 of 3141"
"Washington County",37187,47.4,5846,"124 of 3141"
"Guilford County",37081,47.4,245216,"125 of 3141"
"Forsyth County",37067,47.5,174966,"136 of 3141"
"Alamance County",37001,47.6,75078,"146 of 3141"
"Bladen County",37017,47.6,16241,"151 of 3141"
"Clay County",37043,47.6,5117,"152 of 3141"
"Orange County",37135,47.7,67598,"170 of 3141"
"Beaufort County",37013,47.8,22596,"184 of 3141"
"Lenoir County",37107,47.8,27701,"193 of 3141"
"Durham County",37063,47.8,143946,"198 of 3141"
"New Hanover County",37129,47.9,105213,"203 of 3141"
"Chowan County",37041,47.9,6878,"210 of 3141"
"Polk County",37149,47.9,9782,"214 of 3141"
"Buncombe County",37021,48.0,121002,"240 of 3141"
"Nash County",37127,48.0,45178,"247 of 3141"
"Perquimans County",37143,48.0,6485,"253 of 3141"
"Mecklenburg County",37119,48.1,497122,"270 of 3141"
"Halifax County",37083,48.1,25152,"278 of 3141"
"Transylvania County",37175,48.1,16018,"280 of 3141"
"Moore County",37125,48.1,45332,"285 of 3141"
"Cleveland County",37045,48.2,46733,"303 of 3141"
"Rockingham County",37157,48.2,44133,"318 of 3141"
"Macon County",37113,48.2,16467,"322 of 3141"
"Gaston County",37071,48.2,103191,"325 of 3141"
"Robeson County",37155,48.2,64702,"329 of 3141"
"Chatham County",37037,48.3,33000,"357 of 3141"
"Swain County",37173,48.3,6865,"375 of 3141"
"Henderson County",37089,48.3,54226,"396 of 3141"
"Person County",37145,48.4,18973,"397 of 3141"
"Haywood County",37087,48.5,29008,"464 of 3141"
"Brunswick County",37019,48.5,59412,"466 of 3141"
"Rutherford County",37161,48.5,32275,"502 of 3141"
"Pasquotank County",37139,48.6,19203,"524 of 3141"
"Lee County",37105,48.6,29055,"536 of 3141"
"Wake County",37183,48.6,497677,"558 of 3141"
"Surry County",37171,48.6,35166,"569 of 3141"
"Cabarrus County",37025,48.7,95708,"581 of 3141"
"Northampton County",37131,48.7,9944,"611 of 3141"
"Jones County",37103,48.8,4771,"698 of 3141"
"Gates County",37073,48.8,5662,"699 of 3141"
"Davidson County",37057,48.8,80121,"711 of 3141"
"Davie County",37059,48.8,20394,"724 of 3141"
"Richmond County",37153,48.8,22193,"726 of 3141"
"Jackson County",37099,48.9,20395,"771 of 3141"
"Duplin County",37061,48.9,29020,"788 of 3141"
"Stokes County",37169,48.9,22555,"794 of 3141"
"Graham County",37075,48.9,4212,"830 of 3141"
"Catawba County",37035,48.9,76437,"835 of 3141"
"Mitchell County",37121,49.0,7433,"931 of 3141"
"Wayne County",37191,49.1,61075,"948 of 3141"
"Johnston County",37101,49.1,91408,"953 of 3141"
"Sampson County",37163,49.1,31251,"974 of 3141"
"Cherokee County",37039,49.1,13483,"981 of 3141"
"Yadkin County",37197,49.1,18574,"992 of 3141"
"Carteret County",37031,49.1,33760,"1027 of 3141"
"Iredell County",37097,49.2,83570,"1107 of 3141"
"Wilkes County",37193,49.2,33737,"1122 of 3141"
"Ashe County",37009,49.2,13213,"1133 of 3141"
"Randolph County",37151,49.3,70344,"1143 of 3141"
"Dare County",37055,49.3,17441,"1144 of 3141"
"Columbus County",37047,49.3,27882,"1162 of 3141"
"Union County",37179,49.3,109435,"1170 of 3141"
"Caldwell County",37027,49.3,40361,"1238 of 3141"
"Yancey County",37199,49.4,8689,"1268 of 3141"
"Camden County",37029,49.4,5103,"1294 of 3141"
"Burke County",37023,49.4,43908,"1330 of 3141"
"Hoke County",37093,49.4,25993,"1393 of 3141"
"Madison County",37115,49.5,10564,"1445 of 3141"
"Montgomery County",37123,49.5,13584,"1454 of 3141"
"Scotland County",37165,49.5,17546,"1462 of 3141"
"Harnett County",37085,49.5,63747,"1471 of 3141"
"Lincoln County",37109,49.5,39867,"1483 of 3141"
"Rowan County",37159,49.5,68811,"1487 of 3141"
"Pender County",37141,49.6,28562,"1529 of 3141"
"Hertford County",37091,49.6,12026,"1538 of 3141"
"Currituck County",37053,49.6,12522,"1570 of 3141"
"Stanly County",37167,49.8,30309,"1759 of 3141"
"Alleghany County",37005,49.8,5445,"1764 of 3141"
"Franklin County",37069,49.8,31817,"1780 of 3141"
"Cumberland County",37051,49.8,165787,"1782 of 3141"
"Watauga County",37189,49.9,26657,"1859 of 3141"
"Warren County",37185,50.1,10116,"2032 of 3141"
"Caswell County",37033,50.3,11490,"2213 of 3141"
"McDowell County",37111,50.4,22706,"2259 of 3141"
"Bertie County",37015,50.5,10057,"2329 of 3141"
"Alexander County",37003,50.6,18797,"2358 of 3141"
"Granville County",37077,50.7,29686,"2453 of 3141"
"Craven County",37049,50.8,52488,"2470 of 3141"
"Pamlico County",37137,51.2,6561,"2621 of 3141"
"Anson County",37007,52.3,13361,"2833 of 3141"
"Hyde County",37095,53.0,2918,"2895 of 3141"
"Greene County",37079,54.0,11380,"2984 of 3141"
"Avery County",37011,54.6,9573,"3012 of 3141"
"Onslow County",37133,55.7,107245,"3047 of 3141"
"Tyrrell County",37177,57.9,2367,"3080 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:19 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Sex - Male, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
