------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=37&areatype=county&topic=pop&demo=00028&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '37', 'areatype': 'county', 'topic': 'pop', 'demo': '00028', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_016.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=37&areatype=county&topic=pop&demo=00028&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for North Carolina by County
Population: Age 40 and over
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 40 And Over),Rank within US
"United States",00000,47.3,151838062,"N/A"
"North Carolina",37000,48.1,4832543,"25 of 52"
"Onslow County",37133,29.0,55904,"3134 of 3141"
"Hoke County",37093,37.4,19656,"3065 of 3141"
"Cumberland County",37051,38.2,127005,"3044 of 3141"
"Pitt County",37147,40.1,70837,"2976 of 3141"
"Harnett County",37085,41.3,53117,"2926 of 3141"
"Watauga County",37189,41.4,22105,"2920 of 3141"
"Mecklenburg County",37119,42.2,436583,"2880 of 3141"
"Durham County",37063,42.6,128049,"2864 of 3141"
"Wake County",37183,43.6,446045,"2789 of 3141"
"Orange County",37135,43.8,62133,"2770 of 3141"
"Robeson County",37155,45.1,60581,"2646 of 3141"
"Craven County",37049,45.6,47099,"2605 of 3141"
"Guilford County",37081,46.6,240782,"2491 of 3141"
"Jackson County",37099,46.8,19529,"2464 of 3141"
"Wayne County",37191,46.8,58304,"2456 of 3141"
"Johnston County",37101,47.2,88004,"2412 of 3141"
"Cabarrus County",37025,47.2,92936,"2410 of 3141"
"Union County",37179,47.4,105208,"2389 of 3141"
"Forsyth County",37067,47.8,175981,"2314 of 3141"
"Lee County",37105,48.0,28678,"2276 of 3141"
"Pasquotank County",37139,48.3,19106,"2218 of 3141"
"New Hanover County",37129,48.4,106457,"2201 of 3141"
"Scotland County",37165,49.2,17427,"2066 of 3141"
"Alamance County",37001,49.6,78298,"1986 of 3141"
"Duplin County",37061,50.0,29668,"1911 of 3141"
"Gaston County",37071,50.1,107288,"1883 of 3141"
"Rowan County",37159,50.2,69679,"1877 of 3141"
"Edgecombe County",37065,50.2,27121,"1871 of 3141"
"Sampson County",37163,50.3,32017,"1847 of 3141"
"Richmond County",37153,50.4,22909,"1817 of 3141"
"Greene County",37079,50.5,10630,"1795 of 3141"
"Iredell County",37097,50.6,85865,"1776 of 3141"
"Anson County",37007,50.6,12924,"1760 of 3141"
"Wilson County",37195,50.6,41203,"1758 of 3141"
"Vance County",37181,50.7,22533,"1733 of 3141"
"Camden County",37029,50.8,5248,"1720 of 3141"
"Franklin County",37069,50.8,32464,"1707 of 3141"
"Catawba County",37035,51.4,80201,"1583 of 3141"
"Swain County",37173,51.4,7305,"1566 of 3141"
"Randolph County",37151,51.7,73867,"1494 of 3141"
"Cleveland County",37045,51.9,50355,"1457 of 3141"
"Nash County",37127,51.9,48876,"1446 of 3141"
"Columbus County",37047,52.0,29432,"1429 of 3141"
"Hertford County",37091,52.0,12626,"1421 of 3141"
"Lenoir County",37107,52.1,30162,"1412 of 3141"
