------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=37&areatype=county&topic=pop&demo=00002&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '37', 'areatype': 'county', 'topic': 'pop', 'demo': '00002', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_013.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=37&areatype=county&topic=pop&demo=00002&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for North Carolina by County
Population: Age under 18
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age Under 18),Rank within US
"North Carolina",37000,22.8,2289682,"26 of 52"
"United States",00000,22.9,73601279,"N/A"
"Watauga County",37189,13.1,6984,"3125 of 3141"
"Tyrrell County",37177,14.2,581,"3114 of 3141"
"Avery County",37011,15.4,2700,"3080 of 3141"
"Pamlico County",37137,16.0,2047,"3059 of 3141"
"Transylvania County",37175,16.3,5417,"3043 of 3141"
"Brunswick County",37019,16.8,20579,"3003 of 3141"
"Polk County",37149,17.1,3485,"2986 of 3141"
"Jackson County",37099,17.2,7197,"2970 of 3141"
"Cherokee County",37039,17.6,4832,"2943 of 3141"
"Alleghany County",37005,17.8,1948,"2920 of 3141"
"Clay County",37043,18.0,1933,"2899 of 3141"
"Bertie County",37015,18.2,3628,"2864 of 3141"
"Carteret County",37031,18.2,12524,"2860 of 3141"
"Madison County",37115,18.2,3894,"2856 of 3141"
"Haywood County",37087,18.4,11000,"2830 of 3141"
"Ashe County",37009,18.4,4935,"2827 of 3141"
"Mitchell County",37121,18.4,2792,"2823 of 3141"
"Northampton County",37131,18.4,3764,"2822 of 3141"
"Warren County",37185,18.6,3756,"2808 of 3141"
"Macon County",37113,18.8,6412,"2779 of 3141"
"Caswell County",37033,19.0,4333,"2740 of 3141"
"Yancey County",37199,19.0,3342,"2737 of 3141"
"Buncombe County",37021,19.2,48360,"2708 of 3141"
"New Hanover County",37129,19.2,42259,"2694 of 3141"
"Hertford County",37091,19.3,4682,"2677 of 3141"
"Dare County",37055,19.4,6859,"2652 of 3141"
"Jones County",37103,19.5,1906,"2617 of 3141"
"Henderson County",37089,19.5,21904,"2605 of 3141"
"Perquimans County",37143,19.6,2642,"2600 of 3141"
"Burke County",37023,19.7,17548,"2555 of 3141"
"Stokes County",37169,19.9,9162,"2529 of 3141"
"Anson County",37007,20.0,5096,"2501 of 3141"
"Orange County",37135,20.1,28572,"2447 of 3141"
"Hyde County",37095,20.6,1137,"2287 of 3141"
"Chatham County",37037,20.6,14117,"2286 of 3141"
"Alexander County",37003,20.7,7690,"2278 of 3141"
"Caldwell County",37027,20.8,16984,"2249 of 3141"
"McDowell County",37111,20.8,9361,"2246 of 3141"
"Rockingham County",37157,20.8,19027,"2243 of 3141"
"Martin County",37117,20.9,4848,"2214 of 3141"
"Washington County",37187,20.9,2574,"2212 of 3141"
"Beaufort County",37013,20.9,9907,"2188 of 3141"
"Gates County",37073,21.0,2434,"2166 of 3141"
"Chowan County",37041,21.0,3018,"2159 of 3141"
"Granville County",37077,21.0,12298,"2150 of 3141"
"Rutherford County",37161,21.1,14024,"2131 of 3141"
"Wilkes County",37193,21.1,14461,"2121 of 3141"
"Graham County",37075,21.1,1818,"2110 of 3141"
"Moore County",37125,21.3,20082,"2035 of 3141"
"Greene County",37079,21.4,4504,"2014 of 3141"
"Bladen County",37017,21.5,7330,"1992 of 3141"
"Durham County",37063,21.7,65142,"1930 of 3141"
"Halifax County",37083,21.7,11330,"1927 of 3141"
"Person County",37145,21.7,8512,"1915 of 3141"
"Yadkin County",37197,21.8,8227,"1889 of 3141"
"Davie County",37059,21.8,9091,"1877 of 3141"
"Lincoln County",37109,21.8,17536,"1869 of 3141"
"Stanly County",37167,21.8,13263,"1866 of 3141"
"Pitt County",37147,21.8,38533,"1849 of 3141"
"Surry County",37171,21.9,15833,"1821 of 3141"
"Columbus County",37047,22.0,12439,"1783 of 3141"
"Pasquotank County",37139,22.1,8735,"1733 of 3141"
"Cleveland County",37045,22.2,21516,"1693 of 3141"
"Currituck County",37053,22.2,5600,"1682 of 3141"
"Craven County",37049,22.4,23112,"1601 of 3141"
"Pender County",37141,22.4,12903,"1581 of 3141"
"Swain County",37173,22.5,3196,"1537 of 3141"
"Lenoir County",37107,22.6,13082,"1514 of 3141"
