------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=37&areatype=county&topic=ins&demo=00043&race=00&sex=0&age=006&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '37', 'areatype': 'county', 'topic': 'ins', 'demo': '00043', 'race': '00', 'sex': '0', 'age': '006', 'type': 'manyareacensus', 'file_name': 'demographics_006.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=37&areatype=county&topic=ins&demo=00043&race=00&sex=0&age=006&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for North Carolina by County
"Insurance: Percent uninsured in demographic group, people at or below 138% of poverty"
"Ages <65, All Races (includes Hispanic), Both Sexes"
2017 Small Area Health Insurance Estimates Data
Sorted by Value

County, FIPS,Value (Percent),People (Uninsured),Rank within US
"North Carolina",37000,22.3,435483,"46 of 51"
"Onslow County",37133,13.1,4850,"1014 of 3139"
"Vance County",37181,15.4,2016,"1303 of 3139"
"Cumberland County",37051,15.5,11524,"1314 of 3139"
"Edgecombe County",37065,15.5,2496,"1314 of 3139"
"Martin County",37117,15.5,868,"1314 of 3139"
"Hertford County",37091,16.2,925,"1399 of 3139"
"Northampton County",37131,16.3,858,"1415 of 3139"
"Halifax County",37083,16.6,2421,"1442 of 3139"
"Scotland County",37165,17.1,1787,"1501 of 3139"
"Pitt County",37147,17.3,7953,"1541 of 3139"
"Cleveland County",37045,17.4,3999,"1555 of 3139"
"Washington County",37187,18.0,591,"1648 of 3139"
"Bertie County",37015,18.3,837,"1695 of 3139"
"Anson County",37007,18.5,1160,"1728 of 3139"
"Lenoir County",37107,18.5,2887,"1728 of 3139"
"Chowan County",37041,18.6,563,"1744 of 3139"
"Craven County",37049,19.1,3462,"1804 of 3139"
"Caswell County",37033,19.2,898,"1823 of 3139"
"Nash County",37127,19.2,3793,"1823 of 3139"
"Gaston County",37071,19.3,8597,"1840 of 3139"
"Pasquotank County",37139,19.3,1601,"1840 of 3139"
"Richmond County",37153,19.3,2491,"1840 of 3139"
"Columbus County",37047,19.5,2720,"1882 of 3139"
"Person County",37145,19.5,1566,"1882 of 3139"
"Rutherford County",37161,19.6,3116,"1895 of 3139"
"McDowell County",37111,19.9,2123,"1948 of 3139"
"Wilson County",37195,19.9,3969,"1948 of 3139"
"Haywood County",37087,20.1,2270,"1976 of 3139"
"Perquimans County",37143,20.3,544,"2007 of 3139"
"Cherokee County",37039,20.5,1204,"2037 of 3139"
"Rockingham County",37157,20.5,4101,"2037 of 3139"
"Harnett County",37085,20.6,6036,"2053 of 3139"
"Madison County",37115,20.6,866,"2053 of 3139"
"Guilford County",37081,20.7,21556,"2073 of 3139"
"Stanly County",37167,20.9,2412,"2105 of 3139"
"Robeson County",37155,21.0,9214,"2115 of 3139"
"Granville County",37077,21.1,2188,"2120 of 3139"
"Rowan County",37159,21.4,6395,"2158 of 3139"
"Caldwell County",37027,21.6,3757,"2182 of 3139"
"Gates County",37073,21.6,411,"2182 of 3139"
"Warren County",37185,21.6,1030,"2182 of 3139"
"Pamlico County",37137,21.7,439,"2192 of 3139"
"Davidson County",37057,21.9,7176,"2217 of 3139"
"Beaufort County",37013,22.0,2263,"2232 of 3139"
"Wayne County",37191,22.2,6939,"2259 of 3139"
"Cabarrus County",37025,22.3,6758,"2268 of 3139"
"Alexander County",37003,22.5,1554,"2296 of 3139"
"Forsyth County",37067,22.5,17769,"2296 of 3139"
"Moore County",37125,22.6,3326,"2311 of 3139"
"Iredell County",37097,22.7,6131,"2322 of 3139"
"Mitchell County",37121,22.7,663,"2322 of 3139"
"New Hanover County",37129,22.9,9540,"2348 of 3139"
"Carteret County",37031,23.1,2462,"2373 of 3139"
"Catawba County",37035,23.1,6755,"2373 of 3139"
"Surry County",37171,23.1,3701,"2373 of 3139"
