------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=37&areatype=county&topic=pov&demo=00009&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '37', 'areatype': 'county', 'topic': 'pov', 'demo': '00009', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_030.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=37&areatype=county&topic=pov&demo=00009&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for North Carolina by County
Poverty: Persons below 150% of poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (<150% Of Poverty),Rank within US
"United States",00000,23.7,74202606,"N/A"
"North Carolina",37000,26.5,2596452,"39 of 52"
"Camden County",37029,16.5,1709,"349 of 3141"
"Union County",37179,16.9,37178,"384 of 3141"
"Wake County",37183,17.0,170479,"389 of 3141"
"Currituck County",37053,18.1,4540,"503 of 3141"
"Cabarrus County",37025,19.7,38445,"699 of 3141"
"Dare County",37055,20.2,7103,"771 of 3141"
"Polk County",37149,21.1,4247,"896 of 3141"
"Henderson County",37089,21.2,23481,"903 of 3141"
"Orange County",37135,21.3,27922,"913 of 3141"
"Iredell County",37097,21.3,35777,"916 of 3141"
"Chatham County",37037,21.8,14699,"983 of 3141"
"Gates County",37073,22.0,2533,"1007 of 3141"
"Davie County",37059,22.3,9258,"1051 of 3141"
"Mecklenburg County",37119,22.4,227958,"1058 of 3141"
"Brunswick County",37019,22.4,27210,"1062 of 3141"
"Moore County",37125,22.5,20887,"1071 of 3141"
"Carteret County",37031,23.3,15681,"1177 of 3141"
"Pender County",37141,23.8,13425,"1259 of 3141"
"Stokes County",37169,23.9,10900,"1270 of 3141"
"Buncombe County",37021,24.0,59021,"1281 of 3141"
"Lincoln County",37109,24.3,19397,"1333 of 3141"
"Catawba County",37035,24.7,37897,"1399 of 3141"
"Granville County",37077,24.7,13757,"1402 of 3141"
"Craven County",37049,24.9,24452,"1437 of 3141"
"Johnston County",37101,25.3,46690,"1493 of 3141"
"Durham County",37063,25.4,73044,"1497 of 3141"
"Haywood County",37087,26.3,15547,"1616 of 3141"
"Onslow County",37133,26.4,45212,"1632 of 3141"
"Alexander County",37003,26.6,9545,"1675 of 3141"
"Stanly County",37167,26.7,15698,"1687 of 3141"
"New Hanover County",37129,26.7,57016,"1701 of 3141"
