------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=37&areatype=county&topic=mob&demo=00018&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '37', 'areatype': 'county', 'topic': 'mob', 'demo': '00018', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_009.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=37&areatype=county&topic=mob&demo=00018&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for North Carolina by County
"Mobility: Moved, same county (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved Within County),Rank within US
"North Carolina",37000,8.1,805663,"20 of 51"
"United States",00000,8.4,26717038,"N/A"
"Tyrrell County",37177,1.3,53,"45 of 3140"
"Hyde County",37095,1.8,96,"77 of 3140"
"Perquimans County",37143,1.9,260,"96 of 3140"
"Camden County",37029,2.6,267,"176 of 3140"
"Beaufort County",37013,2.9,1369,"242 of 3140"
"Warren County",37185,3.1,624,"287 of 3140"
"Davie County",37059,3.2,1329,"305 of 3140"
"Clay County",37043,3.3,352,"315 of 3140"
"Avery County",37011,3.3,571,"316 of 3140"
"Franklin County",37069,3.4,2128,"338 of 3140"
"Polk County",37149,3.4,691,"347 of 3140"
"Jones County",37103,3.4,330,"348 of 3140"
"Northampton County",37131,3.4,697,"355 of 3140"
"Surry County",37171,3.5,2470,"356 of 3140"
"Gates County",37073,3.5,403,"374 of 3140"
"Hoke County",37093,3.5,1806,"377 of 3140"
"Yancey County",37199,3.5,617,"379 of 3140"
"Alexander County",37003,3.6,1312,"389 of 3140"
"Yadkin County",37197,3.6,1338,"399 of 3140"
"Washington County",37187,3.6,441,"409 of 3140"
"Montgomery County",37123,3.8,1029,"462 of 3140"
"Martin County",37117,3.8,869,"464 of 3140"
"Stokes County",37169,3.9,1786,"501 of 3140"
"Currituck County",37053,4.0,1000,"535 of 3140"
"Chowan County",37041,4.0,571,"542 of 3140"
"Granville County",37077,4.1,2374,"560 of 3140"
"Madison County",37115,4.2,899,"593 of 3140"
"Graham County",37075,4.3,367,"610 of 3140"
"Caswell County",37033,4.3,966,"611 of 3140"
"Pasquotank County",37139,4.4,1707,"648 of 3140"
"Chatham County",37037,4.6,3084,"726 of 3140"
"Wilkes County",37193,4.6,3114,"735 of 3140"
"Lincoln County",37109,4.6,3655,"736 of 3140"
"Cherokee County",37039,4.6,1251,"739 of 3140"
"Pender County",37141,4.6,2625,"743 of 3140"
"Hertford County",37091,4.8,1151,"821 of 3140"
"Bladen County",37017,4.9,1646,"865 of 3140"
"Ashe County",37009,4.9,1313,"886 of 3140"
"McDowell County",37111,5.0,2225,"908 of 3140"
"Anson County",37007,5.0,1260,"911 of 3140"
"Mitchell County",37121,5.0,754,"936 of 3140"
"Moore County",37125,5.1,4723,"941 of 3140"
"Alleghany County",37005,5.1,558,"985 of 3140"
"Greene County",37079,5.2,1087,"1013 of 3140"
"Union County",37179,5.5,12159,"1175 of 3140"
"Nash County",37127,5.5,5150,"1177 of 3140"
"Jackson County",37099,5.5,2296,"1188 of 3140"
"Robeson County",37155,5.6,7364,"1193 of 3140"
"Harnett County",37085,5.9,7463,"1361 of 3140"
"Edgecombe County",37065,5.9,3141,"1365 of 3140"
"Henderson County",37089,6.0,6624,"1410 of 3140"
"Johnston County",37101,6.0,11068,"1439 of 3140"
"Bertie County",37015,6.0,1193,"1447 of 3140"
"Lee County",37105,6.1,3592,"1471 of 3140"
"Swain County",37173,6.1,854,"1473 of 3140"
"Burke County",37023,6.1,5416,"1505 of 3140"
"Pamlico County",37137,6.2,785,"1520 of 3140"
"Rutherford County",37161,6.2,4074,"1525 of 3140"
"Randolph County",37151,6.3,8864,"1564 of 3140"
"Cleveland County",37045,6.3,6029,"1575 of 3140"
"Person County",37145,6.4,2482,"1629 of 3140"
"Columbus County",37047,6.5,3644,"1681 of 3140"
"Cabarrus County",37025,6.5,12702,"1694 of 3140"
"Transylvania County",37175,6.7,2217,"1763 of 3140"
"Halifax County",37083,7.0,3655,"1885 of 3140"
"Macon County",37113,7.1,2415,"1913 of 3140"
"Carteret County",37031,7.1,4856,"1922 of 3140"
"Buncombe County",37021,7.2,17953,"1941 of 3140"
"Rowan County",37159,7.2,9865,"1944 of 3140"
"Wilson County",37195,7.3,5898,"2009 of 3140"
"Brunswick County",37019,7.4,8970,"2040 of 3140"
"Catawba County",37035,7.4,11431,"2059 of 3140"
"Haywood County",37087,7.4,4395,"2062 of 3140"
"Sampson County",37163,7.4,4676,"2063 of 3140"
"Duplin County",37061,7.5,4350,"2072 of 3140"
"Scotland County",37165,7.5,2638,"2101 of 3140"
"Rockingham County",37157,7.6,6892,"2121 of 3140"
"Davidson County",37057,7.7,12553,"2175 of 3140"
"Richmond County",37153,7.9,3538,"2219 of 3140"
"Dare County",37055,7.9,2761,"2228 of 3140"
"Iredell County",37097,8.0,13382,"2264 of 3140"
"Vance County",37181,8.0,3503,"2271 of 3140"
"Guilford County",37081,8.1,41229,"2290 of 3140"
"Caldwell County",37027,8.1,6542,"2293 of 3140"
"Alamance County",37001,8.1,12647,"2301 of 3140"
"Gaston County",37071,8.2,17391,"2341 of 3140"
"Stanly County",37167,8.4,5069,"2387 of 3140"
"Craven County",37049,8.7,8912,"2479 of 3140"
"Forsyth County",37067,9.2,33531,"2609 of 3140"
"Orange County",37135,9.4,13185,"2646 of 3140"
"New Hanover County",37129,9.7,21188,"2731 of 3140"
"Wayne County",37191,9.9,12122,"2758 of 3140"
"Wake County",37183,10.3,104116,"2836 of 3140"
"Cumberland County",37051,10.6,34601,"2878 of 3140"
"Mecklenburg County",37119,11.4,116443,"2987 of 3140"
"Onslow County",37133,11.6,21938,"3007 of 3140"
"Durham County",37063,11.6,34491,"3011 of 3140"
"Watauga County",37189,11.7,6207,"3018 of 3140"
"Pitt County",37147,12.0,20928,"3036 of 3140"
"Lenoir County",37107,12.4,7107,"3054 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:19 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Moved, same county (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
