------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=37&areatype=county&topic=lang&demo=00015&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '37', 'areatype': 'county', 'topic': 'lang', 'demo': '00015', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_007.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=37&areatype=county&topic=lang&demo=00015&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for North Carolina by County
Non-English Language: Language isolation
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Households (language Isolation),Rank within US
"North Carolina",37000,2.4,94099,"29 of 51"
"United States",00000,4.5,5305440,"N/A"
"Tyrrell County",37177,0.0,0,"1 of 3140"
"Martin County",37117,0.0,2,"298 of 3140"
"Currituck County",37053,0.2,20,"596 of 3140"
"Washington County",37187,0.2,12,"648 of 3140"
"Watauga County",37189,0.3,62,"796 of 3140"
"Scotland County",37165,0.4,53,"972 of 3140"
"Bertie County",37015,0.4,32,"975 of 3140"
"Hertford County",37091,0.4,36,"986 of 3140"
"Halifax County",37083,0.4,91,"1028 of 3140"
"Haywood County",37087,0.5,126,"1095 of 3140"
"Pamlico County",37137,0.5,28,"1153 of 3140"
"Cleveland County",37045,0.5,197,"1160 of 3140"
"Rockingham County",37157,0.5,203,"1194 of 3140"
"Polk County",37149,0.5,49,"1198 of 3140"
"Warren County",37185,0.6,47,"1242 of 3140"
"Northampton County",37131,0.6,51,"1245 of 3140"
"Stanly County",37167,0.6,142,"1274 of 3140"
"Rutherford County",37161,0.6,161,"1295 of 3140"
"Person County",37145,0.6,99,"1318 of 3140"
"Swain County",37173,0.6,35,"1341 of 3140"
"Anson County",37007,0.7,63,"1352 of 3140"
"Stokes County",37169,0.7,134,"1409 of 3140"
"Graham County",37075,0.7,24,"1441 of 3140"
"Mitchell County",37121,0.7,47,"1456 of 3140"
"Chowan County",37041,0.8,47,"1526 of 3140"
"Caswell County",37033,0.8,76,"1564 of 3140"
"Vance County",37181,0.9,145,"1590 of 3140"
"Moore County",37125,0.9,335,"1607 of 3140"
"Edgecombe County",37065,0.9,200,"1662 of 3140"
"Camden County",37029,1.0,37,"1695 of 3140"
"Cherokee County",37039,1.0,110,"1698 of 3140"
"Granville County",37077,1.0,207,"1704 of 3140"
"Carteret County",37031,1.0,297,"1705 of 3140"
"Gates County",37073,1.0,44,"1707 of 3140"
"Columbus County",37047,1.0,223,"1709 of 3140"
"Lincoln County",37109,1.1,329,"1771 of 3140"
"Jones County",37103,1.1,44,"1776 of 3140"
"Madison County",37115,1.1,90,"1788 of 3140"
"Nash County",37127,1.1,399,"1792 of 3140"
"Onslow County",37133,1.1,692,"1801 of 3140"
"Perquimans County",37143,1.1,65,"1809 of 3140"
"Clay County",37043,1.1,56,"1813 of 3140"
"Jackson County",37099,1.2,189,"1857 of 3140"
"Brunswick County",37019,1.2,633,"1884 of 3140"
"Davie County",37059,1.2,192,"1890 of 3140"
"Ashe County",37009,1.3,150,"1918 of 3140"
"Gaston County",37071,1.3,1026,"1937 of 3140"
"Pasquotank County",37139,1.3,187,"1942 of 3140"
"McDowell County",37111,1.3,230,"1944 of 3140"
"Alexander County",37003,1.3,176,"1945 of 3140"
"Transylvania County",37175,1.3,186,"1968 of 3140"
"Yadkin County",37197,1.4,211,"1992 of 3140"
"Pender County",37141,1.4,287,"1995 of 3140"
"Wilkes County",37193,1.5,409,"2064 of 3140"
"New Hanover County",37129,1.5,1353,"2065 of 3140"
"Craven County",37049,1.5,620,"2095 of 3140"
"Davidson County",37057,1.5,996,"2109 of 3140"
"Avery County",37011,1.6,105,"2131 of 3140"
"Dare County",37055,1.6,240,"2139 of 3140"
"Iredell County",37097,1.6,999,"2141 of 3140"
"Pitt County",37147,1.6,1096,"2151 of 3140"
"Caldwell County",37027,1.6,515,"2155 of 3140"
"Macon County",37113,1.7,256,"2185 of 3140"
"Rowan County",37159,1.8,914,"2236 of 3140"
"Bladen County",37017,1.8,264,"2271 of 3140"
"Cabarrus County",37025,1.9,1311,"2277 of 3140"
"Yancey County",37199,2.0,148,"2316 of 3140"
"Franklin County",37069,2.0,486,"2325 of 3140"
"Harnett County",37085,2.0,894,"2326 of 3140"
"Surry County",37171,2.1,609,"2356 of 3140"
"Randolph County",37151,2.1,1167,"2360 of 3140"
"Beaufort County",37013,2.2,423,"2407 of 3140"
"Wilson County",37195,2.2,716,"2411 of 3140"
"Robeson County",37155,2.3,1059,"2440 of 3140"
"Cumberland County",37051,2.3,2873,"2445 of 3140"
"Alleghany County",37005,2.4,116,"2496 of 3140"
"Burke County",37023,2.5,854,"2503 of 3140"
"Lenoir County",37107,2.6,595,"2530 of 3140"
"Buncombe County",37021,2.6,2713,"2534 of 3140"
"Forsyth County",37067,2.6,3749,"2536 of 3140"
