------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=37&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '37', 'areatype': 'county', 'topic': 'crowd', 'demo': '00027', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_000.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=37&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for North Carolina by County
Crowding: Households with >1 person per room
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Households (with >1 Person Per Room),Rank within US
"North Carolina",37000,2.4,91571,"23 of 52"
"United States",00000,3.3,3975282,"N/A"
"Graham County",37075,0.5,16,"3000 of 3141"
"Mitchell County",37121,0.8,50,"2826 of 3141"
"Beaufort County",37013,0.8,152,"2812 of 3141"
"Clay County",37043,0.9,45,"2719 of 3141"
"Warren County",37185,0.9,75,"2687 of 3141"
"Ashe County",37009,0.9,111,"2683 of 3141"
"Martin County",37117,1.0,100,"2571 of 3141"
"Alleghany County",37005,1.1,50,"2556 of 3141"
"Northampton County",37131,1.2,104,"2406 of 3141"
"Stokes County",37169,1.3,242,"2315 of 3141"
"Polk County",37149,1.3,113,"2310 of 3141"
"Halifax County",37083,1.4,290,"2176 of 3141"
"Madison County",37115,1.4,115,"2163 of 3141"
"Carteret County",37031,1.4,416,"2157 of 3141"
"Watauga County",37189,1.4,291,"2105 of 3141"
"Yancey County",37199,1.5,110,"2067 of 3141"
"Brunswick County",37019,1.5,792,"2034 of 3141"
"Camden County",37029,1.5,58,"1991 of 3141"
"Cumberland County",37051,1.6,1977,"1930 of 3141"
"Granville County",37077,1.6,341,"1881 of 3141"
"Transylvania County",37175,1.6,230,"1880 of 3141"
"Onslow County",37133,1.7,1056,"1837 of 3141"
"New Hanover County",37129,1.7,1554,"1803 of 3141"
"Haywood County",37087,1.8,466,"1737 of 3141"
"Moore County",37125,1.8,693,"1694 of 3141"
"Chatham County",37037,1.9,526,"1626 of 3141"
"Caswell County",37033,1.9,178,"1553 of 3141"
"Richmond County",37153,1.9,358,"1549 of 3141"
"Davie County",37059,2.0,317,"1506 of 3141"
"Johnston County",37101,2.0,1315,"1488 of 3141"
