------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=37&areatype=county&topic=pop&demo=00105&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '37', 'areatype': 'county', 'topic': 'pop', 'demo': '00105', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_026.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=37&areatype=county&topic=pop&demo=00105&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for North Carolina by County
Population: Sex - Female
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Female),Rank within US
"United States",00000,50.8,162985654,"N/A"
"North Carolina",37000,51.3,5157196,"42 of 52"
"Tyrrell County",37177,42.1,1723,"62 of 3141"
"Onslow County",37133,44.3,85440,"95 of 3141"
"Avery County",37011,45.4,7962,"130 of 3141"
"Greene County",37079,46.0,9679,"158 of 3141"
"Hyde County",37095,47.0,2589,"247 of 3141"
"Anson County",37007,47.7,12170,"309 of 3141"
"Pamlico County",37137,48.8,6242,"521 of 3141"
"Craven County",37049,49.2,50886,"672 of 3141"
"Granville County",37077,49.3,28817,"689 of 3141"
"Alexander County",37003,49.4,18362,"784 of 3141"
"Bertie County",37015,49.5,9856,"813 of 3141"
"McDowell County",37111,49.6,22363,"883 of 3141"
"Caswell County",37033,49.7,11343,"929 of 3141"
"Warren County",37185,49.9,10074,"1110 of 3141"
"Watauga County",37189,50.1,26764,"1283 of 3141"
"Cumberland County",37051,50.2,166979,"1360 of 3141"
"Franklin County",37069,50.2,32049,"1361 of 3141"
"Alleghany County",37005,50.2,5490,"1378 of 3141"
"Stanly County",37167,50.2,30566,"1383 of 3141"
"Currituck County",37053,50.4,12725,"1572 of 3141"
"Hertford County",37091,50.4,12236,"1604 of 3141"
"Pender County",37141,50.4,29068,"1613 of 3141"
"Rowan County",37159,50.5,70129,"1654 of 3141"
"Lincoln County",37109,50.5,40637,"1658 of 3141"
"Harnett County",37085,50.5,65006,"1671 of 3141"
"Scotland County",37165,50.5,17899,"1680 of 3141"
"Montgomery County",37123,50.5,13861,"1688 of 3141"
"Madison County",37115,50.5,10783,"1696 of 3141"
"Hoke County",37093,50.6,26578,"1749 of 3141"
"Burke County",37023,50.6,44990,"1812 of 3141"
"Camden County",37029,50.6,5233,"1848 of 3141"
"Yancey County",37199,50.6,8916,"1874 of 3141"
"Caldwell County",37027,50.7,41444,"1903 of 3141"
"Union County",37179,50.7,112660,"1972 of 3141"
"Columbus County",37047,50.7,28707,"1979 of 3141"
"Dare County",37055,50.7,17971,"1997 of 3141"
"Randolph County",37151,50.7,72483,"1999 of 3141"
"Ashe County",37009,50.8,13620,"2009 of 3141"
"Wilkes County",37193,50.8,34788,"2020 of 3141"
"Iredell County",37097,50.8,86228,"2034 of 3141"
"Carteret County",37031,50.9,34939,"2115 of 3141"
"Yadkin County",37197,50.9,19251,"2150 of 3141"
"Cherokee County",37039,50.9,13980,"2161 of 3141"
"Sampson County",37163,50.9,32413,"2168 of 3141"
"Johnston County",37101,50.9,94900,"2189 of 3141"
"Wayne County",37191,50.9,63421,"2194 of 3141"
"Mitchell County",37121,51.0,7722,"2211 of 3141"
"Catawba County",37035,51.1,79745,"2307 of 3141"
"Graham County",37075,51.1,4395,"2312 of 3141"
"Stokes County",37169,51.1,23569,"2348 of 3141"
"Duplin County",37061,51.1,30330,"2354 of 3141"
"Jackson County",37099,51.1,21330,"2371 of 3141"
"Richmond County",37153,51.2,23254,"2416 of 3141"
"Davie County",37059,51.2,21372,"2418 of 3141"
"Davidson County",37057,51.2,83997,"2430 of 3141"
"Gates County",37073,51.2,5939,"2443 of 3141"
"Jones County",37103,51.2,5005,"2444 of 3141"
"Northampton County",37131,51.3,10482,"2531 of 3141"
