------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=37&areatype=county&topic=pop&demo=00025&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '37', 'areatype': 'county', 'topic': 'pop', 'demo': '00025', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_025.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=37&areatype=county&topic=pop&demo=00025&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for North Carolina by County
Population: White
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (White),Rank within US
"North Carolina",37000,69.0,6937466,"37 of 52"
"United States",00000,73.0,234370202,"N/A"
"Robeson County",37155,29.0,38889,"3091 of 3141"
"Bertie County",37015,35.3,7026,"3069 of 3141"
"Hertford County",37091,35.5,8625,"3067 of 3141"
"Edgecombe County",37065,38.4,20752,"3050 of 3141"
"Northampton County",37131,39.7,8109,"3045 of 3141"
"Warren County",37185,40.1,8100,"3041 of 3141"
"Halifax County",37083,40.2,21042,"3040 of 3141"
"Vance County",37181,44.0,19550,"3007 of 3141"
"Scotland County",37165,44.9,15921,"3001 of 3141"
"Hoke County",37093,45.5,23916,"2994 of 3141"
"Washington County",37187,46.9,5781,"2978 of 3141"
"Anson County",37007,48.0,12257,"2970 of 3141"
"Wilson County",37195,50.8,41379,"2947 of 3141"
"Durham County",37063,50.9,153235,"2946 of 3141"
"Cumberland County",37051,51.0,169835,"2944 of 3141"
"Nash County",37127,53.2,50044,"2920 of 3141"
"Martin County",37117,54.4,12645,"2904 of 3141"
"Lenoir County",37107,55.1,31894,"2898 of 3141"
"Tyrrell County",37177,55.1,2253,"2896 of 3141"
"Mecklenburg County",37119,55.1,569985,"2895 of 3141"
"Guilford County",37081,56.1,290004,"2880 of 3141"
"Bladen County",37017,56.4,19244,"2877 of 3141"
"Pitt County",37147,57.7,101847,"2852 of 3141"
"Greene County",37079,57.9,12184,"2848 of 3141"
"Pasquotank County",37139,58.8,23248,"2839 of 3141"
"Wayne County",37191,61.0,75921,"2802 of 3141"
"Granville County",37077,61.1,35732,"2801 of 3141"
"Columbus County",37047,61.5,34810,"2792 of 3141"
"Chowan County",37041,62.5,8980,"2767 of 3141"
