------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=37&areatype=county&topic=pop&demo=00101&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '37', 'areatype': 'county', 'topic': 'pop', 'demo': '00101', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_024.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=37&areatype=county&topic=pop&demo=00101&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for North Carolina by County
Population: Non-Hispanic (Origin Recode)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Non-Hispanic [Origin Recode]),Rank within US
"United States",00000,82.4,264493836,"N/A"
"North Carolina",37000,90.9,9137772,"27 of 52"
"Duplin County",37061,78.3,46449,"345 of 3141"
"Lee County",37105,80.7,48266,"394 of 3141"
"Sampson County",37163,81.1,51651,"408 of 3141"
"Montgomery County",37123,84.6,23228,"501 of 3141"
"Greene County",37079,85.1,17925,"519 of 3141"
"Durham County",37063,86.5,260381,"562 of 3141"
"Johnston County",37101,86.7,161479,"566 of 3141"
"Mecklenburg County",37119,87.1,901341,"580 of 3141"
"Hoke County",37093,87.2,45826,"581 of 3141"
"Forsyth County",37067,87.4,322053,"593 of 3141"
"Chatham County",37037,87.4,59781,"596 of 3141"
"Alamance County",37001,87.7,138391,"605 of 3141"
"Harnett County",37085,87.7,112957,"608 of 3141"
"Onslow County",37133,87.8,169211,"615 of 3141"
"Wayne County",37191,88.7,110487,"659 of 3141"
"Cumberland County",37051,88.8,295435,"661 of 3141"
"Randolph County",37151,88.9,127031,"673 of 3141"
"Union County",37179,89.1,197817,"678 of 3141"
"Yadkin County",37197,89.1,33693,"679 of 3141"
"Surry County",37171,89.8,64961,"716 of 3141"
"Wilson County",37195,89.9,73183,"721 of 3141"
"Wake County",37183,90.0,921274,"732 of 3141"
"Cabarrus County",37025,90.0,177047,"734 of 3141"
"Henderson County",37089,90.1,101000,"738 of 3141"
"Alleghany County",37005,90.6,9902,"776 of 3141"
"Catawba County",37035,90.7,141618,"781 of 3141"
"Robeson County",37155,91.5,122749,"849 of 3141"
"Hyde County",37095,91.6,5045,"862 of 3141"
"Orange County",37135,91.7,130001,"867 of 3141"
"Rowan County",37159,91.7,127387,"869 of 3141"
"Franklin County",37069,91.9,58702,"889 of 3141"
"Guilford County",37081,92.3,477210,"912 of 3141"
"Granville County",37077,92.4,54052,"923 of 3141"
"Tyrrell County",37177,92.4,3780,"928 of 3141"
"Beaufort County",37013,92.4,43741,"931 of 3141"
"Bladen County",37017,92.5,31554,"932 of 3141"
"Lenoir County",37107,92.5,53570,"934 of 3141"
"Iredell County",37097,92.6,157302,"956 of 3141"
"Vance County",37181,92.7,41171,"961 of 3141"
"Craven County",37049,92.9,96008,"985 of 3141"
"Dare County",37055,92.9,32891,"986 of 3141"
"Lincoln County",37109,93.0,74845,"994 of 3141"
"Davidson County",37057,93.1,152838,"1005 of 3141"
"Macon County",37113,93.2,31832,"1015 of 3141"
"Pender County",37141,93.2,53735,"1023 of 3141"
"Nash County",37127,93.3,87814,"1030 of 3141"
"Gaston County",37071,93.4,199874,"1042 of 3141"
"Davie County",37059,93.5,39039,"1053 of 3141"
