------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=37&areatype=county&topic=pop&demo=00022&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '37', 'areatype': 'county', 'topic': 'pop', 'demo': '00022', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_021.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=37&areatype=county&topic=pop&demo=00022&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for North Carolina by County
Population: Black
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Black),Rank within US
"United States",00000,12.7,40610815,"N/A"
"North Carolina",37000,21.5,2159427,"9 of 52"
"Graham County",37075,0.2,14,"2895 of 3141"
"Mitchell County",37121,0.3,48,"2739 of 3141"
"Swain County",37173,0.5,67,"2562 of 3141"
"Ashe County",37009,0.8,210,"2216 of 3141"
"Yancey County",37199,0.8,149,"2158 of 3141"
"Haywood County",37087,1.1,644,"1998 of 3141"
"Macon County",37113,1.3,461,"1869 of 3141"
"Cherokee County",37039,1.4,377,"1856 of 3141"
"Watauga County",37189,1.6,832,"1771 of 3141"
"Clay County",37043,1.6,177,"1735 of 3141"
"Madison County",37115,1.9,398,"1666 of 3141"
"Dare County",37055,2.1,756,"1596 of 3141"
"Alleghany County",37005,2.4,266,"1524 of 3141"
"Jackson County",37099,3.0,1231,"1415 of 3141"
"Yadkin County",37197,3.4,1268,"1349 of 3141"
"Henderson County",37089,3.4,3848,"1337 of 3141"
"Surry County",37171,3.7,2703,"1298 of 3141"
"McDowell County",37111,3.8,1735,"1276 of 3141"
"Stokes County",37169,4.0,1833,"1261 of 3141"
"Transylvania County",37175,4.1,1363,"1238 of 3141"
"Wilkes County",37193,4.2,2893,"1227 of 3141"
"Avery County",37011,4.2,743,"1225 of 3141"
"Caldwell County",37027,4.9,4027,"1149 of 3141"
"Polk County",37149,5.2,1054,"1119 of 3141"
"Lincoln County",37109,5.4,4309,"1103 of 3141"
"Currituck County",37053,5.4,1369,"1096 of 3141"
"Carteret County",37031,5.7,3908,"1070 of 3141"
