------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=37&areatype=county&topic=ed&demo=00005&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '37', 'areatype': 'county', 'topic': 'ed', 'demo': '00005', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_002.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=37&areatype=county&topic=ed&demo=00005&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for North Carolina by County
Education: Less than High School
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People(Education: Less Than High School),Rank within US
"United States",00000,12.7,27437114,"N/A"
"North Carolina",37000,13.1,889694,"36 of 52"
"Dare County",37055,6.8,1800,"327 of 3141"
"Orange County",37135,7.4,6484,"426 of 3141"
"Wake County",37183,7.5,51062,"462 of 3141"
"New Hanover County",37129,7.7,11473,"496 of 3141"
"Onslow County",37133,8.6,8751,"700 of 3141"
"Carteret County",37031,9.2,4721,"821 of 3141"
"Buncombe County",37021,9.2,16832,"824 of 3141"
"Cumberland County",37051,9.5,19437,"922 of 3141"
"Moore County",37125,9.8,6660,"982 of 3141"
"Mecklenburg County",37119,10.1,69644,"1059 of 3141"
"Union County",37179,10.2,14396,"1088 of 3141"
"Polk County",37149,10.4,1633,"1149 of 3141"
"Henderson County",37089,10.5,8748,"1172 of 3141"
"Pitt County",37147,10.7,11331,"1218 of 3141"
"Clay County",37043,10.8,886,"1228 of 3141"
"Cabarrus County",37025,10.9,14059,"1238 of 3141"
"Brunswick County",37019,10.9,10385,"1244 of 3141"
"Guilford County",37081,11.1,38374,"1299 of 3141"
"Iredell County",37097,11.3,13018,"1329 of 3141"
"Watauga County",37189,11.4,3442,"1367 of 3141"
"Forsyth County",37067,11.5,28193,"1378 of 3141"
"Jackson County",37099,12.0,3207,"1485 of 3141"
"Haywood County",37087,12.2,5479,"1528 of 3141"
"Durham County",37063,12.3,25103,"1535 of 3141"
"Craven County",37049,12.3,8281,"1551 of 3141"
"Currituck County",37053,12.4,2223,"1578 of 3141"
"Macon County",37113,12.5,3186,"1583 of 3141"
"Transylvania County",37175,12.5,3126,"1592 of 3141"
"Chatham County",37037,12.7,6332,"1620 of 3141"
"Davie County",37059,12.7,3784,"1629 of 3141"
"Pender County",37141,13.2,5332,"1703 of 3141"
"Perquimans County",37143,13.6,1377,"1776 of 3141"
"Pasquotank County",37139,13.8,3661,"1791 of 3141"
"Harnett County",37085,13.8,11345,"1797 of 3141"
"Pamlico County",37137,14.0,1374,"1824 of 3141"
"Gates County",37073,14.0,1158,"1826 of 3141"
"Beaufort County",37013,14.1,4759,"1838 of 3141"
"Johnston County",37101,14.4,17647,"1891 of 3141"
"Hoke County",37093,14.6,4854,"1912 of 3141"
"Camden County",37029,14.7,1047,"1934 of 3141"
"Person County",37145,14.7,4066,"1940 of 3141"
"Stanly County",37167,14.8,6277,"1956 of 3141"
"Nash County",37127,14.9,9619,"1969 of 3141"
"Cherokee County",37039,15.1,3152,"1987 of 3141"
"Ashe County",37009,15.1,3042,"1988 of 3141"
"Alamance County",37001,15.1,16058,"1991 of 3141"
