------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=37&areatype=county&topic=pop&demo=00026&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '37', 'areatype': 'county', 'topic': 'pop', 'demo': '00026', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_023.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=37&areatype=county&topic=pop&demo=00026&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for North Carolina by County
Population: Hispanic
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Hispanic),Rank within US
"North Carolina",37000,9.1,914792,"27 of 52"
"United States",00000,17.6,56510571,"N/A"
"Gates County",37073,0.7,82,"3021 of 3141"
"Graham County",37075,1.1,98,"2885 of 3141"
"Bertie County",37015,2.1,415,"2339 of 3141"
"Northampton County",37131,2.1,433,"2315 of 3141"
"Madison County",37115,2.5,532,"2123 of 3141"
"Perquimans County",37143,2.5,340,"2112 of 3141"
"Camden County",37029,2.7,278,"2034 of 3141"
"Halifax County",37083,2.7,1435,"1996 of 3141"
"Stokes County",37169,2.8,1296,"1961 of 3141"
"Scotland County",37165,2.8,1004,"1950 of 3141"
"Cherokee County",37039,3.0,813,"1895 of 3141"
"Transylvania County",37175,3.2,1060,"1808 of 3141"
"Clay County",37043,3.3,351,"1772 of 3141"
"Cleveland County",37045,3.3,3216,"1751 of 3141"
"Watauga County",37189,3.4,1829,"1723 of 3141"
"Pamlico County",37137,3.6,462,"1669 of 3141"
"Chowan County",37041,3.6,521,"1666 of 3141"
"Currituck County",37053,3.6,919,"1663 of 3141"
"Hertford County",37091,3.7,889,"1652 of 3141"
"Martin County",37117,3.7,865,"1632 of 3141"
"Haywood County",37087,3.7,2238,"1630 of 3141"
"Caswell County",37033,3.8,857,"1627 of 3141"
"Anson County",37007,3.8,962,"1623 of 3141"
"Warren County",37185,3.8,765,"1619 of 3141"
"Stanly County",37167,4.0,2440,"1561 of 3141"
"Rutherford County",37161,4.1,2739,"1529 of 3141"
"Person County",37145,4.1,1627,"1521 of 3141"
"Carteret County",37031,4.2,2896,"1498 of 3141"
"Edgecombe County",37065,4.3,2338,"1469 of 3141"
"Jones County",37103,4.5,439,"1429 of 3141"
"Alexander County",37003,4.6,1712,"1401 of 3141"
"Brunswick County",37019,4.7,5816,"1372 of 3141"
"Pasquotank County",37139,4.9,1925,"1346 of 3141"
"Swain County",37173,4.9,701,"1333 of 3141"
"Yancey County",37199,4.9,871,"1331 of 3141"
"Washington County",37187,5.0,614,"1324 of 3141"
"Mitchell County",37121,5.0,757,"1317 of 3141"
"Caldwell County",37027,5.1,4162,"1299 of 3141"
"Avery County",37011,5.1,895,"1295 of 3141"
"Columbus County",37047,5.1,2890,"1294 of 3141"
"Ashe County",37009,5.2,1387,"1280 of 3141"
"New Hanover County",37129,5.4,11879,"1239 of 3141"
"Jackson County",37099,5.5,2291,"1222 of 3141"
"Polk County",37149,5.8,1182,"1164 of 3141"
"Burke County",37023,5.9,5223,"1144 of 3141"
"Rockingham County",37157,6.0,5455,"1137 of 3141"
"McDowell County",37111,6.0,2716,"1122 of 3141"
"Pitt County",37147,6.0,10671,"1118 of 3141"
"Wilkes County",37193,6.1,4195,"1105 of 3141"
"Richmond County",37153,6.2,2838,"1090 of 3141"
"Moore County",37125,6.4,6040,"1072 of 3141"
"Buncombe County",37021,6.4,16254,"1064 of 3141"
"Davie County",37059,6.5,2727,"1053 of 3141"
"Gaston County",37071,6.6,14175,"1042 of 3141"
"Nash County",37127,6.7,6311,"1030 of 3141"
"Pender County",37141,6.8,3895,"1023 of 3141"
"Macon County",37113,6.8,2328,"1015 of 3141"
"Davidson County",37057,6.9,11280,"1005 of 3141"
"Lincoln County",37109,7.0,5659,"994 of 3141"
"Dare County",37055,7.1,2521,"986 of 3141"
"Craven County",37049,7.1,7366,"985 of 3141"
"Vance County",37181,7.3,3249,"961 of 3141"
"Iredell County",37097,7.4,12496,"956 of 3141"
"Lenoir County",37107,7.5,4364,"934 of 3141"
"Bladen County",37017,7.5,2576,"932 of 3141"
"Beaufort County",37013,7.6,3575,"931 of 3141"
"Tyrrell County",37177,7.6,310,"928 of 3141"
"Granville County",37077,7.6,4451,"923 of 3141"
"Guilford County",37081,7.7,39987,"912 of 3141"
"Franklin County",37069,8.1,5164,"889 of 3141"
"Rowan County",37159,8.3,11553,"869 of 3141"
"Orange County",37135,8.3,11811,"867 of 3141"
"Hyde County",37095,8.4,462,"862 of 3141"
"Robeson County",37155,8.5,11438,"849 of 3141"
"Catawba County",37035,9.3,14564,"781 of 3141"
"Alleghany County",37005,9.4,1033,"776 of 3141"
"Henderson County",37089,9.9,11156,"738 of 3141"
"Cabarrus County",37025,10.0,19669,"734 of 3141"
"Wake County",37183,10.0,102537,"732 of 3141"
"Wilson County",37195,10.1,8196,"721 of 3141"
"Surry County",37171,10.2,7354,"716 of 3141"
"Yadkin County",37197,10.9,4132,"679 of 3141"
"Union County",37179,10.9,24278,"678 of 3141"
"Randolph County",37151,11.1,15796,"673 of 3141"
"Cumberland County",37051,11.2,37331,"661 of 3141"
"Wayne County",37191,11.3,14009,"659 of 3141"
"Onslow County",37133,12.2,23474,"615 of 3141"
"Harnett County",37085,12.3,15796,"608 of 3141"
"Alamance County",37001,12.3,19453,"605 of 3141"
"Chatham County",37037,12.6,8583,"596 of 3141"
"Forsyth County",37067,12.6,46309,"593 of 3141"
"Hoke County",37093,12.8,6745,"581 of 3141"
"Mecklenburg County",37119,12.9,132949,"580 of 3141"
"Johnston County",37101,13.3,24829,"566 of 3141"
"Durham County",37063,13.5,40484,"562 of 3141"
"Greene County",37079,14.9,3134,"519 of 3141"
"Montgomery County",37123,15.4,4217,"501 of 3141"
"Sampson County",37163,18.9,12013,"408 of 3141"
"Lee County",37105,19.3,11539,"394 of 3141"
"Duplin County",37061,21.7,12901,"345 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:19 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Hispanic, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
