------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=37&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '37', 'areatype': 'county', 'topic': 'work', 'demo': '00012', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_031.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=37&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for North Carolina by County
Workforce: Unemployed
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Unemployed),Rank within US
"United States",00000,6.6,10560305,"N/A"
"North Carolina",37000,7.2,352287,"36 of 52"
"Henderson County",37089,3.5,1845,"471 of 3141"
"Mitchell County",37121,4.7,306,"911 of 3141"
"Buncombe County",37021,4.7,6129,"932 of 3141"
"Currituck County",37053,4.8,607,"940 of 3141"
"Jackson County",37099,4.8,922,"980 of 3141"
"Macon County",37113,4.9,700,"1000 of 3141"
"Wake County",37183,4.9,27720,"1003 of 3141"
"Haywood County",37087,5.1,1372,"1091 of 3141"
"Surry County",37171,5.1,1638,"1102 of 3141"
"Dare County",37055,5.2,1010,"1143 of 3141"
"Orange County",37135,5.2,3988,"1154 of 3141"
"Avery County",37011,5.5,396,"1297 of 3141"
"Chatham County",37037,5.6,1836,"1342 of 3141"
"Alleghany County",37005,5.7,268,"1371 of 3141"
"Durham County",37063,5.8,9505,"1440 of 3141"
"Yadkin County",37197,5.9,984,"1485 of 3141"
"Montgomery County",37123,5.9,660,"1487 of 3141"
"Alamance County",37001,6.0,4702,"1538 of 3141"
"Randolph County",37151,6.1,4137,"1571 of 3141"
"Union County",37179,6.1,6905,"1580 of 3141"
"Ashe County",37009,6.3,812,"1673 of 3141"
"Polk County",37149,6.3,582,"1681 of 3141"
"Moore County",37125,6.3,2598,"1695 of 3141"
"Davie County",37059,6.5,1333,"1806 of 3141"
"Johnston County",37101,6.5,5984,"1812 of 3141"
"Granville County",37077,6.6,1798,"1844 of 3141"
"Guilford County",37081,6.6,17385,"1874 of 3141"
"Alexander County",37003,6.7,1179,"1918 of 3141"
"Mecklenburg County",37119,6.8,39034,"1949 of 3141"
"Transylvania County",37175,6.8,973,"1964 of 3141"
"Cabarrus County",37025,6.8,7015,"1971 of 3141"
"Madison County",37115,6.9,699,"2001 of 3141"
"Forsyth County",37067,6.9,12523,"2029 of 3141"
"Columbus County",37047,7.0,1537,"2046 of 3141"
"New Hanover County",37129,7.0,8064,"2051 of 3141"
"Pasquotank County",37139,7.0,1227,"2052 of 3141"
"Stokes County",37169,7.0,1552,"2054 of 3141"
"Clay County",37043,7.1,328,"2091 of 3141"
"Iredell County",37097,7.2,6253,"2109 of 3141"
"Rockingham County",37157,7.2,3071,"2128 of 3141"
"Franklin County",37069,7.3,2210,"2136 of 3141"
"Lee County",37105,7.4,2145,"2174 of 3141"
"Catawba County",37035,7.4,5787,"2195 of 3141"
"Swain County",37173,7.4,447,"2199 of 3141"
"McDowell County",37111,7.4,1458,"2200 of 3141"
"Wilkes County",37193,7.5,2287,"2236 of 3141"
"Cherokee County",37039,7.7,827,"2314 of 3141"
"Brunswick County",37019,7.8,4118,"2341 of 3141"
"Bladen County",37017,7.9,1134,"2386 of 3141"
"Lincoln County",37109,7.9,3183,"2393 of 3141"
"Caldwell County",37027,7.9,3013,"2400 of 3141"
"Nash County",37127,7.9,3658,"2404 of 3141"
"Stanly County",37167,8.0,2392,"2405 of 3141"
"Carteret County",37031,8.0,2604,"2412 of 3141"
"Wilson County",37195,8.1,3084,"2442 of 3141"
"Pamlico County",37137,8.1,441,"2449 of 3141"
"Watauga County",37189,8.1,2168,"2456 of 3141"
"Warren County",37185,8.1,650,"2461 of 3141"
"Craven County",37049,8.1,3573,"2466 of 3141"
"Davidson County",37057,8.2,6559,"2488 of 3141"
"Gaston County",37071,8.3,8678,"2503 of 3141"
"Pender County",37141,8.3,2241,"2515 of 3141"
"Graham County",37075,8.3,274,"2518 of 3141"
"Yancey County",37199,8.3,638,"2530 of 3141"
"Perquimans County",37143,8.4,475,"2534 of 3141"
"Caswell County",37033,8.4,876,"2547 of 3141"
"Tyrrell County",37177,8.5,144,"2560 of 3141"
"Rutherford County",37161,8.7,2472,"2601 of 3141"
"Gates County",37073,8.8,482,"2622 of 3141"
"Camden County",37029,8.9,442,"2648 of 3141"
"Beaufort County",37013,9.0,1894,"2678 of 3141"
"Rowan County",37159,9.2,6031,"2710 of 3141"
"Harnett County",37085,9.3,5035,"2725 of 3141"
"Duplin County",37061,9.3,2537,"2735 of 3141"
"Burke County",37023,9.3,3830,"2740 of 3141"
"Greene County",37079,9.4,843,"2751 of 3141"
"Sampson County",37163,9.5,2806,"2763 of 3141"
