------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=37&areatype=county&topic=ed&demo=00006&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '37', 'areatype': 'county', 'topic': 'ed', 'demo': '00006', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_003.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=37&areatype=county&topic=ed&demo=00006&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for North Carolina by County
Education: At least bachelors degree
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Education: At Least Bachelors Degree),Rank within US
"North Carolina",37000,29.9,2025716,"26 of 52"
"United States",00000,30.9,66887603,"N/A"
"Hyde County",37095,7.2,286,"3131 of 3141"
"Tyrrell County",37177,7.6,245,"3126 of 3141"
"Washington County",37187,9.1,778,"3077 of 3141"
"Anson County",37007,9.2,1669,"3074 of 3141"
"Greene County",37079,9.8,1449,"3044 of 3141"
"Duplin County",37061,10.8,4283,"2978 of 3141"
"Edgecombe County",37065,11.6,4264,"2882 of 3141"
"Yadkin County",37197,12.0,3194,"2833 of 3141"
"Vance County",37181,12.1,3592,"2824 of 3141"
"Bertie County",37015,12.3,1802,"2789 of 3141"
"Sampson County",37163,12.5,5296,"2760 of 3141"
"Columbus County",37047,12.5,4925,"2741 of 3141"
"Robeson County",37155,12.8,10963,"2697 of 3141"
"Northampton County",37131,12.8,1930,"2696 of 3141"
"Lenoir County",37107,13.5,5405,"2588 of 3141"
"Caswell County",37033,13.7,2272,"2554 of 3141"
"Alexander County",37003,13.9,3685,"2516 of 3141"
"Stokes County",37169,13.9,4686,"2506 of 3141"
"Halifax County",37083,14.0,5105,"2496 of 3141"
"Montgomery County",37123,14.0,2650,"2489 of 3141"
"Graham County",37075,14.2,857,"2467 of 3141"
"Jones County",37103,14.2,1023,"2466 of 3141"
"Richmond County",37153,14.3,4357,"2452 of 3141"
"Bladen County",37017,14.5,3530,"2391 of 3141"
"Rockingham County",37157,14.7,9621,"2361 of 3141"
"Caldwell County",37027,14.8,8681,"2340 of 3141"
"Swain County",37173,15.0,1477,"2299 of 3141"
"Person County",37145,15.3,4222,"2258 of 3141"
"Hertford County",37091,15.3,2581,"2253 of 3141"
"Randolph County",37151,15.3,15018,"2247 of 3141"
"Wilkes County",37193,15.4,7521,"2232 of 3141"
"Gates County",37073,15.7,1301,"2178 of 3141"
"Warren County",37185,15.8,2280,"2164 of 3141"
"Martin County",37117,15.8,2633,"2145 of 3141"
"Scotland County",37165,15.9,3742,"2142 of 3141"
"McDowell County",37111,15.9,5132,"2133 of 3141"
"Surry County",37171,16.5,8367,"2023 of 3141"
"Stanly County",37167,16.5,6996,"2017 of 3141"
"Cleveland County",37045,16.5,10968,"2016 of 3141"
"Burke County",37023,16.7,10609,"1993 of 3141"
"Rutherford County",37161,17.3,8196,"1892 of 3141"
"Davidson County",37057,18.1,20666,"1754 of 3141"
"Mitchell County",37121,18.1,2027,"1748 of 3141"
"Camden County",37029,18.1,1291,"1743 of 3141"
"Hoke County",37093,18.3,6094,"1705 of 3141"
"Rowan County",37159,18.4,17453,"1693 of 3141"
"Alleghany County",37005,18.7,1510,"1628 of 3141"
"Wilson County",37195,18.8,10334,"1614 of 3141"
"Chowan County",37041,19.0,1989,"1584 of 3141"
"Cherokee County",37039,19.2,4012,"1542 of 3141"
"Pamlico County",37137,19.4,1904,"1509 of 3141"
"Ashe County",37009,19.5,3944,"1480 of 3141"
"Beaufort County",37013,19.6,6639,"1465 of 3141"
"Perquimans County",37143,19.7,1987,"1455 of 3141"
"Wayne County",37191,19.7,16211,"1453 of 3141"
"Yancey County",37199,19.7,2571,"1450 of 3141"
"Onslow County",37133,20.2,20542,"1362 of 3141"
"Avery County",37011,20.2,2677,"1358 of 3141"
"Lincoln County",37109,20.2,11517,"1357 of 3141"
"Nash County",37127,20.3,13098,"1345 of 3141"
"Harnett County",37085,20.3,16696,"1339 of 3141"
"Pasquotank County",37139,20.4,5409,"1333 of 3141"
"Gaston County",37071,20.5,30064,"1319 of 3141"
"Granville County",37077,21.0,8576,"1234 of 3141"
"Franklin County",37069,21.0,9212,"1225 of 3141"
"Lee County",37105,21.2,8426,"1201 of 3141"
"Catawba County",37035,21.5,23065,"1176 of 3141"
"Johnston County",37101,21.7,26568,"1151 of 3141"
"Macon County",37113,22.2,5682,"1082 of 3141"
"Alamance County",37001,22.9,24339,"994 of 3141"
