------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=37&areatype=county&topic=pop&demo=00102&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '37', 'areatype': 'county', 'topic': 'pop', 'demo': '00102', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_014.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=37&areatype=county&topic=pop&demo=00102&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for North Carolina by County
Population: Age 18-39
"Age N/A, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 18-39),Rank within US
"North Carolina",37000,29.2,2930339,"24 of 52"
"United States",00000,29.8,95565066,"N/A"
"Polk County",37149,18.3,3747,"87 of 3141"
"Cherokee County",37039,18.8,5168,"110 of 3141"
"Clay County",37043,19.1,2054,"125 of 3141"
"Brunswick County",37019,19.9,24411,"178 of 3141"
"Alleghany County",37005,20.0,2190,"185 of 3141"
"Chatham County",37037,20.9,14311,"292 of 3141"
"Perquimans County",37143,21.2,2863,"320 of 3141"
"Northampton County",37131,21.6,4407,"367 of 3141"
"Davie County",37059,21.6,9025,"372 of 3141"
"Henderson County",37089,21.9,24605,"427 of 3141"
"Transylvania County",37175,22.0,7320,"436 of 3141"
"Haywood County",37087,22.2,13262,"471 of 3141"
"Ashe County",37009,22.3,5987,"507 of 3141"
"Yancey County",37199,22.4,3935,"516 of 3141"
"Beaufort County",37013,22.4,10607,"534 of 3141"
"Macon County",37113,22.5,7684,"554 of 3141"
"Carteret County",37031,22.5,15480,"564 of 3141"
"Yadkin County",37197,22.7,8582,"597 of 3141"
"Gates County",37073,23.0,2668,"690 of 3141"
"Mitchell County",37121,23.0,3486,"694 of 3141"
"Warren County",37185,23.2,4675,"736 of 3141"
"Rutherford County",37161,23.2,15412,"740 of 3141"
"Jones County",37103,23.2,2269,"751 of 3141"
"Stokes County",37169,23.3,10727,"765 of 3141"
"Dare County",37055,23.4,8275,"785 of 3141"
"Martin County",37117,23.4,5430,"789 of 3141"
"Moore County",37125,23.4,22048,"795 of 3141"
"Pamlico County",37137,23.4,2998,"798 of 3141"
"Surry County",37171,23.5,16965,"809 of 3141"
"Person County",37145,23.5,9219,"820 of 3141"
