------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=37&areatype=county&topic=pov&demo=00007&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '37', 'areatype': 'county', 'topic': 'pov', 'demo': '00007', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_028.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=37&areatype=county&topic=pov&demo=00007&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for North Carolina by County
Poverty: Families below poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Families (Below Poverty),Rank within US
"United States",00000,10.5,8253388,"N/A"
"North Carolina",37000,11.8,300339,"37 of 52"
"Currituck County",37053,5.5,400,"328 of 3141"
"Orange County",37135,5.7,1814,"351 of 3141"
"Dare County",37055,6.1,623,"447 of 3141"
"Camden County",37029,6.8,211,"578 of 3141"
"Union County",37179,6.9,4037,"590 of 3141"
"Wake County",37183,6.9,17590,"602 of 3141"
"Henderson County",37089,7.9,2455,"869 of 3141"
"Cabarrus County",37025,8.1,4180,"907 of 3141"
"Buncombe County",37021,8.1,4961,"912 of 3141"
"Moore County",37125,8.4,2093,"988 of 3141"
"Polk County",37149,8.5,481,"1014 of 3141"
"Pamlico County",37137,9.0,334,"1153 of 3141"
"Gates County",37073,9.2,287,"1187 of 3141"
"Carteret County",37031,9.4,1811,"1241 of 3141"
"Iredell County",37097,9.9,4516,"1378 of 3141"
"Mecklenburg County",37119,9.9,24279,"1394 of 3141"
"Davie County",37059,9.9,1128,"1397 of 3141"
"Chatham County",37037,10.0,1934,"1400 of 3141"
"Mitchell County",37121,10.0,413,"1409 of 3141"
"Brunswick County",37019,10.2,3720,"1454 of 3141"
"Catawba County",37035,10.3,4257,"1489 of 3141"
"Craven County",37049,10.3,2841,"1491 of 3141"
"Granville County",37077,10.4,1544,"1505 of 3141"
"Johnston County",37101,10.7,5206,"1593 of 3141"
"Clay County",37043,10.7,357,"1596 of 3141"
"Pender County",37141,10.8,1500,"1609 of 3141"
"Nash County",37127,10.8,2637,"1623 of 3141"
"Watauga County",37189,10.9,1194,"1649 of 3141"
"New Hanover County",37129,10.9,5738,"1652 of 3141"
"Avery County",37011,11.0,491,"1674 of 3141"
"Cherokee County",37039,11.1,835,"1683 of 3141"
"Stanly County",37167,11.2,1873,"1708 of 3141"
"Madison County",37115,11.2,616,"1713 of 3141"
"Lincoln County",37109,11.3,2589,"1739 of 3141"
"Stokes County",37169,11.3,1517,"1753 of 3141"
"Onslow County",37133,11.4,5119,"1757 of 3141"
"Transylvania County",37175,11.4,1103,"1759 of 3141"
"Alexander County",37003,11.5,1114,"1785 of 3141"
"Durham County",37063,12.0,8389,"1884 of 3141"
"Randolph County",37151,12.0,4615,"1885 of 3141"
"Davidson County",37057,12.2,5530,"1940 of 3141"
"Surry County",37171,12.4,2509,"1981 of 3141"
"Rowan County",37159,12.5,4447,"1986 of 3141"
"Caldwell County",37027,12.5,2786,"1991 of 3141"
"Guilford County",37081,12.5,15817,"1993 of 3141"
