------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=37&areatype=county&topic=pop&demo=00024&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '37', 'areatype': 'county', 'topic': 'pop', 'demo': '00024', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_020.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=37&areatype=county&topic=pop&demo=00024&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for North Carolina by County
Population: Asian / Pacific Islander
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (API),Rank within US
"North Carolina",37000,2.7,275557,"26 of 52"
"United States",00000,5.5,17756436,"N/A"
"Clay County",37043,0.0,0,"2927 of 3141"
"Hyde County",37095,0.0,0,"2927 of 3141"
"Bladen County",37017,0.0,2,"2925 of 3141"
"Graham County",37075,0.0,2,"2908 of 3141"
"Greene County",37079,0.1,14,"2843 of 3141"
"Edgecombe County",37065,0.1,62,"2746 of 3141"
"Yadkin County",37197,0.2,61,"2664 of 3141"
"Washington County",37187,0.2,20,"2662 of 3141"
"Jones County",37103,0.2,18,"2612 of 3141"
"Chowan County",37041,0.2,27,"2607 of 3141"
"Person County",37145,0.2,78,"2580 of 3141"
"Mitchell County",37121,0.2,32,"2558 of 3141"
"Alleghany County",37005,0.2,24,"2542 of 3141"
"Beaufort County",37013,0.3,137,"2408 of 3141"
"Northampton County",37131,0.3,64,"2356 of 3141"
"Yancey County",37199,0.4,63,"2263 of 3141"
"Duplin County",37061,0.4,228,"2193 of 3141"
"Tyrrell County",37177,0.4,16,"2171 of 3141"
"Swain County",37173,0.4,57,"2144 of 3141"
"Granville County",37077,0.4,249,"2083 of 3141"
"Stokes County",37169,0.4,198,"2068 of 3141"
"Gates County",37073,0.4,50,"2063 of 3141"
"Perquimans County",37143,0.4,60,"2030 of 3141"
"Columbus County",37047,0.5,255,"2008 of 3141"
"Ashe County",37009,0.5,123,"1990 of 3141"
"Polk County",37149,0.5,94,"1988 of 3141"
"Currituck County",37053,0.5,118,"1973 of 3141"
"Rutherford County",37161,0.5,318,"1938 of 3141"
"Warren County",37185,0.5,109,"1780 of 3141"
"Pender County",37141,0.6,319,"1752 of 3141"
"Sampson County",37163,0.6,359,"1736 of 3141"
"Vance County",37181,0.6,254,"1720 of 3141"
"Bertie County",37015,0.6,114,"1718 of 3141"
"Madison County",37115,0.6,123,"1711 of 3141"
"Lincoln County",37109,0.6,473,"1690 of 3141"
"Dare County",37055,0.6,213,"1666 of 3141"
"Franklin County",37069,0.6,385,"1662 of 3141"
"Rockingham County",37157,0.6,559,"1646 of 3141"
"Haywood County",37087,0.6,368,"1633 of 3141"
"Avery County",37011,0.6,108,"1630 of 3141"
"Lenoir County",37107,0.6,357,"1626 of 3141"
"Wilkes County",37193,0.6,429,"1608 of 3141"
"Caldwell County",37027,0.7,534,"1555 of 3141"
"Surry County",37171,0.7,480,"1536 of 3141"
"Johnston County",37101,0.7,1237,"1535 of 3141"
"Robeson County",37155,0.7,952,"1442 of 3141"
"Cherokee County",37039,0.7,195,"1441 of 3141"
"Transylvania County",37175,0.7,244,"1395 of 3141"
"Davie County",37059,0.7,307,"1388 of 3141"
"Brunswick County",37019,0.7,902,"1383 of 3141"
"Caswell County",37033,0.7,169,"1377 of 3141"
"Scotland County",37165,0.7,263,"1374 of 3141"
"Macon County",37113,0.8,257,"1361 of 3141"
"McDowell County",37111,0.8,340,"1358 of 3141"
"Wilson County",37195,0.8,635,"1328 of 3141"
"Hertford County",37091,0.8,202,"1260 of 3141"
"Halifax County",37083,0.9,471,"1175 of 3141"
"Rowan County",37159,0.9,1275,"1159 of 3141"
"Pamlico County",37137,0.9,119,"1145 of 3141"
"Watauga County",37189,1.0,509,"1124 of 3141"
"Cleveland County",37045,1.0,939,"1105 of 3141"
"Nash County",37127,1.0,931,"1088 of 3141"
"Jackson County",37099,1.0,414,"1085 of 3141"
"Richmond County",37153,1.0,468,"1042 of 3141"
"Lee County",37105,1.1,644,"998 of 3141"
"Randolph County",37151,1.1,1630,"947 of 3141"
"Carteret County",37031,1.2,805,"921 of 3141"
"Wayne County",37191,1.2,1507,"890 of 3141"
"Moore County",37125,1.2,1142,"886 of 3141"
"Alexander County",37003,1.2,456,"873 of 3141"
"Anson County",37007,1.2,315,"867 of 3141"
"Henderson County",37089,1.2,1387,"864 of 3141"
"Harnett County",37085,1.3,1624,"844 of 3141"
"Buncombe County",37021,1.3,3403,"800 of 3141"
"New Hanover County",37129,1.4,3055,"778 of 3141"
"Martin County",37117,1.4,324,"770 of 3141"
"Hoke County",37093,1.5,767,"735 of 3141"
"Davidson County",37057,1.5,2458,"712 of 3141"
"Chatham County",37037,1.5,1031,"707 of 3141"
"Montgomery County",37123,1.5,422,"695 of 3141"
"Gaston County",37071,1.5,3308,"688 of 3141"
"Alamance County",37001,1.5,2445,"687 of 3141"
"Pitt County",37147,1.8,3117,"606 of 3141"
"Camden County",37029,1.9,198,"569 of 3141"
"Stanly County",37167,1.9,1176,"558 of 3141"
"Pasquotank County",37139,2.0,788,"538 of 3141"
"Forsyth County",37067,2.3,8433,"465 of 3141"
"Iredell County",37097,2.3,3980,"455 of 3141"
"Onslow County",37133,2.4,4594,"448 of 3141"
"Union County",37179,2.5,5497,"431 of 3141"
"Cumberland County",37051,2.8,9181,"369 of 3141"
"Craven County",37049,2.9,2966,"353 of 3141"
"Cabarrus County",37025,3.1,6134,"311 of 3141"
"Burke County",37023,3.8,3355,"245 of 3141"
"Catawba County",37035,4.1,6419,"217 of 3141"
"Durham County",37063,4.8,14448,"173 of 3141"
"Guilford County",37081,4.9,25107,"171 of 3141"
"Mecklenburg County",37119,5.6,57528,"136 of 3141"
"Wake County",37183,6.5,66623,"97 of 3141"
"Orange County",37135,7.7,10907,"72 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:19 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Asian / Pacific Islander, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
