------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=37&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '37', 'areatype': 'county', 'topic': 'ed', 'demo': '00004', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_001.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=37&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for North Carolina by County
Education: Less than 9th grade
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Education: Less Than 9th Grade),Rank within US
"North Carolina",37000,4.9,333408,"35 of 52"
"United States",00000,5.4,11759554,"N/A"
"Onslow County",37133,2.6,2620,"616 of 3141"
"New Hanover County",37129,2.6,3859,"617 of 3141"
"Pamlico County",37137,2.7,269,"721 of 3141"
"Carteret County",37031,2.9,1475,"808 of 3141"
"Haywood County",37087,2.9,1312,"845 of 3141"
"Buncombe County",37021,3.0,5468,"878 of 3141"
"Currituck County",37053,3.0,540,"914 of 3141"
"Cumberland County",37051,3.1,6290,"946 of 3141"
"Dare County",37055,3.2,854,"1032 of 3141"
"Moore County",37125,3.3,2234,"1053 of 3141"
"Brunswick County",37019,3.4,3253,"1130 of 3141"
"Clay County",37043,3.5,285,"1159 of 3141"
"Wake County",37183,3.5,23553,"1164 of 3141"
"Henderson County",37089,3.6,2953,"1212 of 3141"
"Pitt County",37147,3.7,3888,"1278 of 3141"
"Orange County",37135,3.8,3297,"1324 of 3141"
"Cabarrus County",37025,3.8,4927,"1349 of 3141"
"Union County",37179,3.8,5398,"1367 of 3141"
"Gates County",37073,3.9,320,"1378 of 3141"
"Davie County",37059,3.9,1154,"1382 of 3141"
"Stanly County",37167,4.0,1676,"1419 of 3141"
"Transylvania County",37175,4.1,1013,"1457 of 3141"
"Iredell County",37097,4.1,4782,"1502 of 3141"
"Guilford County",37081,4.2,14333,"1514 of 3141"
"Polk County",37149,4.3,668,"1550 of 3141"
"Watauga County",37189,4.3,1294,"1560 of 3141"
"Macon County",37113,4.3,1103,"1579 of 3141"
"Chowan County",37041,4.3,455,"1594 of 3141"
"Pender County",37141,4.3,1757,"1595 of 3141"
"Jackson County",37099,4.4,1182,"1630 of 3141"
"Harnett County",37085,4.5,3685,"1658 of 3141"
"Forsyth County",37067,4.5,11108,"1675 of 3141"
"Mecklenburg County",37119,4.6,31611,"1715 of 3141"
"Beaufort County",37013,4.8,1626,"1798 of 3141"
"Craven County",37049,4.8,3242,"1805 of 3141"
"Pasquotank County",37139,4.8,1288,"1815 of 3141"
"Nash County",37127,4.9,3134,"1818 of 3141"
"Stokes County",37169,5.0,1673,"1860 of 3141"
"Person County",37145,5.0,1385,"1864 of 3141"
"Lincoln County",37109,5.1,2880,"1874 of 3141"
"Anson County",37007,5.1,921,"1879 of 3141"
"Rutherford County",37161,5.2,2478,"1931 of 3141"
"Chatham County",37037,5.3,2636,"1951 of 3141"
"Cleveland County",37045,5.3,3514,"1959 of 3141"
"Gaston County",37071,5.3,7784,"1961 of 3141"
