------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=37&areatype=county&topic=pop&demo=00014&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '37', 'areatype': 'county', 'topic': 'pop', 'demo': '00014', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_022.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=37&areatype=county&topic=pop&demo=00014&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for North Carolina by County
Population: Foreign born
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Foreign Born),Rank within US
"North Carolina",37000,7.8,787971,"24 of 51"
"United States",00000,13.4,43028127,"N/A"
"Graham County",37075,0.8,73,"2757 of 3140"
"Gates County",37073,1.1,125,"2586 of 3140"
"Bertie County",37015,1.2,240,"2475 of 3140"
"Northampton County",37131,1.5,297,"2283 of 3140"
"Stokes County",37169,1.8,821,"2044 of 3140"
"Halifax County",37083,1.9,998,"1977 of 3140"
"Swain County",37173,1.9,277,"1954 of 3140"
"Edgecombe County",37065,2.1,1133,"1868 of 3140"
"Scotland County",37165,2.2,763,"1838 of 3140"
"Martin County",37117,2.2,512,"1807 of 3140"
"Madison County",37115,2.3,483,"1773 of 3140"
"Washington County",37187,2.4,302,"1698 of 3140"
"Pamlico County",37137,2.5,315,"1692 of 3140"
"Person County",37145,2.5,968,"1688 of 3140"
"Haywood County",37087,2.5,1484,"1679 of 3140"
"Perquimans County",37143,2.5,338,"1670 of 3140"
"Currituck County",37053,2.6,644,"1648 of 3140"
"Cherokee County",37039,2.6,709,"1628 of 3140"
"Caswell County",37033,2.6,593,"1621 of 3140"
"Cleveland County",37045,2.7,2574,"1594 of 3140"
"Rutherford County",37161,2.7,1768,"1591 of 3140"
"Mitchell County",37121,2.8,417,"1535 of 3140"
"Watauga County",37189,2.8,1511,"1501 of 3140"
"Jones County",37103,2.9,285,"1465 of 3140"
"Chowan County",37041,3.0,428,"1431 of 3140"
"Stanly County",37167,3.0,1843,"1409 of 3140"
"Columbus County",37047,3.2,1783,"1374 of 3140"
"Jackson County",37099,3.2,1320,"1362 of 3140"
"Yancey County",37199,3.2,557,"1360 of 3140"
"Camden County",37029,3.2,332,"1349 of 3140"
"Clay County",37043,3.2,349,"1337 of 3140"
"Warren County",37185,3.3,664,"1320 of 3140"
"Anson County",37007,3.4,864,"1296 of 3140"
"Caldwell County",37027,3.5,2826,"1273 of 3140"
"Rockingham County",37157,3.5,3164,"1272 of 3140"
"Hertford County",37091,3.5,844,"1264 of 3140"
"Carteret County",37031,3.5,2420,"1251 of 3140"
"Alexander County",37003,3.5,1313,"1250 of 3140"
"Beaufort County",37013,3.6,1680,"1245 of 3140"
"Polk County",37149,3.8,783,"1169 of 3140"
"Richmond County",37153,3.9,1753,"1164 of 3140"
"Vance County",37181,3.9,1719,"1158 of 3140"
"Ashe County",37009,4.0,1060,"1137 of 3140"
"Pasquotank County",37139,4.0,1565,"1134 of 3140"
"Onslow County",37133,4.0,7699,"1118 of 3140"
"Avery County",37011,4.0,701,"1117 of 3140"
"McDowell County",37111,4.0,1818,"1103 of 3140"
"Transylvania County",37175,4.1,1365,"1087 of 3140"
"Brunswick County",37019,4.2,5098,"1078 of 3140"
"Granville County",37077,4.2,2435,"1077 of 3140"
"Pender County",37141,4.2,2415,"1064 of 3140"
"Nash County",37127,4.3,4011,"1047 of 3140"
"Wilkes County",37193,4.3,2921,"1046 of 3140"
"Burke County",37023,4.3,3813,"1041 of 3140"
"Davie County",37059,4.4,1843,"1021 of 3140"
"Bladen County",37017,4.5,1521,"1018 of 3140"
"Rowan County",37159,4.5,6206,"1016 of 3140"
"Moore County",37125,4.5,4236,"1009 of 3140"
"Hyde County",37095,4.5,249,"1003 of 3140"
"Tyrrell County",37177,4.6,187,"992 of 3140"
"Robeson County",37155,4.6,6144,"991 of 3140"
"Lincoln County",37109,4.7,3754,"974 of 3140"
"Lenoir County",37107,4.7,2733,"965 of 3140"
"Pitt County",37147,4.7,8331,"964 of 3140"
"Davidson County",37057,4.8,7851,"956 of 3140"
"Craven County",37049,4.8,4962,"950 of 3140"
"Macon County",37113,4.8,1646,"946 of 3140"
"Yadkin County",37197,5.0,1878,"925 of 3140"
"New Hanover County",37129,5.0,11012,"917 of 3140"
"Dare County",37055,5.1,1791,"907 of 3140"
"Surry County",37171,5.2,3784,"883 of 3140"
"Gaston County",37071,5.4,11627,"845 of 3140"
"Franklin County",37069,5.6,3576,"807 of 3140"
"Alleghany County",37005,5.7,624,"787 of 3140"
"Harnett County",37085,5.8,7458,"775 of 3140"
"Buncombe County",37021,5.9,14824,"758 of 3140"
"Cumberland County",37051,6.0,19974,"745 of 3140"
"Iredell County",37097,6.3,10646,"707 of 3140"
"Hoke County",37093,6.3,3334,"698 of 3140"
"Randolph County",37151,6.4,9140,"688 of 3140"
"Wilson County",37195,6.7,5433,"652 of 3140"
"Catawba County",37035,7.0,11004,"603 of 3140"
"Henderson County",37089,7.3,8156,"574 of 3140"
"Wayne County",37191,7.3,9112,"569 of 3140"
"Greene County",37079,7.4,1565,"561 of 3140"
"Johnston County",37101,7.7,14261,"536 of 3140"
"Cabarrus County",37025,8.0,15794,"504 of 3140"
"Alamance County",37001,8.2,12875,"492 of 3140"
"Montgomery County",37123,8.6,2360,"454 of 3140"
"Chatham County",37037,8.6,5902,"449 of 3140"
"Forsyth County",37067,8.6,31856,"447 of 3140"
"Union County",37179,8.8,19501,"434 of 3140"
"Sampson County",37163,9.7,6165,"372 of 3140"
"Guilford County",37081,10.2,52788,"340 of 3140"
"Lee County",37105,10.7,6411,"306 of 3140"
"Duplin County",37061,12.0,7141,"255 of 3140"
"Orange County",37135,12.8,18179,"230 of 3140"
"Wake County",37183,13.3,136286,"213 of 3140"
"Durham County",37063,13.9,41850,"203 of 3140"
"Mecklenburg County",37119,15.0,154828,"189 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:19 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Foreign born, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
