------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=37&areatype=county&topic=mob&demo=00019&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '37', 'areatype': 'county', 'topic': 'mob', 'demo': '00019', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_010.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=37&areatype=county&topic=mob&demo=00019&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for North Carolina by County
"Mobility: Moved, different county this state (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved From Different County In Same State),Rank within US
"United States",00000,3.2,10247779,"N/A"
"North Carolina",37000,3.6,355961,"35 of 51"
"Alleghany County",37005,0.7,71,"20 of 3140"
"Graham County",37075,0.7,62,"23 of 3140"
"Gates County",37073,0.8,97,"30 of 3140"
"Cherokee County",37039,1.2,340,"85 of 3140"
"Washington County",37187,1.3,155,"90 of 3140"
"Macon County",37113,1.3,446,"102 of 3140"
"Clay County",37043,1.4,153,"131 of 3140"
"Chowan County",37041,1.5,210,"141 of 3140"
"Beaufort County",37013,1.5,695,"143 of 3140"
"Dare County",37055,1.6,576,"194 of 3140"
"Perquimans County",37143,1.8,236,"238 of 3140"
"Stokes County",37169,1.8,828,"249 of 3140"
"Surry County",37171,2.0,1408,"322 of 3140"
"Rutherford County",37161,2.1,1370,"372 of 3140"
"Currituck County",37053,2.1,519,"374 of 3140"
"Bladen County",37017,2.2,726,"420 of 3140"
"Robeson County",37155,2.2,2968,"465 of 3140"
"McDowell County",37111,2.3,1006,"477 of 3140"
"Ashe County",37009,2.3,603,"479 of 3140"
"Martin County",37117,2.3,532,"515 of 3140"
"Rockingham County",37157,2.3,2133,"528 of 3140"
"Cumberland County",37051,2.4,7697,"530 of 3140"
"Cleveland County",37045,2.4,2350,"585 of 3140"
