------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=37&areatype=county&topic=mob&demo=00017&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '37', 'areatype': 'county', 'topic': 'mob', 'demo': '00017', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_008.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=37&areatype=county&topic=mob&demo=00017&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for North Carolina by County
Mobility: Haven't moved (in past year)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Haven't Moved),Rank within US
"North Carolina",37000,84.8,8423144,"27 of 51"
"United States",00000,85.4,270854872,"N/A"
"Onslow County",37133,71.6,135448,"3119 of 3140"
"Watauga County",37189,74.8,39726,"3089 of 3140"
"Orange County",37135,76.5,107685,"3059 of 3140"
"Pitt County",37147,77.9,135924,"3033 of 3140"
"Durham County",37063,78.3,232200,"3018 of 3140"
"Cumberland County",37051,79.0,258679,"2996 of 3140"
"Craven County",37049,79.5,81054,"2971 of 3140"
"Mecklenburg County",37119,80.8,825184,"2871 of 3140"
"New Hanover County",37129,81.7,177628,"2796 of 3140"
"Wake County",37183,82.5,834224,"2697 of 3140"
"Greene County",37079,82.6,17254,"2682 of 3140"
"Jackson County",37099,82.7,34243,"2658 of 3140"
"Wayne County",37191,83.1,102017,"2615 of 3140"
"Lenoir County",37107,83.1,47760,"2603 of 3140"
"Harnett County",37085,83.3,105719,"2587 of 3140"
"Hoke County",37093,83.5,42941,"2538 of 3140"
"Brunswick County",37019,83.8,101791,"2479 of 3140"
"Tyrrell County",37177,84.0,3401,"2441 of 3140"
"Forsyth County",37067,84.5,307767,"2348 of 3140"
"Carteret County",37031,84.8,57791,"2267 of 3140"
"Hertford County",37091,85.0,20435,"2208 of 3140"
"Haywood County",37087,85.1,50426,"2190 of 3140"
"Pamlico County",37137,85.2,10838,"2165 of 3140"
"Dare County",37055,85.3,29915,"2154 of 3140"
"Scotland County",37165,85.4,29898,"2121 of 3140"
"Iredell County",37097,85.8,144007,"2019 of 3140"
"Guilford County",37081,86.0,439185,"1959 of 3140"
"Sampson County",37163,86.1,54215,"1922 of 3140"
"Buncombe County",37021,86.2,215687,"1904 of 3140"
"Alamance County",37001,86.2,134741,"1886 of 3140"
"Gaston County",37071,86.3,182648,"1856 of 3140"
"Macon County",37113,86.5,29397,"1785 of 3140"
"Cabarrus County",37025,86.5,168343,"1773 of 3140"
"Pasquotank County",37139,86.7,33851,"1722 of 3140"
"Catawba County",37035,86.7,133812,"1706 of 3140"
"Caldwell County",37027,86.8,70314,"1682 of 3140"
"Avery County",37011,86.8,15059,"1681 of 3140"
"Transylvania County",37175,86.8,28673,"1678 of 3140"
"Davidson County",37057,86.8,141047,"1671 of 3140"
"Pender County",37141,86.8,49549,"1658 of 3140"
"Stanly County",37167,87.0,52326,"1625 of 3140"
"Nash County",37127,87.0,80889,"1618 of 3140"
"Rowan County",37159,87.1,119718,"1588 of 3140"
"Henderson County",37089,87.2,96978,"1534 of 3140"
"Columbus County",37047,87.4,48970,"1478 of 3140"
"Vance County",37181,87.4,38245,"1474 of 3140"
"Duplin County",37061,87.5,51011,"1440 of 3140"
"Union County",37179,87.6,192602,"1407 of 3140"
"Johnston County",37101,88.0,161920,"1273 of 3140"
"Northampton County",37131,88.0,17849,"1268 of 3140"
"Richmond County",37153,88.2,39698,"1189 of 3140"
"Halifax County",37083,88.3,45868,"1173 of 3140"
"Moore County",37125,88.4,82636,"1137 of 3140"
"Madison County",37115,88.4,18820,"1121 of 3140"
"Rockingham County",37157,88.5,80410,"1096 of 3140"
"Granville County",37077,88.5,51423,"1092 of 3140"
"Lee County",37105,88.5,52397,"1088 of 3140"
"Currituck County",37053,88.6,22108,"1067 of 3140"
"Burke County",37023,88.7,78225,"1046 of 3140"
"Swain County",37173,88.9,12492,"968 of 3140"
"Bertie County",37015,89.0,17578,"941 of 3140"
"Wilson County",37195,89.0,71748,"902 of 3140"
"Chatham County",37037,89.3,60404,"833 of 3140"
"Hyde County",37095,89.3,4827,"830 of 3140"
"Randolph County",37151,89.4,126330,"810 of 3140"
"Cleveland County",37045,89.5,85824,"784 of 3140"
"Clay County",37043,89.5,9577,"772 of 3140"
"Warren County",37185,89.6,17894,"755 of 3140"
"Mitchell County",37121,89.6,13403,"730 of 3140"
"Person County",37145,89.7,34834,"727 of 3140"
"Anson County",37007,89.7,22629,"726 of 3140"
"Cherokee County",37039,89.7,24489,"715 of 3140"
"Caswell County",37033,89.8,20302,"698 of 3140"
"Edgecombe County",37065,89.8,47942,"690 of 3140"
"Davie County",37059,89.9,37199,"652 of 3140"
"Rutherford County",37161,90.0,59292,"643 of 3140"
"Franklin County",37069,90.0,56940,"629 of 3140"
"Lincoln County",37109,90.1,71885,"608 of 3140"
"Montgomery County",37123,90.4,24542,"526 of 3140"
"Camden County",37029,90.6,9302,"484 of 3140"
"Jones County",37103,90.8,8813,"464 of 3140"
"Alexander County",37003,91.2,33589,"383 of 3140"
"Chowan County",37041,91.2,12946,"383 of 3140"
