------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=37&areatype=county&topic=pov&demo=00008&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '37', 'areatype': 'county', 'topic': 'pov', 'demo': '00008', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_029.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=37&areatype=county&topic=pov&demo=00008&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for North Carolina by County
Poverty: Persons below poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Below Poverty),Rank within US
"United States",00000,14.6,45650345,"N/A"
"North Carolina",37000,16.1,1579871,"38 of 52"
"Dare County",37055,8.9,3116,"325 of 3141"
"Camden County",37029,9.0,930,"356 of 3141"
"Currituck County",37053,9.1,2283,"379 of 3141"
"Union County",37179,9.4,20626,"430 of 3141"
"Wake County",37183,10.1,101256,"553 of 3141"
"Polk County",37149,10.9,2197,"698 of 3141"
"Cabarrus County",37025,11.5,22481,"823 of 3141"
"Henderson County",37089,11.8,13134,"895 of 3141"
"Gates County",37073,12.4,1430,"990 of 3141"
"Carteret County",37031,12.5,8458,"1017 of 3141"
"Iredell County",37097,12.7,21307,"1040 of 3141"
"Buncombe County",37021,13.2,32591,"1175 of 3141"
"Moore County",37125,13.3,12380,"1190 of 3141"
"Chatham County",37037,13.3,8988,"1200 of 3141"
"Mecklenburg County",37119,13.4,136399,"1212 of 3141"
"Stokes County",37169,13.9,6311,"1311 of 3141"
"Orange County",37135,14.0,18379,"1341 of 3141"
"Davie County",37059,14.0,5802,"1343 of 3141"
"Onslow County",37133,14.1,24112,"1353 of 3141"
"Brunswick County",37019,14.1,17129,"1358 of 3141"
"Catawba County",37035,14.2,21816,"1385 of 3141"
"Granville County",37077,14.3,7982,"1405 of 3141"
"Johnston County",37101,14.5,26622,"1429 of 3141"
"Avery County",37011,14.7,2154,"1462 of 3141"
"Alexander County",37003,14.7,5285,"1478 of 3141"
"Pamlico County",37137,15.1,1826,"1553 of 3141"
"Lincoln County",37109,15.2,12103,"1564 of 3141"
"Craven County",37049,15.4,15103,"1612 of 3141"
"Mitchell County",37121,15.4,2263,"1613 of 3141"
"Transylvania County",37175,15.5,5018,"1641 of 3141"
"Stanly County",37167,15.7,9269,"1681 of 3141"
"Pender County",37141,15.8,8877,"1687 of 3141"
"Davidson County",37057,15.8,25534,"1700 of 3141"
"Nash County",37127,15.9,14656,"1717 of 3141"
"Franklin County",37069,16.4,10207,"1803 of 3141"
"Durham County",37063,16.4,47237,"1809 of 3141"
"Caldwell County",37027,16.4,13214,"1811 of 3141"
"Gaston County",37071,16.5,34874,"1833 of 3141"
"Haywood County",37087,16.6,9817,"1850 of 3141"
"Randolph County",37151,16.7,23520,"1875 of 3141"
"Guilford County",37081,16.7,83981,"1892 of 3141"
"Rowan County",37159,16.8,22633,"1903 of 3141"
"Cherokee County",37039,16.8,4561,"1913 of 3141"
"Yadkin County",37197,17.3,6479,"2000 of 3141"
"Lee County",37105,17.5,10262,"2037 of 3141"
"Clay County",37043,17.5,1877,"2046 of 3141"
