------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=37&areatype=county&topic=mob&demo=00020&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '37', 'areatype': 'county', 'topic': 'mob', 'demo': '00020', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_011.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=37&areatype=county&topic=mob&demo=00020&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for North Carolina by County
"Mobility: Moved, different state (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved From Different State),Rank within US
"United States",00000,2.3,7354769,"N/A"
"North Carolina",37000,3.0,302091,"30 of 51"
"Hyde County",37095,0.3,18,"96 of 3140"
"Stokes County",37169,0.4,204,"148 of 3140"
"Montgomery County",37123,0.5,145,"203 of 3140"
"Bertie County",37015,0.6,114,"228 of 3140"
"Ashe County",37009,0.7,175,"292 of 3140"
"Alleghany County",37005,0.7,72,"298 of 3140"
"Martin County",37117,0.7,152,"299 of 3140"
"Edgecombe County",37065,0.7,361,"308 of 3140"
"Richmond County",37153,0.7,312,"330 of 3140"
"Yadkin County",37197,0.7,258,"331 of 3140"
"Wilkes County",37193,0.7,473,"335 of 3140"
"McDowell County",37111,0.8,348,"406 of 3140"
"Robeson County",37155,0.9,1126,"469 of 3140"
"Anson County",37007,0.9,218,"485 of 3140"
"Tyrrell County",37177,0.9,35,"486 of 3140"
"Beaufort County",37013,0.9,427,"550 of 3140"
"Randolph County",37151,1.0,1389,"626 of 3140"
"Alexander County",37003,1.0,365,"639 of 3140"
"Stanly County",37167,1.0,598,"640 of 3140"
"Jones County",37103,1.0,101,"688 of 3140"
"Bladen County",37017,1.0,351,"689 of 3140"
"Vance County",37181,1.0,456,"690 of 3140"
"Wilson County",37195,1.0,846,"700 of 3140"
"Sampson County",37163,1.1,694,"772 of 3140"
"Burke County",37023,1.1,987,"789 of 3140"
"Mitchell County",37121,1.2,173,"837 of 3140"
"Halifax County",37083,1.2,620,"886 of 3140"
"Surry County",37171,1.2,863,"907 of 3140"
"Lenoir County",37107,1.2,698,"914 of 3140"
"Person County",37145,1.2,473,"919 of 3140"
"Franklin County",37069,1.3,801,"969 of 3140"
"Lee County",37105,1.3,760,"993 of 3140"
"Rockingham County",37157,1.3,1189,"1022 of 3140"
"Duplin County",37061,1.3,780,"1056 of 3140"
"Pamlico County",37137,1.4,175,"1100 of 3140"
"Davidson County",37057,1.5,2418,"1241 of 3140"
"Pender County",37141,1.5,876,"1296 of 3140"
"Nash County",37127,1.6,1506,"1394 of 3140"
"Scotland County",37165,1.7,592,"1480 of 3140"
"Rowan County",37159,1.7,2341,"1491 of 3140"
"Rutherford County",37161,1.7,1130,"1510 of 3140"
"Caldwell County",37027,1.7,1395,"1515 of 3140"
"Warren County",37185,1.7,344,"1515 of 3140"
"Cleveland County",37045,1.7,1657,"1522 of 3140"
"Swain County",37173,1.8,247,"1559 of 3140"
"Gates County",37073,1.8,206,"1592 of 3140"
"Greene County",37079,1.8,381,"1620 of 3140"
"Johnston County",37101,1.8,3394,"1642 of 3140"
"Avery County",37011,1.9,326,"1675 of 3140"
"Northampton County",37131,1.9,386,"1694 of 3140"
