------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=49&areatype=county&topic=lang&demo=00015&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '49', 'areatype': 'county', 'topic': 'lang', 'demo': '00015', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_007.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=49&areatype=county&topic=lang&demo=00015&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Utah by County
Non-English Language: Language isolation
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Households (language Isolation),Rank within US
"Utah",49000,2.4,22108,"25 of 51"
"United States",00000,4.5,5305440,"N/A"
"Morgan County",49029,0.0,0,"1 of 3140"
"Piute County",49031,0.0,0,"1 of 3140"
"Kane County",49025,0.4,9,"897 of 3140"
"Carbon County",49007,0.6,49,"1313 of 3140"
"Sevier County",49041,0.9,61,"1588 of 3140"
"Davis County",49011,1.0,968,"1681 of 3140"
"Sanpete County",49039,1.3,107,"1943 of 3140"
"Iron County",49021,1.3,206,"1975 of 3140"
"Emery County",49015,1.4,50,"2024 of 3140"
"Garfield County",49017,1.4,25,"2037 of 3140"
"Juab County",49023,1.5,48,"2057 of 3140"
"Washington County",49053,1.5,786,"2077 of 3140"
"Tooele County",49045,1.5,296,"2081 of 3140"
"Duchesne County",49013,1.5,103,"2122 of 3140"
"Box Elder County",49003,1.7,282,"2191 of 3140"
"Grand County",49019,1.8,68,"2231 of 3140"
"Weber County",49057,1.9,1563,"2299 of 3140"
"Uintah County",49047,2.0,209,"2313 of 3140"
"Utah County",49049,2.0,3163,"2339 of 3140"
"Cache County",49005,2.2,821,"2408 of 3140"
"Beaver County",49001,2.3,53,"2438 of 3140"
"Daggett County",49009,2.4,4,"2469 of 3140"
"Rich County",49033,2.7,16,"2555 of 3140"
"Millard County",49027,2.7,115,"2568 of 3140"
"Summit County",49043,2.8,419,"2603 of 3140"
"Wasatch County",49051,2.8,257,"2605 of 3140"
"Wayne County",49055,3.0,30,"2638 of 3140"
"Salt Lake County",49035,3.3,12157,"2697 of 3140"
"San Juan County",49037,6.0,243,"2918 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:03 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Non-English Language: Language isolation, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#non-english."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
A "limited English speaking household" is one in which no member 14 years old and over (1) speaks only English or (2) speaks a non-English language and speaks English "very well."
Data for United States does not include Puerto Rico.
