------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=49&areatype=county&topic=mob&demo=00019&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '49', 'areatype': 'county', 'topic': 'mob', 'demo': '00019', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_010.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=49&areatype=county&topic=mob&demo=00019&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Utah by County
"Mobility: Moved, different county this state (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved From Different County In Same State),Rank within US
"United States",00000,3.2,10247779,"N/A"
"Utah",49000,3.3,95847,"27 of 51"
"Grand County",49019,0.3,30,"9 of 3140"
"Rich County",49033,1.4,31,"114 of 3140"
"San Juan County",49037,1.8,276,"262 of 3140"
"Salt Lake County",49035,1.9,20756,"291 of 3140"
"Kane County",49025,2.0,146,"352 of 3140"
"Summit County",49043,2.7,1044,"736 of 3140"
"Wayne County",49055,2.7,72,"778 of 3140"
"Millard County",49027,2.9,366,"931 of 3140"
"Utah County",49049,3.0,16775,"957 of 3140"
"Uintah County",49047,3.1,1103,"1029 of 3140"
"Morgan County",49029,3.3,357,"1180 of 3140"
"Piute County",49031,3.4,64,"1301 of 3140"
"Garfield County",49017,3.7,182,"1479 of 3140"
"Beaver County",49001,3.7,232,"1503 of 3140"
"Washington County",49053,3.9,6051,"1665 of 3140"
"Emery County",49015,4.0,415,"1717 of 3140"
"Cache County",49005,4.1,4846,"1762 of 3140"
"Weber County",49057,4.3,10345,"1875 of 3140"
"Box Elder County",49003,4.4,2270,"1951 of 3140"
"Davis County",49011,4.5,14716,"1972 of 3140"
"Duchesne County",49013,4.7,932,"2085 of 3140"
"Sevier County",49041,4.9,1014,"2211 of 3140"
"Carbon County",49007,5.1,1024,"2292 of 3140"
"Juab County",49023,5.1,538,"2300 of 3140"
"Iron County",49021,5.6,2680,"2523 of 3140"
"Daggett County",49009,6.2,43,"2675 of 3140"
"Tooele County",49045,6.6,4145,"2771 of 3140"
"Wasatch County",49051,7.0,2018,"2823 of 3140"
"Sanpete County",49039,11.8,3376,"3104 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:03 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Moved, different county this state (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
