------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=49&areatype=county&topic=pop&demo=00102&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '49', 'areatype': 'county', 'topic': 'pop', 'demo': '00102', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_014.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=49&areatype=county&topic=pop&demo=00102&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Utah by County
Population: Age 18-39
"Age N/A, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 18-39),Rank within US
"United States",00000,29.8,95565066,"N/A"
"Utah",49000,33.5,1001664,"51 of 52"
"Daggett County",49009,21.5,151,"352 of 3141"
"Wayne County",49055,22.1,596,"454 of 3141"
"Rich County",49033,22.9,529,"669 of 3141"
"Millard County",49027,23.5,2971,"816 of 3141"
"Kane County",49025,25.1,1817,"1346 of 3141"
"Emery County",49015,25.1,2612,"1351 of 3141"
"Morgan County",49029,25.3,2792,"1430 of 3141"
"Beaver County",49001,25.5,1635,"1490 of 3141"
"Garfield County",49017,25.5,1280,"1495 of 3141"
"Summit County",49043,25.6,10185,"1541 of 3141"
"Piute County",49031,26.1,486,"1693 of 3141"
"Sevier County",49041,27.0,5652,"1959 of 3141"
"San Juan County",49037,27.1,4116,"1993 of 3141"
"Washington County",49053,27.2,42303,"2017 of 3141"
"Box Elder County",49003,27.5,14334,"2099 of 3141"
"Juab County",49023,27.6,2952,"2135 of 3141"
"Carbon County",49007,28.3,5798,"2285 of 3141"
"Grand County",49019,28.4,2708,"2312 of 3141"
"Duchesne County",49013,29.3,5931,"2494 of 3141"
"Wasatch County",49051,29.9,8775,"2605 of 3141"
"Tooele County",49045,30.6,19369,"2683 of 3141"
"Davis County",49011,31.3,104788,"2761 of 3141"
"Uintah County",49047,31.7,11526,"2800 of 3141"
"Weber County",49057,32.4,79014,"2844 of 3141"
"Sanpete County",49039,33.5,9688,"2916 of 3141"
"Salt Lake County",49035,34.0,376448,"2937 of 3141"
"Iron County",49021,34.8,16871,"2966 of 3141"
"Utah County",49049,38.0,219027,"3043 of 3141"
"Cache County",49005,39.3,47310,"3067 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:03 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Age 18-39, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
