------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=49&areatype=county&topic=pov&demo=00008&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '49', 'areatype': 'county', 'topic': 'pov', 'demo': '00008', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_029.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=49&areatype=county&topic=pov&demo=00008&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Utah by County
Poverty: Persons below poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Below Poverty),Rank within US
"Utah",49000,11.0,324856,"8 of 52"
"United States",00000,14.6,45650345,"N/A"
"Morgan County",49029,2.4,267,"1 of 3141"
"Daggett County",49009,4.0,23,"14 of 3141"
"Davis County",49011,6.2,20755,"101 of 3141"
"Tooele County",49045,6.9,4318,"138 of 3141"
"Summit County",49043,7.5,2966,"187 of 3141"
"Wasatch County",49051,7.8,2265,"215 of 3141"
"Wayne County",49055,9.2,246,"400 of 3141"
"Box Elder County",49003,10.2,5260,"565 of 3141"
"Salt Lake County",49035,10.4,114135,"615 of 3141"
"Beaver County",49001,10.5,667,"628 of 3141"
"Kane County",49025,11.1,795,"730 of 3141"
"Uintah County",49047,11.6,4163,"843 of 3141"
"Millard County",49027,11.6,1454,"847 of 3141"
"Utah County",49049,11.8,66394,"888 of 3141"
"Weber County",49057,12.1,29277,"941 of 3141"
"Grand County",49019,12.7,1190,"1041 of 3141"
"Duchesne County",49013,12.7,2517,"1043 of 3141"
"Juab County",49023,12.8,1346,"1058 of 3141"
"Piute County",49031,12.9,235,"1084 of 3141"
"Emery County",49015,12.9,1339,"1095 of 3141"
"Garfield County",49017,13.1,633,"1150 of 3141"
"Sevier County",49041,13.3,2731,"1189 of 3141"
"Washington County",49053,14.2,21878,"1391 of 3141"
"Cache County",49005,15.2,17793,"1562 of 3141"
"Carbon County",49007,16.2,3240,"1769 of 3141"
"Sanpete County",49039,16.9,4365,"1920 of 3141"
"Rich County",49033,18.0,414,"2154 of 3141"
"Iron County",49021,20.9,10001,"2526 of 3141"
"San Juan County",49037,28.4,4189,"3001 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:03 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Poverty: Persons below poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#poverty."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
