------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=49&areatype=county&topic=pov&demo=00009&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '49', 'areatype': 'county', 'topic': 'pov', 'demo': '00009', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_030.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=49&areatype=county&topic=pov&demo=00009&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Utah by County
Poverty: Persons below 150% of poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (<150% Of Poverty),Rank within US
"Utah",49000,19.5,573904,"13 of 52"
"United States",00000,23.7,74202606,"N/A"
"Daggett County",49009,5.0,29,"1 of 3141"
"Morgan County",49029,9.0,993,"26 of 3141"
"Summit County",49043,11.8,4682,"88 of 3141"
"Davis County",49011,12.5,41637,"122 of 3141"
"Wasatch County",49051,13.8,3998,"167 of 3141"
"Tooele County",49045,15.5,9713,"265 of 3141"
"Salt Lake County",49035,18.6,203499,"564 of 3141"
"Wayne County",49055,19.4,516,"653 of 3141"
"Duchesne County",49013,19.7,3909,"698 of 3141"
"Kane County",49025,19.9,1429,"735 of 3141"
"Weber County",49057,20.1,48472,"761 of 3141"
"Utah County",49049,20.3,114360,"789 of 3141"
"Millard County",49027,20.7,2595,"844 of 3141"
"Box Elder County",49003,21.7,11232,"976 of 3141"
"Uintah County",49047,22.6,8116,"1095 of 3141"
"Beaver County",49001,23.0,1458,"1144 of 3141"
"Piute County",49031,23.3,425,"1182 of 3141"
"Emery County",49015,23.6,2444,"1239 of 3141"
"Juab County",49023,23.8,2508,"1255 of 3141"
"Sevier County",49041,23.9,4909,"1265 of 3141"
"Washington County",49053,24.1,37069,"1305 of 3141"
"Grand County",49019,24.7,2315,"1396 of 3141"
"Rich County",49033,24.7,568,"1413 of 3141"
"Cache County",49005,26.1,30606,"1595 of 3141"
"Carbon County",49007,27.1,5437,"1758 of 3141"
"Garfield County",49017,27.2,1307,"1759 of 3141"
"Sanpete County",49039,28.9,7477,"2006 of 3141"
"Iron County",49021,34.4,16467,"2582 of 3141"
"San Juan County",49037,38.9,5734,"2879 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:03 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Poverty: Persons below 150% of poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#poverty."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
