------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=49&areatype=county&topic=pop&demo=00029&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '49', 'areatype': 'county', 'topic': 'pop', 'demo': '00029', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_017.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=49&areatype=county&topic=pop&demo=00029&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Utah by County
Population: Age 50 and over
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 50 And Over),Rank within US
"Utah",49000,24.8,743364,"52 of 52"
"United States",00000,34.5,110609456,"N/A"
"Utah County",49049,17.7,101970,"3138 of 3141"
"Cache County",49005,20.5,24649,"3132 of 3141"
"Tooele County",49045,23.0,14558,"3118 of 3141"
"Davis County",49011,23.9,79987,"3111 of 3141"
"Uintah County",49047,24.0,8733,"3110 of 3141"
"Salt Lake County",49035,25.6,283503,"3086 of 3141"
"Juab County",49023,25.7,2749,"3083 of 3141"
"Duchesne County",49013,25.9,5247,"3076 of 3141"
"Wasatch County",49051,25.9,7599,"3074 of 3141"
"Iron County",49021,26.3,12741,"3066 of 3141"
"Weber County",49057,27.3,66670,"3028 of 3141"
"Morgan County",49029,27.5,3025,"3020 of 3141"
"Sanpete County",49039,28.0,8091,"2991 of 3141"
"Box Elder County",49003,28.9,15058,"2950 of 3141"
"San Juan County",49037,30.1,4577,"2869 of 3141"
"Beaver County",49001,31.4,2011,"2780 of 3141"
"Sevier County",49041,32.6,6829,"2661 of 3141"
"Rich County",49033,32.9,758,"2632 of 3141"
"Summit County",49043,33.2,13173,"2604 of 3141"
"Emery County",49015,33.8,3523,"2527 of 3141"
"Millard County",49027,34.7,4394,"2401 of 3141"
"Carbon County",49007,34.7,7125,"2398 of 3141"
"Washington County",49053,35.5,55270,"2277 of 3141"
"Grand County",49019,38.3,3653,"1726 of 3141"
"Wayne County",49055,40.1,1084,"1304 of 3141"
"Garfield County",49017,41.2,2068,"1052 of 3141"
"Kane County",49025,43.2,3129,"736 of 3141"
"Piute County",49031,45.6,849,"449 of 3141"
"Daggett County",49009,48.6,341,"236 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:03 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Age 50 and over, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
